filePaths,practFiles,StimulusCode,stim1,stim2,stim3,stim4,stim5,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,audFile_i2,audStart_i2,similCatp,setVol,corrMatchAnswer,whatCondIs,trialTypeName,rhythm,stim6,stim6Start,stim6End,stim6_i2,stim6Start_i2,stim6End_i2,similCat_i2,condFilePath,sensoryCond,stimStart,overarchingRhythmOrder.thisRepN,overarchingRhythmOrder.thisTrialN,overarchingRhythmOrder.thisN,overarchingRhythmOrder.thisIndex,rhythmPractTrials.thisRepN,rhythmPractTrials.thisTrialN,rhythmPractTrials.thisN,rhythmPractTrials.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions_2.started,variableInstructions_2.stopped,goToBlockKey_2.keys,goToBlockKey_2.rt,goToBlockKey_2.started,goToBlockKey_2.stopped,text_9.started,text_9.stopped,preFix_2.started,preFix_2.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,holdFix_2.started,holdFix_2.stopped,cir1_2.started,cir1_2.stopped,cir2_2.started,cir2_2.stopped,cir3_2.started,cir3_2.stopped,cir4_2.started,cir4_2.stopped,cir5_2.started,cir5_2.stopped,audioTrialSound_2.started,audioTrialSound_2.stopped,text.started,text.stopped,holdFix_i2_2.started,holdFix_i2_2.stopped,cir1_i2_2.started,cir1_i2_2.stopped,cir2_i2_2.started,cir2_i2_2.stopped,cir3_i2_2.started,cir3_i2_2.stopped,cir4_i2_2.started,cir4_i2_2.stopped,cir5_i2_2.started,cir5_i2_2.stopped,audioTrialSound_i2_2.started,audioTrialSound_i2_2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,text_5.started,text_5.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,yesHitIt.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.30666649597697,None,space,2.22441768203862,13.496926117921248,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,1,2023_May_23_1656,Cognition2_FullCode1,2021.2.3,100.02403892887921,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/104_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,15.85749622201547,None,space,1.1958096360322088,15.957545124925673,None,21.278938020812348,None,21.47912629484199,None,17.27778052096255,21.278938020812348,17.27778052096255,21.278938020812348,22.479290348012,None,22.589476519962773,22.88955515692942,23.03958952683024,23.089440458919853,23.239536884007975,23.55971910781227,23.70964629901573,23.759654838824645,23.909769288031384,23.95964268501848,22.48932956722565,None,24.359852886991575,None,25.670237535843626,None,25.78026967891492,26.080306218005717,26.230397696839646,26.280340381897986,26.430538666900247,26.730492668924853,26.88072625384666,26.930520612979308,27.080625577829778,27.130628573941067,25.680276755057275,None,1,1.5864044879563153,28.03094781190157,None,28.03094781190157,None,29.731457277899608,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,1,2023_May_23_1656,Cognition2_FullCode1,2021.2.3,100.02403892887921,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/104_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P2,2,1,1,2,1,11,41,56,61,76,81,96,126,141,146,2_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,35.33300557290204,None,35.533015361987054,None,31.331902463920414,35.33300557290204,31.331902463920414,35.33300557290204,36.543353960849345,None,36.65338603593409,36.95333465281874,37.10348151391372,37.15338860382326,37.30359971290454,37.35359671199694,37.50373571482487,37.80365453497507,37.95389506383799,38.003841179888695,36.553393180063,None,38.403934029862285,None,39.714211044833064,None,39.82416308904067,40.12437623483129,40.2743300430011,40.32439337298274,40.474476982839406,40.774619618896395,40.92466878797859,40.97465909202583,41.12473151786253,41.17456097994,39.72425026404672,None,2,0.926393480040133,42.07492839102633,None,42.07492839102633,None,43.10527119203471,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,1,2023_May_23_1656,Cognition2_FullCode1,2021.2.3,100.02403892887921,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/104_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,48.696693925885484,None,48.89688257290982,None,44.695634983014315,48.696693925885484,44.695634983014315,48.696693925885484,49.90717769600451,None,50.0172156158369,50.0671980609186,50.21717593586072,50.51728153787553,50.667342064902186,50.71733543695882,50.86751832184382,51.16737532499246,51.317711835959926,51.36746984790079,49.91721691521816,None,51.76762393582612,None,53.068291131872684,None,53.17817156086676,53.228055716026574,53.378175146877766,53.67820422886871,53.82833089586347,53.87821478699334,54.02835711603984,54.328418685821816,54.47841911087744,54.52855835901573,53.078330351086336,None,1,1.8205108020920306,55.42882818588987,None,55.42882818588987,None,57.35924235591665,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,1,2023_May_23_1656,Cognition2_FullCode1,2021.2.3,100.02403892887921,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/104_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P4,1,2,1,1,2,11,16,31,61,76,81,96,101,116,146,4_practAudFile.wav,1,pc2,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,62.95081027597189,None,63.150908367941156,None,58.94985664286651,62.95081027597189,58.94985664286651,62.95081027597189,64.1612965548411,None,64.27115896693431,64.32129792892374,64.47132758703083,64.77144767600112,64.92134218290448,64.9714832638856,65.12164424103685,65.42146704089828,65.57165902084671,65.62160731502809,64.17133577405475,None,66.02177014690824,None,67.32253303797916,None,67.4321200340055,67.4821158729028,67.6320980140008,67.93228238099255,68.08227466396056,68.13232904789038,68.28242357703857,68.3324756429065,68.4825141329784,68.78267976688221,67.33257225719281,None,2,2.1344302678480744,69.6829249470029,None,69.6829249470029,None,71.92339449399151,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,1,2023_May_23_1656,Cognition2_FullCode1,2021.2.3,100.02403892887921,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/104_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,1,2,2,11,41,53,58,70,75,87,117,129,159,3_audFile.wav,10,6,21,2,1,1,2,2,11,41,53,58,70,75,87,117,129,159,3_audFile.wav,10,,0,1,,,21,1,171,176,1,171,176,6,,,,0,0,0,0,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.22542386990972,None,,,,,,,,,,,,,,,1,2.8327630781568587,82.89657710003667,None,82.89657710003667,None,,,73.53392954985611,None,space,2.4952949348371476,73.63405197602697,None,76.18461635103449,None,76.36481516901404,None,77.36499642091803,None,77.47515168995596,77.77497571893036,77.89517533802427,77.94506796798669,78.06542973895557,78.115144131938,78.23522308492102,78.53533235797659,78.65527733485214,78.95542670786381,79.07549632387236,79.12543095182627,77.4650838631671,None,80.53585390094668,None,80.6460266308859,80.94601306389086,81.06604514294304,81.116046926938,81.23609081003815,81.2861337098293,81.40610688901506,81.7062051310204,81.82624723296613,82.12625778396614,82.24645034782588,82.29647908895276,80.63599335220643,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,1,2023_May_23_1656,Cognition2_FullCode1,2021.2.3,100.02403892887921,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/104_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,2,1,1,11,16,28,58,70,100,112,117,129,134,3_audFile.wav,10,5,24,1,2,2,1,1,11,16,28,58,70,100,112,117,129,134,3_audFile.wav,10,,0,1,,,24,2,146,176,2,146,176,5,,,,0,0,0,0,,,,,0,1,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.8283401678782,None,,,,,,,,,,,,,,,1,2.0939657089766115,92.49937962600961,None,92.49937962600961,None,,,,,,,,,85.75723818293773,None,85.9374921398703,86.93764451495372,86.96774394181557,None,87.07784231891856,87.12779824901372,87.24769682483748,87.54792171996087,87.66799291083589,87.96797730983235,88.08798751188442,88.1380059318617,88.2582113048993,88.3080562078394,88.42809696588665,88.72829399188049,87.06776568810456,None,90.1386188508477,None,90.24862402700819,90.29870753991418,90.41875396389514,90.71875372994691,90.83876377390698,91.13881708797999,91.2590458500199,91.30887837591581,91.42908321903087,91.47907375497743,91.59908203082159,91.89906622096896,90.23873214917258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,1,2023_May_23_1656,Cognition2_FullCode1,2021.2.3,100.02403892887921,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/104_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,1,2,2,11,16,28,58,70,75,87,117,129,159,3_audFile.wav,10,5,22,1,2,1,2,2,11,16,28,58,70,75,87,117,129,159,3_audFile.wav,10,,0,1,,,22,1,171,176,1,171,176,5,,,,0,0,0,0,,,,,0,2,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.69091506185941,None,,,,,,,,,,,,,,,1,2.383453381014988,101.36197060788982,None,101.36197060788982,None,,,,,,,,,94.61993802781217,None,94.80009944783524,95.80025267391466,95.83037366485223,None,95.94029328296892,95.9901518470142,96.11041372292675,96.41045251395553,96.5305750449188,96.58036447293125,96.70056790485978,97.00063259690069,97.1207153648138,97.42071603797376,97.54087658599019,97.59073586482555,95.93026954219677,None,99.00118663301691,None,99.11128012393601,99.16130472184159,99.28129286784679,99.5812885989435,99.70129732787609,99.75149073801003,99.87153415591456,100.17143224691972,100.29161007283255,100.59151430381462,100.7117214128375,100.76164308795705,99.10117080113851,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,1,2023_May_23_1656,Cognition2_FullCode1,2021.2.3,100.02403892887921,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/104_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,2,1,2,1,11,41,53,83,95,100,112,142,154,159,3_audFile.wav,10,7,16,2,2,1,2,1,11,41,53,83,95,100,112,142,154,159,3_audFile.wav,10,,0,1,,,16,1,171,176,1,171,176,7,,,,0,0,0,0,,,,,0,3,3,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.84343797597103,None,,,,,,,,,,,,,,,1,5.486816097050905,110.51452826499008,None,110.51452826499008,None,,,,,,,,,103.77250759396702,None,103.95260084490292,104.95286074001342,104.98293253988959,None,105.09290840500034,105.39298569597304,105.5130596968811,105.813063490903,105.93306476203725,105.98313694098033,106.10322528099641,106.40326518984511,106.52323348098435,106.57330415095203,106.69340651389211,106.7433214308694,105.08293417403475,None,108.15375554189086,None,108.26379815395921,108.56381915602833,108.68385382182896,108.98395162890665,109.10404610983096,109.15403785393573,109.27405284997076,109.57419433095492,109.69424917083234,109.74428348382935,109.86433575395495,109.91433675400913,108.2538897830993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,1,2023_May_23_1656,Cognition2_FullCode1,2021.2.3,100.02403892887921,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/104_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,1,2,1,11,41,53,58,70,75,87,117,129,134,3_audFile.wav,10,6,25,2,1,1,2,1,11,41,53,58,70,75,87,117,129,134,3_audFile.wav,10,,0,1,,,25,2,146,176,2,146,176,6,,,,0,0,0,0,,,,,0,4,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.0970350378193,None,,,,,,,,,,,,,,,1,1.8733204880263656,122.76808092789724,None,122.76808092789724,None,,,,,,,,,116.02603339403868,None,116.20614636689425,117.20633310289122,117.2362532268744,None,117.34638748294674,117.64639156986959,117.76656176382676,117.8166606288869,117.93657782091759,117.98648860002868,118.1067461988423,118.40663024084643,118.52676505292766,118.57665654993616,118.69676940585487,118.99683337891474,117.33637437322177,None,120.4073351379484,None,120.51720081898384,120.81736652203836,120.93741672299802,120.9873357990291,121.1073620968964,121.15751377982087,121.27743674186058,121.57745667896233,121.69769731792621,121.74753558286466,121.86767746089026,122.1678091569338,120.50727966711857,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,1,2023_May_23_1656,Cognition2_FullCode1,2021.2.3,100.02403892887921,
