filePaths,practFiles,StimulusCode,stim1,stim2,stim3,stim4,stim5,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,audFile_i2,audStart_i2,similCatp,setVol,corrMatchAnswer,whatCondIs,trialTypeName,rhythm,stim6,stim6Start,stim6End,stim6_i2,stim6Start_i2,stim6End_i2,similCat_i2,condFilePath,sensoryCond,stimStart,overarchingRhythmOrder.thisRepN,overarchingRhythmOrder.thisTrialN,overarchingRhythmOrder.thisN,overarchingRhythmOrder.thisIndex,rhythmPractTrials.thisRepN,rhythmPractTrials.thisTrialN,rhythmPractTrials.thisN,rhythmPractTrials.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions_2.started,variableInstructions_2.stopped,goToBlockKey_2.keys,goToBlockKey_2.rt,goToBlockKey_2.started,goToBlockKey_2.stopped,text_9.started,text_9.stopped,preFix_2.started,preFix_2.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,holdFix_2.started,holdFix_2.stopped,cir1_2.started,cir1_2.stopped,cir2_2.started,cir2_2.stopped,cir3_2.started,cir3_2.stopped,cir4_2.started,cir4_2.stopped,cir5_2.started,cir5_2.stopped,audioTrialSound_2.started,audioTrialSound_2.stopped,text.started,text.stopped,holdFix_i2_2.started,holdFix_i2_2.stopped,cir1_i2_2.started,cir1_i2_2.stopped,cir2_i2_2.started,cir2_i2_2.stopped,cir3_i2_2.started,cir3_i2_2.stopped,cir4_i2_2.started,cir4_i2_2.stopped,cir5_i2_2.started,cir5_i2_2.stopped,audioTrialSound_i2_2.started,audioTrialSound_i2_2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,text_5.started,text_5.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.rt,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,byebyeText.started,byebyeText.stopped,pressToEnd.keys,pressToEnd.rt,pressToEnd.started,pressToEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.424807033035904,None,space,101.83675329899415,14.601003319956362,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,1,2023_Jun_01_1101,Cognition2_FullCode1,2021.2.3,99.97156330871748,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/112_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,116.58002376393415,None,space,8.525766243925318,116.6800502310507,None,129.3435072491411,None,129.5436458629556,None,125.34239809494466,129.3435072491411,125.34239809494466,129.3435072491411,130.5540856111329,None,130.6640233041253,130.96410479210317,131.11413791705854,131.16410032706335,131.31435763812624,131.61412457795814,131.76426572306082,131.81430871109478,131.96432480798103,132.0145164860878,130.5640887648333,None,132.4144481420517,None,133.72493021911941,None,133.83490056311712,134.13488555699587,134.28499084012583,134.33503349195234,134.48507874901406,134.7852021129802,134.93528574099764,134.98526860913262,135.13528285198845,135.18525254214182,133.7349333728198,None,1,2.0081928360741585,136.08560578199103,None,136.08560578199103,None,138.2061904889997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,1,2023_Jun_01_1101,Cognition2_FullCode1,2021.2.3,99.97156330871748,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/112_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P2,2,1,1,2,1,11,41,56,61,76,81,96,126,141,146,2_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,143.80771331698634,None,144.00778049812652,None,139.8065247249324,143.80771331698634,139.8065247249324,143.80771331698634,145.01798611599952,None,145.12813449301757,145.4281589561142,145.57823027600534,145.62823055614717,145.77827898296528,145.82830647495575,145.97832749900408,146.27850873605348,146.4284454791341,146.4784742970951,145.0279892696999,None,146.87873283703811,None,148.18908758694306,None,148.298915859079,148.5991275459528,148.74904459295794,148.79911425407045,148.9491791271139,149.24928591609932,149.39940860192291,149.44946979312226,149.5994759250898,149.64943697606213,148.19909074064344,None,2,1.112091383896768,150.54965913598426,None,150.54965913598426,None,151.77002222114243,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,1,2023_Jun_01_1101,Cognition2_FullCode1,2021.2.3,99.97156330871748,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/112_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,157.36160656204447,None,157.56177459307946,None,153.36053717695177,157.36160656204447,153.36053717695177,157.36160656204447,158.57215666607954,None,158.6820276209619,158.73194977501407,158.88229862204753,159.18210671609268,159.33228989108466,159.38213640009053,159.53223362308927,159.83225227403454,159.9824028511066,160.03245331393555,158.58215981977992,None,160.43263167398982,None,161.74291888508014,None,161.8529942741152,161.9029153699521,162.0529184450861,162.35300671798177,162.50324952905066,162.55324099212885,162.7030985520687,163.0033027380705,163.15319078508765,163.20317855104804,161.75292203878053,None,1,1.0782059167977422,164.10353060392663,None,164.10353060392663,None,165.28396139806136,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,1,2023_Jun_01_1101,Cognition2_FullCode1,2021.2.3,99.97156330871748,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/112_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P4,1,2,1,1,2,11,16,31,61,76,81,96,101,116,146,4_practAudFile.wav,1,pc2,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,170.87548498110846,None,171.07541738799773,None,166.8743858570233,170.87548498110846,166.8743858570233,170.87548498110846,172.08573657809757,None,172.19574880204163,172.24578562099487,172.39606425608508,172.69596479693428,172.84603602206334,172.89618531614542,173.04615613794886,173.3461936560925,173.4962098391261,173.5461625060998,172.09573973179795,None,173.94631759799086,None,175.26669293409213,None,175.37669106014073,175.42682077013887,175.5767106609419,175.87683746614493,176.02698799502105,176.0768983650487,176.22701832093298,176.27694533602335,176.4269757650327,176.72706255409867,175.27669608779252,None,2,1.154259479837492,177.62748473905958,None,177.62748473905958,None,178.88770418893546,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,1,2023_Jun_01_1101,Cognition2_FullCode1,2021.2.3,99.97156330871748,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/112_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,1,1,2,11,16,28,58,70,75,87,92,104,134,3_audFile.wav,10,5,20,1,2,2,1,2,11,16,28,58,70,100,112,117,129,159,3_audFile.wav,10,,0,2,,,28,2,146,176,1,171,176,5,,,,0,0,0,0,,,,,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.05980615504086,None,,,,,,,,,,,,,,,2,0.6188945998437703,189.7308531200979,None,189.7308531200979,None,,,180.49833966908045,None,space,2.3674048220273107,180.59834023402072,None,183.01889845798723,None,183.19911796902306,None,184.1992925030645,None,184.309445183957,184.3591949150432,184.47926894202828,184.77947224210948,184.8994890130125,184.94936267193407,185.06951282406226,185.1194805749692,185.23953941394575,185.53957457793877,185.65958137111738,185.95973916212097,184.29939784272574,None,187.37021018611267,None,187.48028021398932,187.53030127799138,187.6502816239372,187.95036926097237,188.07045468804426,188.37038866593502,188.4905486740172,188.54043010203168,188.66057871212251,188.96051017404534,189.08067651395686,189.1306305800099,187.47018133476377,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,1,2023_Jun_01_1101,Cognition2_FullCode1,2021.2.3,99.97156330871748,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/112_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,1,1,11,41,53,58,70,100,112,117,129,134,3_audFile.wav,10,6,23,2,1,2,1,1,11,41,53,58,70,100,112,117,129,134,3_audFile.wav,10,,0,1,,,23,2,146,176,2,146,176,6,,,,0,0,0,0,,,,,0,1,1,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,193.44199466402642,None,,,,,,,,,,,,,,,2,0.7246013791300356,197.11313933203928,None,197.11313933203928,None,,,,,,,,,190.37098904210143,None,190.55098908394575,191.55137930600904,191.58133565308526,None,191.69129839004017,191.99157338007353,192.1115553099662,192.16150099108927,192.2814536851365,192.58167657908052,192.70170091907494,192.751626935089,192.87181051494554,192.92168678110465,193.0418198739644,193.34177423012443,191.68150861072354,None,194.7523266300559,None,194.86234867107123,195.1623690209817,195.28240431193262,195.33251371607184,195.4524971889332,195.75249896012247,195.8726003819611,195.92257524398156,196.04276799410582,196.09257263410836,196.21278374292888,196.51284561306238,194.8524975858163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,1,2023_Jun_01_1101,Cognition2_FullCode1,2021.2.3,99.97156330871748,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/112_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,1,2,2,1,11,16,28,33,45,75,87,117,129,134,3_audFile.wav,10,4,27,1,1,2,2,1,11,16,28,33,45,75,87,117,129,134,3_audFile.wav,10,,0,1,,,27,2,146,176,2,146,176,4,,,,0,0,0,0,,,,,0,2,2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200.93414884898812,None,,,,,,,,,,,,,,,1,0.016519275028258562,204.60520095704123,None,204.60520095704123,None,,,,,,,,,197.8630199751351,None,198.0432284330018,199.0433768290095,199.0736014090944,None,199.18351748795249,199.23349924804643,199.35354109294713,199.40362500911579,199.52360730897635,199.82369018904865,199.9436872000806,200.24380034091882,200.36400284105912,200.41375613212585,200.53400399303064,200.83395960112102,199.17356364475563,None,202.24445224902593,None,202.3544271979481,202.40445819310844,202.52460175193846,202.57448362000287,202.69443953200243,202.9945936820004,203.1148033090867,203.41471575200558,203.53485721093602,203.58476992114447,203.70486011798494,204.00495545007288,202.34444028278813,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,1,2023_Jun_01_1101,Cognition2_FullCode1,2021.2.3,99.97156330871748,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/112_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,2,1,2,1,11,41,53,83,95,100,112,142,154,159,3_audFile.wav,10,7,16,2,2,1,2,1,11,41,53,83,95,100,112,142,154,159,3_audFile.wav,10,,0,1,,,16,1,171,176,1,171,176,7,,,,0,0,0,0,,,,,0,3,3,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.7160098850727,None,,,,,,,,,,,,,,,1,0.01866731490008533,211.38708010013215,None,211.38708010013215,None,,,,,,,,,204.6451234021224,None,204.82516378699802,205.82542514707893,205.8555073919706,None,205.96552764810622,206.2655890500173,206.3856651079841,206.6855921461247,206.80569500802085,206.85569237195887,206.9757314589806,207.2757596950978,207.39583819708787,207.44580339104868,207.56590776797384,207.6159555350896,205.95561463176273,None,209.02638140204363,None,209.13636423111893,209.4363934660796,209.5565260781441,209.8565895271022,209.97669232892804,210.02654450992122,210.14681330206804,210.44676890806295,210.5669059739448,210.6167046779301,210.7368374299258,210.78682054998353,209.12636788166128,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,1,2023_Jun_01_1101,Cognition2_FullCode1,2021.2.3,99.97156330871748,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/112_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,1,2,2,1,11,16,28,33,45,75,87,117,129,134,3_audFile.wav,10,4,29,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,,0,2,,,27,2,146,176,2,146,176,4,,,,0,0,0,0,,,,,0,4,4,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.49807165795937,None,,,,,,,,,,,,,,,2,1.0286407659295946,218.16911569796503,None,218.16911569796503,None,,,,,,,,,211.4269997391384,None,211.60720035410486,212.60745454998687,212.63738292898051,None,212.74743994814344,212.79776500700973,212.91744738002308,212.96746014012024,213.08750170702115,213.38756223605014,213.5076416870579,213.8078242689371,213.92777386005037,213.97765935398638,214.09778554807417,214.3979427551385,212.73754386766814,None,215.80830737412907,None,215.91829051310197,215.9683058860246,216.08848181995563,216.1383022761438,216.25852218503132,216.55847250600345,216.678594235098,216.72851658705622,216.84855081513524,217.1485901081469,217.2687017871067,217.56884830398485,215.90830892673694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112,1,2023_Jun_01_1101,Cognition2_FullCode1,2021.2.3,99.97156330871748,
