filePaths,practFiles,StimulusCode,stim1,stim2,stim3,stim4,stim5,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,audFile_i2,audStart_i2,similCatp,setVol,corrMatchAnswer,whatCondIs,trialTypeName,rhythm,stim6,stim6Start,stim6End,stim6_i2,stim6Start_i2,stim6End_i2,similCat_i2,condFilePath,sensoryCond,stimStart,overarchingRhythmOrder.thisRepN,overarchingRhythmOrder.thisTrialN,overarchingRhythmOrder.thisN,overarchingRhythmOrder.thisIndex,rhythmPractTrials.thisRepN,rhythmPractTrials.thisTrialN,rhythmPractTrials.thisN,rhythmPractTrials.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions_2.started,variableInstructions_2.stopped,goToBlockKey_2.keys,goToBlockKey_2.rt,goToBlockKey_2.started,goToBlockKey_2.stopped,text_9.started,text_9.stopped,preFix_2.started,preFix_2.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,holdFix_2.started,holdFix_2.stopped,cir1_2.started,cir1_2.stopped,cir2_2.started,cir2_2.stopped,cir3_2.started,cir3_2.stopped,cir4_2.started,cir4_2.stopped,cir5_2.started,cir5_2.stopped,audioTrialSound_2.started,audioTrialSound_2.stopped,text.started,text.stopped,holdFix_i2_2.started,holdFix_i2_2.stopped,cir1_i2_2.started,cir1_i2_2.stopped,cir2_i2_2.started,cir2_i2_2.stopped,cir3_i2_2.started,cir3_i2_2.stopped,cir4_i2_2.started,cir4_i2_2.stopped,cir5_i2_2.started,cir5_i2_2.stopped,audioTrialSound_i2_2.started,audioTrialSound_i2_2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,text_5.started,text_5.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.rt,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,byebyeText.started,byebyeText.stopped,pressToEnd.keys,pressToEnd.rt,pressToEnd.started,pressToEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.25697712204419,None,space,70.80066999187693,13.435000503901392,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,1,2023_Jul_07_1458,Cognition2_FullCode1,2021.2.3,100.03351523260365,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/116_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,84.40513813192956,None,space,28.938620258821175,84.50507683190517,None,117.58447505603544,None,117.78471783199348,None,113.58339212089777,117.58447505603544,113.58339212089777,117.58447505603544,118.79477982199751,None,118.90490597998723,119.20520947105251,119.3550680030603,119.40493631502613,119.55516778188758,119.85530780488625,120.00517850089818,120.05512658599764,120.20522955595516,120.25517291389406,118.8047861287836,None,120.6554045858793,None,121.965685416013,None,122.0757373040542,122.37578430189751,122.52584527106956,122.57591374590993,122.72592855291441,123.02613420388661,123.17612841306254,123.22608790895902,123.37608792888932,123.42608846002258,121.9756917227991,None,1,4.869219164131209,124.32648399099708,None,124.32648399099708,None,129.30786411906593,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,1,2023_Jul_07_1458,Cognition2_FullCode1,2021.2.3,100.03351523260365,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/116_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P2,2,1,1,2,1,11,41,56,61,76,81,96,126,141,146,2_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,134.89958460489288,None,135.09963522595353,None,130.90835679206066,134.90937517187558,130.90835679206066,134.90937517187558,136.10983614786528,None,136.2198204160668,136.519878215855,136.66994385793805,136.7199039668776,136.87016739905812,136.9200788519811,137.0702103478834,137.37019103905186,137.5203732990194,137.57030297187157,136.11984245465138,None,137.97047150786966,None,139.2708720548544,None,139.38069672393613,139.68078349996358,139.8308483660221,139.8808420698624,140.0309682439547,140.33103004004806,140.48119698488154,140.53098633489572,140.6810927169863,140.73101637791842,139.2808783616405,None,2,0.780312528135255,141.63137754891068,None,141.63137754891068,None,142.53167681884952,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,1,2023_Jul_07_1458,Cognition2_FullCode1,2021.2.3,100.03351523260365,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/116_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,148.12314509390853,None,148.32326399697922,None,144.12217827606946,148.12314509390853,144.12217827606946,148.12314509390853,149.34355930099264,None,149.4535408578813,149.50356662506238,149.65363244106993,149.95378838293254,150.10386727307923,150.1537221618928,150.30385745503008,150.60405742190778,150.75403965590522,150.80394978797995,149.35356560777873,None,151.20403861696832,None,152.50459689390846,None,152.61456738691777,152.6644967070315,152.81460995506495,153.11462712986395,153.2647434240207,153.31467796699144,153.46470345393755,153.76490167505108,153.91503275185823,153.9649875520263,152.51460320069455,None,1,0.970449605025351,154.86522895400412,None,154.86522895400412,None,155.94548448408023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,1,2023_Jul_07_1458,Cognition2_FullCode1,2021.2.3,100.03351523260365,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/116_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P4,1,2,1,1,2,11,16,31,61,76,81,96,101,116,146,4_practAudFile.wav,1,pc2,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,161.53700622101314,None,161.73708271002397,None,157.53600077005103,161.53700622101314,157.53600077005103,161.53700622101314,162.7473885100335,None,162.8573441139888,162.9074954430107,163.05747074098326,163.35753331403248,163.50768356001936,163.55757287098095,163.70768492203206,164.00781943788752,164.15782227087766,164.20775133906864,162.75739481681958,None,164.60799017292447,None,165.91832643700764,None,166.0284224478528,166.0783205900807,166.22840297990479,166.5284169879742,166.67855758802034,166.72846804885194,166.87874427600764,166.9285794319585,167.0786844319664,167.37872915202752,165.92833274379373,None,2,0.9566356379073113,168.27906426088884,None,168.27906426088884,None,169.33927068999037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,1,2023_Jul_07_1458,Cognition2_FullCode1,2021.2.3,100.03351523260365,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/116_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,2,1,2,1,11,41,53,83,95,100,112,142,154,159,3_audFile.wav,10,7,18,2,2,1,1,2,11,41,53,83,95,100,112,117,129,159,3_audFile.wav,10,,0,2,,,16,1,171,176,1,171,176,7,,,,0,0,0,0,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.06435797200538,None,,,,,,,,,,,,,,,1,1.756337652914226,225.7353888999205,None,225.7353888999205,None,,,170.94976973999292,None,space,47.90581444418058,171.04987946897745,None,219.01343601406552,None,219.1935464530252,None,220.20374373486266,None,220.31380256498232,220.61391216306947,220.7338905169163,221.0340552618727,221.15407735086046,221.2040542040486,221.32403750391677,221.6242319229059,221.7442662829999,221.7942688849289,221.91420480096713,221.96426126593724,220.3038267186843,None,223.37468839087524,None,223.48469518590719,223.78483228385448,223.90488672698848,224.20491550001316,224.32495853397995,224.3750973730348,224.4950544340536,224.54498589690775,224.66522808605805,224.96509011089802,225.08521693386137,225.13514880207367,223.47469794084319,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,1,2023_Jul_07_1458,Cognition2_FullCode1,2021.2.3,100.03351523260365,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/116_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,2,1,2,1,11,41,53,83,95,100,112,142,154,159,3_audFile.wav,10,7,18,2,2,1,1,2,11,41,53,83,95,100,112,117,129,159,3_audFile.wav,10,,0,2,,,16,1,171,176,1,171,176,7,,,,0,0,0,0,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230.58677474991418,None,,,,,,,,,,,,,,,2,0.809830681886524,234.2578945409041,None,234.2578945409041,None,,,,,,,,,227.51597076188773,None,227.6960016330704,228.69611625093967,228.7261578210164,None,228.83631641301326,229.13644197885878,229.25637173489667,229.55637339386158,229.67647189903073,229.72650053189136,229.84650594904087,230.1466386159882,230.26674430188723,230.31669939588755,230.43668940407224,230.48666262603365,228.82631935677492,None,231.89723941101693,None,232.00717776897363,232.30718292295933,232.42726540495642,232.72726900386624,232.84742005285807,232.89733090507798,233.01740800286643,233.0675245479215,233.187634622911,233.48751274403185,233.6076267750468,233.65763838402927,231.99714775765315,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,1,2023_Jul_07_1458,Cognition2_FullCode1,2021.2.3,100.03351523260365,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/116_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,4,29,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,,0,1,,,29,2,146,176,2,146,176,4,,,,0,0,0,0,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,238.15887759905308,None,,,,,,,,,,,,,,,1,0.6217293730005622,241.8299620798789,None,241.8299620798789,None,,,,,,,,,235.08803425985388,None,235.26810374087654,236.26834864891134,236.29837790690362,None,236.40845124796033,236.4583619979676,236.5784397830721,236.62855109293014,236.74865700304508,237.0485161789693,237.16877886699513,237.218612852972,237.33866823790595,237.63891392899677,237.75888891797513,238.05892011686228,236.3984897468239,None,239.4693762869574,None,239.57938959798776,239.62938494002447,239.74941937695257,239.7993482928723,239.91954709100537,240.21954125189222,240.33959167799912,240.38946057087742,240.50973139307462,240.8097638299223,240.929858522024,241.22975381999277,239.56943677980453,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,1,2023_Jul_07_1458,Cognition2_FullCode1,2021.2.3,100.03351523260365,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/116_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,1,2,1,11,16,28,58,70,75,87,117,129,134,3_audFile.wav,10,5,26,1,2,1,2,1,11,16,28,58,70,75,87,117,129,134,3_audFile.wav,10,,0,1,,,26,2,146,176,2,146,176,5,,,,0,0,0,0,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,245.5511613599956,None,,,,,,,,,,,,,,,1,0.5255750170908868,249.22211843892,None,249.22211843892,None,,,,,,,,,242.480149297975,None,242.6602837620303,243.6604361908976,243.69053621706553,None,243.80074996803887,243.85051704687066,243.9706087950617,244.2706719019916,244.39072710485198,244.4406207469292,244.56088864500634,244.86095447698608,244.98101979889907,245.03093769703992,245.15092714503407,245.45100570400245,243.7904643917922,None,246.86148657090962,None,246.9714759909548,247.02153249806724,247.14152579405345,247.4415340500418,247.56170202605426,247.61174184107222,247.73163946485147,248.0316697510425,248.15187590988353,248.2016883280594,248.32183742406778,248.62185989506543,246.96136434478686,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,1,2023_Jul_07_1458,Cognition2_FullCode1,2021.2.3,100.03351523260365,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/116_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,4,27,1,1,2,2,1,11,16,28,33,45,75,87,117,129,134,3_audFile.wav,10,,0,2,,,29,2,146,176,2,146,176,4,,,,0,0,0,0,,,,,0,4,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.84319182788022,None,,,,,,,,,,,,,,,2,0.8733819129411131,256.5143152528908,None,256.5143152528908,None,,,,,,,,,249.77221557707526,None,249.95226118690334,250.95249320496805,250.98265546001494,None,251.09258318296634,251.14265535585582,251.26275056391023,251.31269557704218,251.43264949391596,251.73282023286447,251.85289075504988,251.90275402297266,252.02281723706983,252.3229966929648,252.44310899288394,252.7430252819322,251.08256050068886,None,254.15344691905193,None,254.26349103194661,254.31357427500188,254.43358262395486,254.4835051188711,254.60366031201556,254.90368672390468,255.02404773794115,255.32387059694156,255.44394536688924,255.49399229395203,255.61390233691782,255.91394183505327,254.2534715718124,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,1,2023_Jul_07_1458,Cognition2_FullCode1,2021.2.3,100.03351523260365,
