filePaths,practFiles,StimulusCode,stim1,stim2,stim3,stim4,stim5,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,audFile_i2,audStart_i2,similCatp,setVol,corrMatchAnswer,whatCondIs,trialTypeName,rhythm,stim6,stim6Start,stim6End,stim6_i2,stim6Start_i2,stim6End_i2,similCat_i2,condFilePath,sensoryCond,stimStart,overarchingRhythmOrder.thisRepN,overarchingRhythmOrder.thisTrialN,overarchingRhythmOrder.thisN,overarchingRhythmOrder.thisIndex,rhythmPractTrials.thisRepN,rhythmPractTrials.thisTrialN,rhythmPractTrials.thisN,rhythmPractTrials.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions_2.started,variableInstructions_2.stopped,goToBlockKey_2.keys,goToBlockKey_2.rt,goToBlockKey_2.started,goToBlockKey_2.stopped,text_9.started,text_9.stopped,preFix_2.started,preFix_2.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,holdFix_2.started,holdFix_2.stopped,cir1_2.started,cir1_2.stopped,cir2_2.started,cir2_2.stopped,cir3_2.started,cir3_2.stopped,cir4_2.started,cir4_2.stopped,cir5_2.started,cir5_2.stopped,audioTrialSound_2.started,audioTrialSound_2.stopped,text.started,text.stopped,holdFix_i2_2.started,holdFix_i2_2.stopped,cir1_i2_2.started,cir1_i2_2.stopped,cir2_i2_2.started,cir2_i2_2.stopped,cir3_i2_2.started,cir3_i2_2.stopped,cir4_i2_2.started,cir4_i2_2.stopped,cir5_i2_2.started,cir5_i2_2.stopped,audioTrialSound_i2_2.started,audioTrialSound_i2_2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,text_5.started,text_5.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.rt,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.129938646918163,None,space,274.94109799386933,22.309846244985238,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,1,2023_Jul_11_1658,Cognition2_FullCode1,2021.2.3,101.54457942999126,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/120_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,297.3982574190013,None,space,9.320687667001039,297.4981909249909,None,310.9520660249982,None,311.1521353868302,None,306.95102646993473,310.9520660249982,306.95102646993473,310.9520660249982,312.15240857587196,None,312.2626207009889,312.5625383639708,312.7126488238573,312.7625696279574,312.9126525509637,313.21286946791224,313.362708510831,313.41288133198395,313.5629116119817,313.6127748629078,312.162410692079,None,314.01316144503653,None,315.32349103386514,None,315.43337725498714,315.73347002384253,315.8835216208827,315.93344501103275,316.08361705602147,316.3836904449854,316.5336658358574,316.5838058309164,316.73374064383097,316.78368326695636,315.3334931500722,None,1,2.6308299279771745,317.6840894429479,None,317.6840894429479,None,320.42489433288574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,1,2023_Jul_11_1658,Cognition2_FullCode1,2021.2.3,101.54457942999126,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/120_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P2,2,1,1,2,1,11,41,56,61,76,81,96,126,141,146,2_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,326.01636958890595,None,326.21651296899654,None,322.0252460418269,326.0264088739641,322.0252460418269,326.0264088739641,327.22672703885473,None,327.3368486969266,327.636901171878,327.7869899228681,327.83695493801497,327.98699691402726,328.03701197286136,328.1871851528995,328.4870854970068,328.63714403891936,328.6871823510155,327.23672915506177,None,329.08738010097295,None,330.3878317498602,None,330.4978387709707,330.7977806299459,330.94778666994534,330.99781238194555,331.14799315994605,331.44792658789083,331.5982973789796,331.6482098158449,331.7981194858439,331.8480174159631,330.39783386606723,None,2,1.0944244810380042,332.7484503770247,None,332.7484503770247,None,333.9486483808141,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,1,2023_Jul_11_1658,Cognition2_FullCode1,2021.2.3,101.54457942999126,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/120_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,339.5402526608668,None,339.7403179539833,None,335.5392834888771,339.5402526608668,335.5392834888771,339.5402526608668,340.7505415289197,None,340.8606396468822,340.9106289378833,341.0606596188154,341.3606994529255,341.51080221892335,341.5608063668478,341.71085819392465,342.0110152878333,342.1610345558729,342.2109786798246,340.76054364512675,None,342.6112634839956,None,343.9116383958608,None,344.0214730890002,344.07160995481536,344.2215878358111,344.52173604187556,344.67184643191285,344.72171203186736,344.8718166479375,345.1717923358083,345.3220290658064,345.37184195802547,343.9216405120678,None,1,1.1306146080605686,346.272239575861,None,346.272239575861,None,347.51268000598066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,1,2023_Jul_11_1658,Cognition2_FullCode1,2021.2.3,101.54457942999126,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/120_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P4,1,2,1,1,2,11,16,31,61,76,81,96,101,116,146,4_practAudFile.wav,1,pc2,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,353.1042607908603,None,353.3042091818061,None,349.1030781529844,353.1042607908603,349.1030781529844,353.1042607908603,354.31438515498303,None,354.4244883819483,354.4744763658382,354.62455414095894,354.924598621903,355.0746984540019,355.12461627298035,355.2747960619163,355.5747495298274,355.7248812930193,355.7750169329811,354.32438727119006,None,356.1750627530273,None,357.4755555528682,None,357.5855473028496,357.6353472918272,357.785574862035,358.0854988649953,358.2355833349284,358.28554932191037,358.4355964008719,358.48556772083975,358.63566718786024,358.93574207182974,357.4855576690752,None,2,1.4867269990500063,359.8361322779674,None,359.8361322779674,None,361.42659750091843,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,1,2023_Jul_11_1658,Cognition2_FullCode1,2021.2.3,101.54457942999126,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/120_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,1,1,11,41,53,58,70,100,112,117,129,134,3_audFile.wav,10,6,21,2,1,1,2,2,11,41,53,58,70,75,87,117,129,159,3_audFile.wav,10,,0,2,,,23,2,146,176,1,171,176,6,,,,0,0,0,0,,,,,0,0,0,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,372.3597773979418,None,,,,,,,,,,,,,,,2,0.5720641708467156,376.03079935582355,None,376.03079935582355,None,,,363.0371041169856,None,space,6.121815686114132,363.1370670038741,None,369.30892930785194,None,369.49885143199936,None,370.49913222598843,None,370.6091321199201,370.9092729398981,371.02923810086213,371.0792267709039,371.19924294087104,371.49945417093113,371.61947143101133,371.6693958048709,371.7895510678645,371.83946185885,371.95973427197896,372.2596617359668,370.5992829860188,None,373.66997295990586,None,373.7801038508769,374.0801392849535,374.20009661093354,374.2501860249322,374.37034198385663,374.42022513598204,374.54018077487126,374.8403898058459,374.9604969609063,375.2604168278631,375.38051017699763,375.4304747779388,373.7701287921518,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,1,2023_Jul_11_1658,Cognition2_FullCode1,2021.2.3,101.54457942999126,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/120_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,4,29,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,,0,1,,,29,2,146,176,2,146,176,4,,,,0,0,0,0,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,379.70174708683044,None,,,,,,,,,,,,,,,1,6.037965990835801,383.37289910088293,None,383.37289910088293,None,,,,,,,,,376.63101126789115,None,376.81090016290545,377.81112969783135,377.8411422430072,None,377.9512443738058,378.00123296887614,378.12129387492314,378.17121250601485,378.29129543481395,378.59130888897926,378.7114488990046,378.76145087881014,378.8815739378333,379.1815894548781,379.30177293601446,379.6017786390148,377.9412043062039,None,381.01221995591186,None,381.12205814383924,381.1721881569829,381.292230586987,381.3421951229684,381.46229270496406,381.76229455298744,381.8823481579311,381.9323498089798,382.0524231449235,382.35247214580886,382.4725195770152,382.7725035138428,381.1120425942354,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,1,2023_Jul_11_1658,Cognition2_FullCode1,2021.2.3,101.54457942999126,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/120_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,6,19,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,,0,1,,,19,1,171,176,1,171,176,6,,,,0,0,0,0,,,,,0,2,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.5055610858835,None,,,,,,,,,,,,,,,2,1.1144596729427576,396.1764048309997,None,396.1764048309997,None,,,,,,,,,389.4346064198762,None,389.61468404182233,390.6148359258659,390.6449497458525,None,390.75490444293246,391.05496217589825,391.1751645838376,391.2251594928093,391.3451515119523,391.6453780129086,391.76527298102155,391.8151143239811,391.93524840380996,392.23535387497395,392.3553600718733,392.40527733881027,390.7450037181843,None,393.8156871399842,None,393.92577369487844,394.22586730797775,394.345830473816,394.39589540380985,394.51612414303236,394.8159509578254,394.9360701579135,394.9862271028105,395.1061213449575,395.4061287038494,395.5263484788593,395.5763206379488,393.91577560501173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,1,2023_Jul_11_1658,Cognition2_FullCode1,2021.2.3,101.54457942999126,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/120_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,1,2,2,11,41,53,58,70,75,87,117,129,159,3_audFile.wav,10,6,19,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,,0,2,,,21,1,171,176,1,171,176,6,,,,0,0,0,0,,,,,0,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400.3877605088055,None,,,,,,,,,,,,,,,1,3.640094836940989,404.0587711178232,None,404.0587711178232,None,,,,,,,,,397.31666778982617,None,397.49685648386367,398.49711355986074,398.5271865418181,None,398.6371405138634,398.9371806078125,399.0572210478131,399.10723291081376,399.22730318293907,399.27744934381917,399.39736164198257,399.6973414130043,399.8173835189082,400.11747674900107,400.237595716957,400.28750469884835,398.62725372822024,None,401.6980137329083,None,401.80802128301,402.108122990001,402.22815943788737,402.2781696708407,402.39829347189516,402.69822499295697,402.81828573183157,402.86833353783004,402.9883485909086,403.2883667820133,403.4084535220172,403.45846340898424,401.7980640330352,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,1,2023_Jul_11_1658,Cognition2_FullCode1,2021.2.3,101.54457942999126,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/120_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,1,2,2,1,11,16,28,33,45,75,87,117,129,134,3_audFile.wav,10,4,29,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,,0,2,,,27,2,146,176,2,146,176,4,,,,0,0,0,0,,,,,0,4,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.7906327280216,None,,,,,,,,,,,,,,,1,0.6532165270764381,414.4616997570265,None,414.4616997570265,None,,,,,,,,,407.719772269018,None,407.89998749597,408.9001186308451,408.92999707884155,None,409.0401526589412,409.0901411678642,409.21032123384066,409.260247096885,409.3802344549913,409.6803776558954,409.80047900392674,410.10056481999345,410.22045795386657,410.2704995640088,410.39061686000787,410.69054080802016,409.0300945912022,None,412.10106335696764,None,412.21098898584023,412.2610489798244,412.38111828803085,412.4310951239895,412.5511747659184,412.8512888229452,412.9712538139429,413.0213113769423,413.1414052080363,413.44138231896795,413.56152677489445,413.8614302398637,412.2011768750381,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,1,2023_Jul_11_1658,Cognition2_FullCode1,2021.2.3,101.54457942999126,
