filePaths,practFiles,StimulusCode,stim1,stim2,stim3,stim4,stim5,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,audFile_i2,audStart_i2,similCatp,setVol,corrMatchAnswer,whatCondIs,trialTypeName,rhythm,stim6,stim6Start,stim6End,stim6_i2,stim6Start_i2,stim6End_i2,similCat_i2,condFilePath,sensoryCond,stimStart,overarchingRhythmOrder.thisRepN,overarchingRhythmOrder.thisTrialN,overarchingRhythmOrder.thisN,overarchingRhythmOrder.thisIndex,rhythmPractTrials.thisRepN,rhythmPractTrials.thisTrialN,rhythmPractTrials.thisN,rhythmPractTrials.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions_2.started,variableInstructions_2.stopped,goToBlockKey_2.keys,goToBlockKey_2.rt,goToBlockKey_2.started,goToBlockKey_2.stopped,text_9.started,text_9.stopped,preFix_2.started,preFix_2.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,holdFix_2.started,holdFix_2.stopped,cir1_2.started,cir1_2.stopped,cir2_2.started,cir2_2.stopped,cir3_2.started,cir3_2.stopped,cir4_2.started,cir4_2.stopped,cir5_2.started,cir5_2.stopped,audioTrialSound_2.started,audioTrialSound_2.stopped,text.started,text.stopped,holdFix_i2_2.started,holdFix_i2_2.stopped,cir1_i2_2.started,cir1_i2_2.stopped,cir2_i2_2.started,cir2_i2_2.stopped,cir3_i2_2.started,cir3_i2_2.stopped,cir4_i2_2.started,cir4_i2_2.stopped,cir5_i2_2.started,cir5_i2_2.stopped,audioTrialSound_i2_2.started,audioTrialSound_i2_2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,text_5.started,text_5.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.rt,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.343004683963954,None,space,28.492822370957583,14.530132301151752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,1,2023_Dec_06_1014,Cognition2_FullCode1,2021.2.3,99.82636532327618,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/148_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,43.16856489516795,None,space,14.67434212891385,43.26859131408855,None,62.09375004004687,None,62.29380113305524,None,58.09266283316538,62.09375004004687,58.09266283316538,62.09375004004687,63.28405701788142,None,63.394095906987786,63.694287108723074,63.84428548812866,63.89415406715125,64.04439196409658,64.34459906397387,64.49459057999775,64.54457972804084,64.69449397781864,64.74447851302102,63.2940831833519,None,65.14473221916705,None,66.45501803001389,None,66.56503160577267,66.86512412689626,67.01507892180234,67.06528161186725,67.2151441317983,67.51539378101006,67.66541053773835,67.71527703711763,67.86548577295616,67.91531188599765,66.46504419548437,None,1,3.8710571620613337,68.81586803589016,None,68.81586803589016,None,72.79684434970841,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,1,2023_Dec_06_1014,Cognition2_FullCode1,2021.2.3,99.82636532327618,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/148_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P2,2,1,1,2,1,11,41,56,61,76,81,96,126,141,146,2_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,78.3984881779179,None,78.59846414485946,None,74.39730071090162,78.3984881779179,74.39730071090162,78.3984881779179,79.60881517687812,None,79.7188100097701,80.01884310599416,80.1690183817409,80.21904516685754,80.36919619701803,80.41922409879044,80.56909893685952,80.86913708178326,81.0192530490458,81.06913845706731,79.6188413423486,None,81.46929385885596,None,82.76997413206846,None,82.87978911912069,83.17974832374603,83.32982482388616,83.37976202275604,83.52986340411007,83.8300336911343,83.98011566279456,84.02996852109209,84.180193815846,84.22996078711003,82.78000029753893,None,2,1.644599116872996,85.13033833773807,None,85.13033833773807,None,86.88078793790191,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,1,2023_Dec_06_1014,Cognition2_FullCode1,2021.2.3,99.82636532327618,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/148_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,92.47251584380865,None,92.6726189837791,None,88.4712938000448,92.47251584380865,88.4712938000448,92.47251584380865,93.68280772306025,None,93.7928264499642,93.84290019096807,93.99281156016514,94.29297069972381,94.44309906894341,94.49310357775539,94.64315697783604,94.94301682990044,95.09310800489038,95.14312449097633,93.69283388853073,None,95.54325507814065,None,96.84404959809035,None,96.95371208805591,97.00378947798163,97.15370386093855,97.45373945916072,97.60399492271245,97.65378895075992,97.8039869107306,98.10406831,98.25406830990687,98.30394633673131,96.85407576356083,None,1,1.7223962363786995,99.20453845104203,None,99.20453845104203,None,101.03490630397573,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,1,2023_Dec_06_1014,Cognition2_FullCode1,2021.2.3,99.82636532327618,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/148_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P4,1,2,1,1,2,11,16,31,61,76,81,96,101,116,146,4_practAudFile.wav,1,pc2,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,106.62649950012565,None,106.82668444188312,None,102.62536086700857,106.62649950012565,102.62536086700857,106.62649950012565,107.83679924579337,None,107.946785336826,107.99693435197696,108.14701838884503,108.44700833503157,108.59694827115163,108.6470404569991,108.79718513414264,109.09721855586395,109.2472393559292,109.29715997679159,107.84682541126385,None,109.6974725308828,None,110.9980976767838,None,111.10774717992172,111.15772525500506,111.3077616780065,111.60779602685943,111.75809033587575,111.80792304687202,111.9579282370396,112.00812770798802,112.15808446984738,112.45807738509029,111.00812384225428,None,2,1.800474625080824,113.35845519276336,None,113.35845519276336,None,115.26890876283869,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,1,2023_Dec_06_1014,Cognition2_FullCode1,2021.2.3,99.82636532327618,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/148_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,1,2,2,1,11,16,28,33,45,75,87,117,129,134,3_audFile.wav,10,4,29,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,,0,2,,,27,2,146,176,2,146,176,4,,,,0,0,0,0,,,,,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.9451381978579,None,,,,,,,,,,,,,,,2,1.190745450090617,140.6161839501001,None,140.6161839501001,None,,,116.87942773476243,None,space,16.867482556030154,116.97950960788876,None,133.90423049079254,None,134.0842658211477,None,135.08460095804185,None,135.19464872172102,135.24467425886542,135.3647795729339,135.41467226715758,135.53470371384174,135.83475540671498,135.9548483779654,136.25487965997308,136.3750855331309,136.42488921899348,136.54501116275787,136.8450133819133,135.1845686186105,None,138.25535303214565,None,138.36550378985703,138.41548353992403,138.53558358596638,138.58547291578725,138.7055297079496,139.0056538777426,139.12575311074033,139.17577861296013,139.29567484278232,139.5958998631686,139.71591264894232,140.01597824599594,138.35547868832947,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,1,2023_Dec_06_1014,Cognition2_FullCode1,2021.2.3,99.82636532327618,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/148_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,1,2,1,11,41,53,58,70,75,87,117,129,134,3_audFile.wav,10,6,25,2,1,1,2,1,11,41,53,58,70,75,87,117,129,134,3_audFile.wav,10,,0,1,,,25,2,146,176,2,146,176,6,,,,0,0,0,0,,,,,0,1,1,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.8974468638189,None,,,,,,,,,,,,,,,1,1.3744480470195413,148.56849512504414,None,148.56849512504414,None,,,,,,,,,141.8267172407359,None,142.01664682477713,143.01686382573098,143.03694760007784,None,143.14702446572483,143.44706510473043,143.56702704913914,143.61697415774688,143.73709452990443,143.78697900893167,143.90706760808825,144.2072726157494,144.32732278481126,144.3772652251646,144.49733528774232,144.79743312112987,143.13681761752815,None,146.20774191897362,None,146.3178085340187,146.6178767788224,146.73788050888106,146.78783129993826,146.90796729782596,146.95789962401614,147.07790977414697,147.37818233575672,147.49821123899892,147.54802604671568,147.66824382077903,147.9682211438194,146.30779036432506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,1,2023_Dec_06_1014,Cognition2_FullCode1,2021.2.3,99.82636532327618,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/148_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,4,29,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,,0,1,,,29,2,146,176,2,146,176,4,,,,0,0,0,0,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153.03970538591966,None,,,,,,,,,,,,,,,1,0.06414092658087611,156.71080364100635,None,156.71080364100635,None,,,,,,,,,149.96872136509046,None,150.1489385557361,151.1491414369084,151.17922949278727,None,151.28934187674895,151.3391551799141,151.45928072510287,151.50922376383096,151.62937982287258,151.92931332672015,152.04935832787305,152.09944336907938,152.21947942581028,152.51948291203007,152.6397501458414,152.93962921900675,151.27930541820825,None,154.35012184409425,None,154.46029015583917,154.51033416716382,154.6303288550116,154.68031281372532,154.8003524527885,155.1003408478573,155.2204921450466,155.27038508374244,155.39039039472118,155.6904675848782,155.810667083133,156.11068296572194,154.4502894773148,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,1,2023_Dec_06_1014,Cognition2_FullCode1,2021.2.3,99.82636532327618,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/148_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,2,1,2,1,11,41,53,83,95,100,112,142,154,159,3_audFile.wav,10,7,18,2,2,1,1,2,11,41,53,83,95,100,112,117,129,159,3_audFile.wav,10,,0,2,,,16,1,171,176,1,171,176,7,,,,0,0,0,0,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.87173524079844,None,,,,,,,,,,,,,,,1,0.5520924059674144,163.54283906472847,None,163.54283906472847,None,,,,,,,,,156.8008652268909,None,156.98100307304412,157.98118299478665,158.01108656683937,None,158.1211665077135,158.4212092650123,158.5412939521484,158.84139114571735,158.9613794167526,159.0115165701136,159.13148594275117,159.4315313939005,159.55168095277622,159.60172384092584,159.72170595405623,159.7717217230238,158.11122098350899,None,161.18208036990836,None,161.29210630012676,161.59217097703367,161.71219427511096,162.01230009272695,162.13225523475558,162.1823546537198,162.3023546957411,162.3523565698415,162.47245921893045,162.7724508238025,162.8926840960048,162.9426565761678,161.28214564658703,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,1,2023_Dec_06_1014,Cognition2_FullCode1,2021.2.3,99.82636532327618,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/148_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,1,2,2,11,41,53,58,70,75,87,117,129,159,3_audFile.wav,10,6,21,2,1,1,2,2,11,41,53,58,70,75,87,117,129,159,3_audFile.wav,10,,0,1,,,21,1,171,176,1,171,176,6,,,,0,0,0,0,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.1938056279905,None,,,,,,,,,,,,,,,1,0.1181160300038755,170.86488272901624,None,170.86488272901624,None,,,,,,,,,164.12297243904322,None,164.30302041210234,165.303246662952,165.33335791900754,None,165.44329077610746,165.7432928099297,165.8633705219254,165.91331027494743,166.03345231804997,166.08335689315572,166.20346827991307,166.50366832409054,166.62362591875717,166.92371656373143,167.04375045280904,167.09379278402776,165.43325148541481,None,168.50397347472608,None,168.61430605873466,168.91414349991828,169.03428526874632,169.0842518717982,169.2042453410104,169.25429803784937,169.3744288510643,169.674550418742,169.79450528183952,170.0945550389588,170.21478276094422,170.26469365414232,168.60425972351806,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148,1,2023_Dec_06_1014,Cognition2_FullCode1,2021.2.3,99.82636532327618,
