filePaths,practFiles,StimulusCode,stim1,stim2,stim3,stim4,stim5,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,audFile_i2,audStart_i2,similCatp,setVol,corrMatchAnswer,whatCondIs,trialTypeName,rhythm,stim6,stim6Start,stim6End,stim6_i2,stim6Start_i2,stim6End_i2,similCat_i2,condFilePath,sensoryCond,stimStart,overarchingRhythmOrder.thisRepN,overarchingRhythmOrder.thisTrialN,overarchingRhythmOrder.thisN,overarchingRhythmOrder.thisIndex,rhythmPractTrials.thisRepN,rhythmPractTrials.thisTrialN,rhythmPractTrials.thisN,rhythmPractTrials.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions_2.started,variableInstructions_2.stopped,goToBlockKey_2.keys,goToBlockKey_2.rt,goToBlockKey_2.started,goToBlockKey_2.stopped,text_9.started,text_9.stopped,preFix_2.started,preFix_2.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,holdFix_2.started,holdFix_2.stopped,cir1_2.started,cir1_2.stopped,cir2_2.started,cir2_2.stopped,cir3_2.started,cir3_2.stopped,cir4_2.started,cir4_2.stopped,cir5_2.started,cir5_2.stopped,audioTrialSound_2.started,audioTrialSound_2.stopped,text.started,text.stopped,holdFix_i2_2.started,holdFix_i2_2.stopped,cir1_i2_2.started,cir1_i2_2.stopped,cir2_i2_2.started,cir2_i2_2.stopped,cir3_i2_2.started,cir3_i2_2.stopped,cir4_i2_2.started,cir4_i2_2.stopped,cir5_i2_2.started,cir5_i2_2.stopped,audioTrialSound_i2_2.started,audioTrialSound_i2_2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,text_5.started,text_5.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.rt,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,catchEarly.rt,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,byebyeText.started,byebyeText.stopped,pressToEnd.keys,pressToEnd.rt,pressToEnd.started,pressToEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.346466627903283,None,space,84.99823587620631,13.533285105135292,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,1,2023_Dec_06_1713,Cognition2_FullCode1,2021.2.3,99.93864572065766,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/150_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,98.67738205427304,None,space,26.426075527910143,98.77742122206837,None,129.32600048417225,None,129.5260672471486,None,125.32508191699162,129.32600048417225,125.32508191699162,129.32600048417225,130.5363372019492,None,130.64654498221353,130.9465423352085,131.0965564600192,131.146536659915,131.29663658095524,131.59659723518416,131.7466591661796,131.79666105518118,131.9467526623048,131.99667495209724,130.54634453305044,None,132.39688534196466,None,133.70737203024328,None,133.81738175312057,134.11745033226907,134.26738973427564,134.3173729092814,134.4674587729387,134.7675180840306,134.9176258603111,134.96752902213484,135.11767319915816,135.16765534924343,133.7173793613445,None,1,3.1435654391534626,136.06797668198124,None,136.06797668198124,None,139.3288147682324,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,1,2023_Dec_06_1713,Cognition2_FullCode1,2021.2.3,99.93864572065766,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/150_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P2,2,1,1,2,1,11,41,56,61,76,81,96,126,141,146,2_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,144.93046034825966,None,145.13064246531576,None,140.92939599230886,144.93046034825966,140.92939599230886,144.93046034825966,146.14073622692376,None,146.2509264810942,146.5508724260144,146.70104112103581,146.75093431118876,146.90100495610386,146.95097548002377,147.10104154935107,147.4011434991844,147.5512544750236,147.60114788124338,146.150743558025,None,148.001355051063,None,149.30202378612012,None,149.41178664006293,149.71180395502597,149.86205233028159,149.91183171933517,150.0619554752484,150.36199400713667,150.51196689717472,150.56203920720145,150.71219347789884,150.7621995662339,149.31203111722135,None,2,2.1730911880731583,151.66249332902953,None,151.66249332902953,None,153.9429936450906,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,1,2023_Dec_06_1713,Cognition2_FullCode1,2021.2.3,99.93864572065766,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/150_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,159.5347488373518,None,159.7348421611823,None,155.5335531430319,159.5347488373518,155.5335531430319,159.5347488373518,160.74498508824036,None,160.85509285330772,160.90488709323108,161.05502307089046,161.35512802796438,161.50529266614467,161.55515597434714,161.70530114509165,162.00525485631078,162.15540104499087,162.20541206328198,160.7549924193416,None,162.60550323314965,None,163.90605763625354,None,164.0159130813554,164.0659295571968,164.21612596698105,164.51605903590098,164.66618061996996,164.71605660719797,164.8662947230041,165.16632266994566,165.31641516229138,165.3663256042637,163.91606496735477,None,1,1.0089302998967469,166.26655296934769,None,166.26655296934769,None,167.3768944418989,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,1,2023_Dec_06_1713,Cognition2_FullCode1,2021.2.3,99.93864572065766,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/150_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P4,1,2,1,1,2,11,16,31,61,76,81,96,101,116,146,4_practAudFile.wav,1,pc2,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,172.96842267923057,None,173.16865549702197,None,168.96739221410826,172.96842267923057,168.96739221410826,172.96842267923057,174.17891393834725,None,174.28887362824753,174.3388850092888,174.4888999182731,174.788986842148,174.9389456231147,174.989145567175,175.1390981390141,175.43912896420807,175.58921220107004,175.63915772689506,174.18892126944849,None,176.03939983202145,None,177.34002936724573,None,177.44981039734557,177.4997783699073,177.64986924733967,177.94988183211535,178.10003851121292,178.1500517129898,178.30014853924513,178.34995473222807,178.5000497121364,178.80008950829506,177.35003669834697,None,2,0.8710124250501394,179.70047852909192,None,179.70047852909192,None,180.69068287825212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,1,2023_Dec_06_1713,Cognition2_FullCode1,2021.2.3,99.93864572065766,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/150_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,1,2,2,1,11,16,28,33,45,75,87,117,129,134,3_audFile.wav,10,4,27,1,1,2,2,1,11,16,28,33,45,75,87,117,129,134,3_audFile.wav,10,,0,1,,,27,2,146,176,2,146,176,4,,,,0,0,0,0,,,,,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.3223203192465,None,,,,,,,,,,,,,,,1,1.8821146111004055,189.9933694349602,None,189.9933694349602,None,,,182.3012830321677,None,space,0.8261276562698185,182.40136379934847,None,183.2814947590232,None,183.4615030870773,None,184.46182610513642,None,184.57191221695393,184.6217122869566,184.7417542883195,184.7918288949877,184.91194993117824,185.211911926046,185.33194600930437,185.63226093025878,185.75217612506822,185.80210751434788,185.92211901489645,186.22231172025204,184.56187717006543,None,187.63276300625876,None,187.74271567724645,187.79284570598975,187.9127974882722,187.96273600822315,188.0829488732852,188.38294899789616,188.50303102005273,188.80293668806553,188.92320861993358,188.973133365158,189.09308619331568,189.39326854702085,187.73265675823205,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,1,2023_Dec_06_1713,Cognition2_FullCode1,2021.2.3,99.93864572065766,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/150_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,1,2,2,11,41,53,58,70,75,87,117,129,159,3_audFile.wav,10,6,21,2,1,1,2,2,11,41,53,58,70,75,87,117,129,159,3_audFile.wav,10,,0,1,,,21,1,171,176,1,171,176,6,,,,0,0,0,0,,,,,0,1,1,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194.9749632263556,None,,,,,,,,,,,,,,,2,0.6696608881466091,198.64587208395824,None,198.64587208395824,None,,,,,,,,,191.9039121279493,None,192.08395525207743,193.08421936631203,193.11414194433019,None,193.22433693427593,193.52427275199443,193.64445840613917,193.69435557629913,193.81457172427326,193.864326632116,193.98450124589726,194.28452331526205,194.40476231323555,194.7046887972392,194.824725988321,194.87469535507262,193.21420490504244,None,196.28508109692484,None,196.39515412598848,196.69515640521422,196.81523471092805,196.86520382203162,196.9854647340253,197.03535920428112,197.15547127416357,197.45545544615015,197.57550623407587,197.87569488491863,197.99571731500328,198.04560803016648,196.38523134305143,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,1,2023_Dec_06_1713,Cognition2_FullCode1,2021.2.3,99.93864572065766,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/150_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,1,2,1,11,41,53,58,70,75,87,117,129,134,3_audFile.wav,10,6,19,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,,0,2,,,25,2,146,176,1,171,176,6,,,,0,0,0,0,,,,,0,2,2,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,202.40703591424972,None,,,,,,,,,,,,,,,2,1.0295371799729764,206.0780022549443,None,206.0780022549443,None,,,,,,,,,199.3359396723099,None,199.51605575717986,200.5162835731171,200.5462478613481,None,200.65640933206305,200.95660239411518,201.07651660218835,201.12659170292318,201.24654515320435,201.29658057633787,201.41668264428154,201.71676344098523,201.83680548518896,201.8868773248978,202.0069229430519,202.30684649199247,200.64633113606834,None,203.71728534204885,None,203.8272861451842,204.12735851528123,204.24757821392268,204.29735484020784,204.41751988232136,204.717558441218,204.83760438114405,204.88754451228306,205.00772062828764,205.30775966495275,205.4278066419065,205.47766243992373,203.817268471187,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,1,2023_Dec_06_1713,Cognition2_FullCode1,2021.2.3,99.93864572065766,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/150_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,2,1,1,11,16,28,58,70,100,112,117,129,134,3_audFile.wav,10,5,28,1,2,1,1,2,11,16,28,58,70,75,87,92,104,134,3_audFile.wav,10,,0,2,,,24,2,146,176,2,146,176,5,,,,0,0,0,0,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.19912913721055,None,,,,,,,,,,,,,,,1,1.4852698747999966,213.87023217091337,None,213.87023217091337,None,,,,,,,,,207.12819843413308,None,207.3083947710693,208.30851616105065,208.33856398193166,None,208.4485644600354,208.49860745994374,208.6186901400797,208.91875277692452,209.03880645893514,209.33886880101636,209.458919019904,209.50882274424657,209.62914072116837,209.67892846791074,209.79893141333014,210.09910787409171,208.43864470110276,None,211.5094850389287,None,211.6195497419685,211.66949170222506,211.78960558911785,212.08966845832765,212.20967139909044,212.2595988479443,212.37986182095483,212.42970878630877,212.54985600989312,212.84997041290626,212.97007741313428,213.2700184211135,211.6096221589949,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,1,2023_Dec_06_1713,Cognition2_FullCode1,2021.2.3,99.93864572065766,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/150_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,2,1,2,11,16,28,58,70,100,112,117,129,159,3_audFile.wav,10,5,20,1,2,2,1,2,11,16,28,58,70,100,112,117,129,159,3_audFile.wav,10,,0,1,,,20,1,171,176,1,171,176,5,,,,0,0,0,0,,,,,0,4,4,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.4515271373093,None,,,,,,,,,,,,,,,2,2.3370362147688866,222.12244816916063,None,222.12244816916063,None,,,,,,,,,215.38057594792917,None,215.5607395619154,216.56086716102436,216.59109885804355,None,216.70101996790618,216.75095969624817,216.87094877613708,217.17118790000677,217.2911717519164,217.5911955712363,217.7113412762992,217.7611927962862,217.88140922831371,218.1814028052613,218.30155558511615,218.35135387908667,216.6908965412993,None,219.76179965632036,None,219.8720219861716,219.92180168395862,220.041835217271,220.34197248425335,220.46214279532433,220.76220221817493,220.88212398812175,220.93222032813355,221.05227746022865,221.3522222689353,221.47241306491196,221.5222918940708,219.8618201273028,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150,1,2023_Dec_06_1713,Cognition2_FullCode1,2021.2.3,99.93864572065766,
