filePaths,practFiles,StimulusCode,stim1,stim2,stim3,stim4,stim5,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,audFile_i2,audStart_i2,similCatp,setVol,corrMatchAnswer,whatCondIs,trialTypeName,rhythm,stim6,stim6Start,stim6End,stim6_i2,stim6Start_i2,stim6End_i2,similCat_i2,condFilePath,sensoryCond,stimStart,overarchingRhythmOrder.thisRepN,overarchingRhythmOrder.thisTrialN,overarchingRhythmOrder.thisN,overarchingRhythmOrder.thisIndex,rhythmPractTrials.thisRepN,rhythmPractTrials.thisTrialN,rhythmPractTrials.thisN,rhythmPractTrials.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions_2.started,variableInstructions_2.stopped,goToBlockKey_2.keys,goToBlockKey_2.rt,goToBlockKey_2.started,goToBlockKey_2.stopped,text_9.started,text_9.stopped,preFix_2.started,preFix_2.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,holdFix_2.started,holdFix_2.stopped,cir1_2.started,cir1_2.stopped,cir2_2.started,cir2_2.stopped,cir3_2.started,cir3_2.stopped,cir4_2.started,cir4_2.stopped,cir5_2.started,cir5_2.stopped,audioTrialSound_2.started,audioTrialSound_2.stopped,text.started,text.stopped,holdFix_i2_2.started,holdFix_i2_2.stopped,cir1_i2_2.started,cir1_i2_2.stopped,cir2_i2_2.started,cir2_i2_2.stopped,cir3_i2_2.started,cir3_i2_2.stopped,cir4_i2_2.started,cir4_i2_2.stopped,cir5_i2_2.started,cir5_i2_2.stopped,audioTrialSound_i2_2.started,audioTrialSound_i2_2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,text_5.started,text_5.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,yesHitIt.rt,catchEarly.rt,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,byebyeText.started,byebyeText.stopped,pressToEnd.keys,pressToEnd.rt,pressToEnd.started,pressToEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.781478392891586,None,space,25.13733533397317,14.959781208075583,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,1,2024_Jan_19_1224,Cognition2_FullCode1,2021.2.3,99.97077190825523,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/152_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,40.25718934787437,None,space,13.020037475042045,40.35708925779909,None,57.52188836224377,None,57.72220556717366,None,53.5211681779474,57.52188836224377,53.5211681779474,57.52188836224377,58.712253218051046,None,58.82230656594038,59.12233667680994,59.27254738705233,59.32242874708027,59.47237490490079,59.772562983911484,59.922810745891184,59.97256705490872,60.122717154212296,60.1725928070955,58.722297850856556,None,60.572865252848715,None,61.88318000687286,None,61.99311173707247,62.29324522195384,62.443307247012854,62.49336769292131,62.64337575016543,62.943529203068465,63.093571620061994,63.14350372413173,63.29360179323703,63.3435423001647,61.89322463967837,None,1,0.7332757175900042,64.24387756921351,None,64.24387756921351,None,65.08426757901907,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,1,2024_Jan_19_1224,Cognition2_FullCode1,2021.2.3,99.97077190825523,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/152_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P2,2,1,1,2,1,11,41,56,61,76,81,96,126,141,146,2_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,70.68579101003706,None,70.88577637309209,None,66.68472325382754,70.68579101003706,66.68472325382754,70.68579101003706,71.89613909786567,None,72.0062406421639,72.30607247911394,72.45631834119558,72.50611014710739,72.65625819424167,72.70624674111605,72.85633910400793,73.15638505900279,73.30648505315185,73.35636546323076,71.90618373067119,None,73.75649994425476,None,75.05704247299582,None,75.16695293597877,75.46700432617217,75.61712509999052,75.66705836122856,75.81716292584315,76.1172264162451,76.26724646100774,76.31722364900634,76.46727817784995,76.51725986599922,75.06708710580133,None,2,0.30361174792051315,77.41756976721808,None,77.41756976721808,None,77.82768779899925,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,1,2024_Jan_19_1224,Cognition2_FullCode1,2021.2.3,99.97077190825523,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/152_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,83.41956513794139,None,83.61938596982509,None,79.41819322993979,83.41956513794139,79.41819322993979,83.41956513794139,84.62957763113081,None,84.73987074382603,84.78971188515425,84.93975145416334,85.23976583499461,85.38997788820416,85.43998042587191,85.59005453810096,85.89012671913952,86.04019220825285,86.09005499305204,84.63962226393633,None,86.49016356887296,None,87.79068154282868,None,87.90067917993292,87.95073684398085,88.10068453615531,88.40070995502174,88.55082580400631,88.6007378171198,88.7509358972311,89.05089669814333,89.20108650205657,89.25107417209074,87.8007261756342,None,1,0.2898518950678408,90.1513075591065,None,90.1513075591065,None,90.54139409400523,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,1,2024_Jan_19_1224,Cognition2_FullCode1,2021.2.3,99.97077190825523,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/152_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P4,1,2,1,1,2,11,16,31,61,76,81,96,101,116,146,4_practAudFile.wav,1,pc2,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,96.13292873604223,None,96.33302317280322,None,92.13204411417246,96.13292873604223,92.13204411417246,96.13292873604223,97.34327137609944,None,97.45339273707941,97.50336014991626,97.65341641707346,97.9534114561975,98.10352909611538,98.15353398304433,98.3035692400299,98.60374631593004,98.75368419196457,98.80381161393598,97.35331600890495,None,99.20384702412412,None,100.50442623021081,None,100.61423699185252,100.66419542301446,100.81429811008275,101.11434813123196,101.26453529391438,101.31450388301164,101.46449717879295,101.51446831505746,101.66450709616765,101.96474076900631,100.51447086301633,None,2,0.9761425293982029,102.86498883320019,None,102.86498883320019,None,103.94517082115635,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,1,2024_Jan_19_1224,Cognition2_FullCode1,2021.2.3,99.97077190825523,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/152_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,2,1,1,11,16,28,58,70,100,112,117,129,134,3_audFile.wav,10,5,24,1,2,2,1,1,11,16,28,58,70,100,112,117,129,134,3_audFile.wav,10,,0,1,,,24,2,146,176,2,146,176,5,,,,0,0,0,0,,,,,0,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.25790770817548,None,,,,,,,,,,,,,,,1,0.2799814511090517,116.92913169506937,None,116.92913169506937,None,,,105.55568347405642,None,space,4.505437397863716,105.65567862521857,None,110.20721268188208,None,110.39711296884343,None,111.39737448003143,None,111.50737164122984,111.5573457381688,111.67748549580574,111.97744256583974,112.09754570107907,112.39753868291155,112.51762749115005,112.56763070588931,112.68770527280867,112.7376789948903,112.85797032015398,113.15779049601406,111.49757310175337,None,114.5683420188725,None,114.67818127805367,114.72827134514228,114.84830812225118,115.14832662185654,115.26834852201864,115.5685029597953,115.68856357503682,115.73850662214682,115.85867661982775,115.9085654062219,116.02872756822035,116.32861978700384,114.66828829874285,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,1,2024_Jan_19_1224,Cognition2_FullCode1,2021.2.3,99.97077190825523,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/152_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,2,1,2,1,11,41,53,83,95,100,112,142,154,159,3_audFile.wav,10,7,18,2,2,1,1,2,11,41,53,83,95,100,112,117,129,159,3_audFile.wav,10,,0,2,,,16,1,171,176,1,171,176,7,,,,0,0,0,0,,,,,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.30003381986171,None,,,,,,,,,,,,,,,2,0.22211707895621657,123.97105858800933,None,123.97105858800933,None,,,,,,,,,117.22892141714692,None,117.41907224711031,118.41946762707084,118.43932532705367,None,118.54935328988358,118.8494621552527,118.96944244904444,119.26952720992267,119.38960328418761,119.43961614603177,119.55965100694448,119.85988938622177,119.97971299709752,120.02977273380384,120.14982473524287,120.19987497990951,118.53931375299581,None,121.61018264992163,None,121.72027373313904,122.02033646823838,122.14038495300338,122.44042445998639,122.56065534381196,122.61047797417268,122.73053994309157,122.78058116324246,122.90064502786845,123.2006587148644,123.32091693999246,123.37074103625491,121.7103444876615,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,1,2024_Jan_19_1224,Cognition2_FullCode1,2021.2.3,99.97077190825523,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/152_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,2,1,11,41,53,58,70,100,112,142,154,159,3_audFile.wav,10,6,17,2,1,2,2,1,11,41,53,58,70,100,112,142,154,159,3_audFile.wav,10,,0,1,,,17,1,171,176,1,171,176,6,,,,0,0,0,0,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.29193474818021,None,,,,,,,,,,,,,,,2,0.43827408319339156,130.9629136538133,None,130.9629136538133,None,,,,,,,,,124.22090049413964,None,124.40104090515524,125.40136035811156,125.4313962678425,None,125.5413266858086,125.84146913699806,125.96152272820473,126.01150629715994,126.13148674881086,126.43172734417021,126.55166541412473,126.85172853805125,126.97177691524848,127.02187788486481,127.14183543622494,127.1917545888573,125.53135942467489,None,128.60231222724542,None,128.71231548581272,129.0123103680089,129.13238803111017,129.18241777503863,129.30246301088482,129.60252110194415,129.72256273496896,130.0225780121982,130.14275732217357,130.1926375180483,130.31267192121595,130.36273231124505,128.70237237387337,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,1,2024_Jan_19_1224,Cognition2_FullCode1,2021.2.3,99.97077190825523,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/152_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,1,2,2,11,16,28,58,70,75,87,117,129,159,3_audFile.wav,10,5,22,1,2,1,2,2,11,16,28,58,70,75,87,117,129,159,3_audFile.wav,10,,0,1,,,22,1,171,176,1,171,176,5,,,,0,0,0,0,,,,,0,3,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.4941664407961,None,,,,,,,,,,,,,,,1,0.3000721368007362,138.16506695887074,None,138.16506695887074,None,,,,,,,,,131.42305495310575,None,131.603173290845,132.6033504102379,132.63338485406712,None,132.74346765084192,132.7934147650376,132.91361678484827,133.21355755487457,133.33366191620007,133.38354416191578,133.50360372522846,133.80370737519115,133.92379766190425,134.22384209325537,134.34386149281636,134.39388972194865,132.73342613861897,None,135.80436950409785,None,135.91433946415782,135.96435037394986,136.08441381482407,136.38456893898547,136.5044765030034,136.55458761192858,136.674532643985,136.9745668959804,137.09464960591868,137.39466009382159,137.51467709522694,137.56470722099766,135.90433841370978,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,1,2024_Jan_19_1224,Cognition2_FullCode1,2021.2.3,99.97077190825523,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/152_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,1,2,2,11,41,53,58,70,75,87,117,129,159,3_audFile.wav,10,6,21,2,1,1,2,2,11,41,53,58,70,75,87,117,129,159,3_audFile.wav,10,,0,1,,,21,1,171,176,1,171,176,6,,,,0,0,0,0,,,,,0,4,4,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.55597470887005,None,,,,,,,,,,,,,,,1,0.30200449423864484,145.2271487810649,None,145.2271487810649,None,,,,,,,,,138.48499098420143,None,138.66515629412606,139.6654310640879,139.69546885415912,None,139.80539810517803,140.10546348523349,140.2254677740857,140.27549606002867,140.3955850750208,140.44560314482078,140.56572750303894,140.86566152982414,140.98575616022572,141.28583517391235,141.40592945879325,141.45583457918838,139.79544611074962,None,142.86644137417898,None,142.97627669293433,143.27644744096324,143.39646614994854,143.446497683879,143.56643270188943,143.61645124386996,143.7366835512221,144.03658807417378,144.15669495798647,144.45679474202916,144.57693419186398,144.626732817851,142.96653310987168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152,1,2024_Jan_19_1224,Cognition2_FullCode1,2021.2.3,99.97077190825523,
