filePaths,practFiles,StimulusCode,stim1,stim2,stim3,stim4,stim5,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,audFile_i2,audStart_i2,similCatp,setVol,corrMatchAnswer,whatCondIs,trialTypeName,rhythm,stim6,stim6Start,stim6End,stim6_i2,stim6Start_i2,stim6End_i2,similCat_i2,condFilePath,sensoryCond,stimStart,overarchingRhythmOrder.thisRepN,overarchingRhythmOrder.thisTrialN,overarchingRhythmOrder.thisN,overarchingRhythmOrder.thisIndex,rhythmPractTrials.thisRepN,rhythmPractTrials.thisTrialN,rhythmPractTrials.thisN,rhythmPractTrials.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions_2.started,variableInstructions_2.stopped,goToBlockKey_2.keys,goToBlockKey_2.rt,goToBlockKey_2.started,goToBlockKey_2.stopped,text_9.started,text_9.stopped,preFix_2.started,preFix_2.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,holdFix_2.started,holdFix_2.stopped,cir1_2.started,cir1_2.stopped,cir2_2.started,cir2_2.stopped,cir3_2.started,cir3_2.stopped,cir4_2.started,cir4_2.stopped,cir5_2.started,cir5_2.stopped,audioTrialSound_2.started,audioTrialSound_2.stopped,text.started,text.stopped,holdFix_i2_2.started,holdFix_i2_2.stopped,cir1_i2_2.started,cir1_i2_2.stopped,cir2_i2_2.started,cir2_i2_2.stopped,cir3_i2_2.started,cir3_i2_2.stopped,cir4_i2_2.started,cir4_i2_2.stopped,cir5_i2_2.started,cir5_i2_2.stopped,audioTrialSound_i2_2.started,audioTrialSound_i2_2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,text_5.started,text_5.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.rt,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,byebyeText.started,byebyeText.stopped,pressToEnd.keys,pressToEnd.rt,pressToEnd.started,pressToEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.341082332190126,None,space,25.457993669901043,18.529205441940576,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,1,2024_Jan_29_1617,Cognition2_FullCode1,2021.2.3,99.9801131406388,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/158_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,44.1466005849652,None,space,9.628548657055944,44.24663836695254,None,58.010373362805694,None,58.210570179857314,None,54.00939902011305,58.010373362805694,54.00939902011305,58.010373362805694,59.20080069312826,None,59.31091344309971,59.610909862909466,59.76092219678685,59.81088528688997,59.961026289034635,60.2611086871475,60.4111909638159,60.4611030369997,60.611301777884364,60.661152199842036,59.21083652470261,None,61.06124438298866,None,62.37172126583755,None,62.48171237995848,62.781760990154,62.931830196175724,62.981819341890514,63.131970648188144,63.43190096784383,63.58214345993474,63.63195456098765,63.78214647807181,63.832141858991235,62.3817570974119,None,1,3.6148336729966104,64.73238463979214,None,64.73238463979214,None,68.46352262701839,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,1,2024_Jan_29_1617,Cognition2_FullCode1,2021.2.3,99.9801131406388,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/158_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P2,2,1,1,2,1,11,41,56,61,76,81,96,126,141,146,2_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,74.06493671704084,None,74.26513788802549,None,70.0639424091205,74.06493671704084,70.0639424091205,74.06493671704084,75.27539451699704,None,75.38535594707355,75.6855715662241,75.83558779815212,75.885541847907,76.0355294640176,76.08558447379619,76.23571040621027,76.53564392682165,76.68589793518186,76.73574571684003,75.2854303485714,None,77.13598282495514,None,78.4365430092439,None,78.5463484688662,78.84639168623835,78.99640571186319,79.04645575210452,79.19665802596137,79.49662023503333,79.64662496792153,79.69671388203278,79.84665569197387,79.89670557295904,78.44657884081826,None,2,1.070116296876222,80.79708477808163,None,80.79708477808163,None,81.96738214790821,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,1,2024_Jan_29_1617,Cognition2_FullCode1,2021.2.3,99.9801131406388,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/158_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,87.55880899215117,None,87.75916427420452,None,83.55773456394672,87.55880899215117,83.55773456394672,87.55880899215117,88.7792597762309,None,88.88935000123456,88.93938420014456,89.08951654005796,89.38946730317548,89.53945832280442,89.58956012083218,89.7396139819175,90.03963050618768,90.18970041209832,90.23964693304151,88.78929560780526,None,90.63986730994657,None,91.94037160323933,None,92.05017675319687,92.10025267209858,92.25036718416959,92.55026940116659,92.70032822480425,92.75033053383231,92.90040684398264,93.20053495420143,93.35064215399325,93.40062724985182,91.95040743481368,None,1,0.598264133092016,94.30095281405374,None,94.30095281405374,None,95.0010234201327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,1,2024_Jan_29_1617,Cognition2_FullCode1,2021.2.3,99.9801131406388,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/158_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P4,1,2,1,1,2,11,16,31,61,76,81,96,101,116,146,4_practAudFile.wav,1,pc2,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,100.59267240623012,None,100.79263730021194,None,96.59154203115031,100.59267240623012,96.59154203115031,100.59267240623012,101.80302722891793,None,101.91309685911983,101.96306468779221,102.11309196194634,102.41311045223847,102.56305283587426,102.61319187097251,102.7632511369884,103.06337894080207,103.21327489800751,103.26344639109448,101.81306306049228,None,103.66356227220967,None,104.97391621721908,None,105.08385625714436,105.13384872721508,105.28406362608075,105.58395625511184,105.73401921382174,105.78399859415367,105.9342373078689,105.98407775489613,106.13416854478419,106.43415743391961,104.98395204879344,None,2,0.9486704799346626,107.33461780007929,None,107.33461780007929,None,108.38495275797322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,1,2024_Jan_29_1617,Cognition2_FullCode1,2021.2.3,99.9801131406388,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/158_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,1,2,2,11,16,28,58,70,75,87,117,129,159,3_audFile.wav,10,5,28,1,2,1,1,2,11,16,28,58,70,75,87,92,104,134,3_audFile.wav,10,,0,2,,,22,1,171,176,2,146,176,5,,,,0,0,0,0,,,,,0,0,0,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.53806182416156,None,,,,,,,,,,,,,,,2,0.8581466190516949,123.20905477181077,None,123.20905477181077,None,,,109.9953698781319,None,space,6.347875884268433,110.09531105682254,None,116.49722235416993,None,116.67722183186561,None,117.6773356362246,None,117.78748528612778,117.83753337617964,117.95760549418628,118.2577149849385,118.37766356300563,118.42786426609382,118.54790690215304,118.8479058011435,118.96803408116102,119.26794464280829,119.388095412869,119.43793197022751,117.77750400975347,None,120.84837098699063,None,120.95832032524049,121.00840444210917,121.12843552185223,121.42856546211988,121.54861159715801,121.59859601594508,121.71866558305919,121.76852659322321,121.88863811222836,122.18877132423222,122.3087629401125,122.60881496220827,120.94854096658528,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,1,2024_Jan_29_1617,Cognition2_FullCode1,2021.2.3,99.9801131406388,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/158_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,2,1,2,11,16,28,58,70,100,112,117,129,159,3_audFile.wav,10,5,20,1,2,2,1,2,11,16,28,58,70,100,112,117,129,159,3_audFile.wav,10,,0,1,,,20,1,171,176,1,171,176,5,,,,0,0,0,0,,,,,0,1,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.16017922805622,None,,,,,,,,,,,,,,,1,0.09177057398483157,130.83138672122732,None,130.83138672122732,None,,,,,,,,,124.08933094097301,None,124.26947346283123,125.26962014613673,125.2996811112389,None,125.40979581605643,125.45959671214223,125.57976751588285,125.87981334608048,125.99987530009821,126.2999203549698,126.4199874647893,126.46986919781193,126.59011817490682,126.89030002523214,127.01018490502611,127.06028849398717,125.39972641142086,None,128.4705343041569,None,128.58063337905332,128.6307046781294,128.75073215179145,129.0507650822401,129.17068261513487,129.47094862908125,129.5908819991164,129.64087691204622,129.76098497398198,130.06089549092576,130.18110815715045,130.23107112199068,128.57056900681928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,1,2024_Jan_29_1617,Cognition2_FullCode1,2021.2.3,99.9801131406388,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/158_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,2,1,2,1,11,41,53,83,95,100,112,142,154,159,3_audFile.wav,10,7,18,2,2,1,1,2,11,41,53,83,95,100,112,117,129,159,3_audFile.wav,10,,0,2,,,16,1,171,176,1,171,176,7,,,,0,0,0,0,,,,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.022191000171,None,,,,,,,,,,,,,,,1,1.4138645199127495,137.69332995591685,None,137.69332995591685,None,,,,,,,,,130.95135343121365,None,131.13144063204527,132.13163306983188,132.16155027411878,None,132.2717745010741,132.57178571121767,132.69185904413462,132.9918096200563,133.11196259781718,133.16181540722027,133.2819367069751,133.58197252312675,133.70218136999756,133.75197147810832,133.8722099531442,133.9221584200859,132.26171871051193,None,135.33257933612913,None,135.44268766790628,135.74266021791846,135.86269203200936,136.16276092780754,136.28283922793344,136.33277105819434,136.45290292799473,136.50288191717118,136.6229129708372,136.92300334898755,137.04312524711713,137.09291200200096,135.43252049256117,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,1,2024_Jan_29_1617,Cognition2_FullCode1,2021.2.3,99.9801131406388,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/158_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,2,1,11,41,53,58,70,100,112,142,154,159,3_audFile.wav,10,6,25,2,1,1,2,1,11,41,53,58,70,75,87,117,129,134,3_audFile.wav,10,,0,2,,,17,1,171,176,2,146,176,6,,,,0,0,0,0,,,,,0,3,3,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.2045681248419,None,,,,,,,,,,,,,,,1,0.7196739302016795,145.87553521897644,None,145.87553521897644,None,,,,,,,,,139.1335360519588,None,139.31358825182542,140.31397604802623,140.34390789782628,None,140.45396751584485,140.75409332988784,140.87412879802287,140.92405262123793,141.0441978671588,141.34424971416593,141.46427045483142,141.76432771701366,141.8845428689383,141.93437517108396,142.05457346886396,142.10455349087715,140.44393269959838,None,143.5148984012194,None,143.6248473180458,143.92497150413692,144.04507724801078,144.09500973392278,144.21506398916245,144.26498933602124,144.3849989757873,144.68508099997416,144.80524165788665,144.85514524718747,144.97526919702068,145.27536044688895,143.6150505585596,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,1,2024_Jan_29_1617,Cognition2_FullCode1,2021.2.3,99.9801131406388,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/158_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,1,2,2,11,41,53,58,70,75,87,117,129,159,3_audFile.wav,10,6,25,2,1,1,2,1,11,41,53,58,70,75,87,117,129,134,3_audFile.wav,10,,0,2,,,21,1,171,176,2,146,176,6,,,,0,0,0,0,,,,,0,4,4,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,149.68674182286486,None,,,,,,,,,,,,,,,2,0.4455234599299729,153.3576600519009,None,153.3576600519009,None,,,,,,,,,146.6158168357797,None,146.79589383583516,147.7960487632081,147.82610756717622,None,147.93611063389108,148.2361816749908,148.3561244891025,148.4063243540004,148.52626458602026,148.57625810801983,148.69636846799403,148.99642513412982,149.11644274322316,149.4164304039441,149.53667365806177,149.58659863704816,147.92616977738217,None,150.99706265190616,None,151.10694021498784,151.40709634823725,151.52717849519104,151.5770297558047,151.69723309809342,151.74729991611093,151.86741477483884,152.1673765508458,152.28750176215544,152.33727849600837,152.4574924260378,152.75739232823253,151.0971686067991,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,1,2024_Jan_29_1617,Cognition2_FullCode1,2021.2.3,99.9801131406388,
