filePaths,practFiles,StimulusCode,stim1,stim2,stim3,stim4,stim5,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,audFile_i2,audStart_i2,similCatp,setVol,corrMatchAnswer,whatCondIs,trialTypeName,rhythm,stim6,stim6Start,stim6End,stim6_i2,stim6Start_i2,stim6End_i2,similCat_i2,condFilePath,sensoryCond,stimStart,overarchingRhythmOrder.thisRepN,overarchingRhythmOrder.thisTrialN,overarchingRhythmOrder.thisN,overarchingRhythmOrder.thisIndex,rhythmPractTrials.thisRepN,rhythmPractTrials.thisTrialN,rhythmPractTrials.thisN,rhythmPractTrials.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions_2.started,variableInstructions_2.stopped,goToBlockKey_2.keys,goToBlockKey_2.rt,goToBlockKey_2.started,goToBlockKey_2.stopped,text_9.started,text_9.stopped,preFix_2.started,preFix_2.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,holdFix_2.started,holdFix_2.stopped,cir1_2.started,cir1_2.stopped,cir2_2.started,cir2_2.stopped,cir3_2.started,cir3_2.stopped,cir4_2.started,cir4_2.stopped,cir5_2.started,cir5_2.stopped,audioTrialSound_2.started,audioTrialSound_2.stopped,text.started,text.stopped,holdFix_i2_2.started,holdFix_i2_2.stopped,cir1_i2_2.started,cir1_i2_2.stopped,cir2_i2_2.started,cir2_i2_2.stopped,cir3_i2_2.started,cir3_i2_2.stopped,cir4_i2_2.started,cir4_i2_2.stopped,cir5_i2_2.started,cir5_i2_2.stopped,audioTrialSound_i2_2.started,audioTrialSound_i2_2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,text_5.started,text_5.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.rt,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,catchEarly.rt,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,byebyeText.started,byebyeText.stopped,pressToEnd.keys,pressToEnd.rt,pressToEnd.started,pressToEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.839061880018562,None,space,21.588158082216978,14.016067698132247,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,1,2024_Jan_30_1751,Cognition2_FullCode1,2021.2.3,99.77179510204519,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/160_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,35.75240671122447,None,space,12.519696761853993,35.852503455244005,None,52.497118442319334,None,52.69731177110225,None,48.496006502304226,52.497118442319334,48.496006502304226,52.497118442319334,53.70744228921831,None,53.81763470498845,54.117731670383364,54.26764342095703,54.31758254021406,54.47775717731565,54.777893918100744,54.92785197403282,54.977777468040586,55.12784002907574,55.17797350836918,53.71744694383815,None,55.57816374115646,None,56.88845363119617,None,56.99849528912455,57.29856303613633,57.448605604004115,57.498531898949295,57.6486522401683,57.94873304339126,58.09882968897,58.14869448496029,58.298801489174366,58.34883179794997,56.89845828581601,None,1,1.33087412500754,59.24933571834117,None,59.24933571834117,None,60.70956904022023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,1,2024_Jan_30_1751,Cognition2_FullCode1,2021.2.3,99.77179510204519,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/160_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P2,2,1,1,2,1,11,41,56,61,76,81,96,126,141,146,2_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,66.31111917318776,None,66.51129397610202,None,62.309971635229886,66.31111917318776,62.309971635229886,66.31111917318776,67.52145823324099,None,67.63144354429096,67.93150047212839,68.08158936304972,68.13168016122654,68.28164386330172,68.33175717294216,68.48169008735567,68.78175883507356,68.93198241433129,68.98194816196337,67.53146288786084,None,69.38196590635926,None,70.69238372519612,None,70.80234772432595,71.1024647122249,71.25248104706407,71.30260951118544,71.45256124297157,71.75268535735086,71.90267107402906,71.95272647496313,72.10266811121255,72.15271175093949,70.70238837981597,None,2,1.1112315808422863,73.05299143306911,None,73.05299143306911,None,74.28344438131899,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,1,2024_Jan_30_1751,Cognition2_FullCode1,2021.2.3,99.77179510204519,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/160_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,79.87492247438058,None,80.07513613207266,None,75.8738579810597,79.87492247438058,75.8738579810597,79.87492247438058,81.08521772921085,None,81.1954235821031,81.24534368235618,81.3954092473723,81.69550144020468,81.85560724325478,81.90555256418884,82.05560904694721,82.35563121223822,82.50576188229024,82.55566987907514,81.0952223838307,None,82.95577235333622,None,84.26608888339251,None,84.37632161006331,84.4263304611668,84.57633557636291,84.87634206097573,85.02662838622928,85.07645138213411,85.22647853707895,85.52661820920184,85.67658121325076,85.72665275633335,84.27609353801236,None,1,1.4814622928388417,86.62676142901182,None,86.62676142901182,None,88.21737771015614,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,1,2024_Jan_30_1751,Cognition2_FullCode1,2021.2.3,99.77179510204519,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/160_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P4,1,2,1,1,2,11,16,31,61,76,81,96,101,116,146,4_practAudFile.wav,1,pc2,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,93.80892113037407,None,94.00916237803176,None,89.80778796505183,93.80892113037407,89.80778796505183,93.80892113037407,95.01919340295717,None,95.12935137329623,95.17938288813457,95.32943050609902,95.62951228907332,95.77945574000478,95.82952583534643,95.97949242033064,96.27969206916168,96.42990876827389,96.47973344335333,95.02919805757702,None,96.87981845997274,None,98.19019304728135,None,98.30015344638377,98.35020542796701,98.50020651193336,98.80030572600663,98.95036593498662,99.00038965931162,99.15043704304844,99.200386908371,99.350497238338,99.65058393403888,98.2001977019012,None,2,1.077421662863344,100.55081894621253,None,100.55081894621253,None,101.73117097793147,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,1,2024_Jan_30_1751,Cognition2_FullCode1,2021.2.3,99.77179510204519,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/160_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,6,19,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,,0,1,,,19,1,171,176,1,171,176,6,,,,0,0,0,0,,,,,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.16638642828912,None,,,,,,,,,,,,,,,1,1.046687077730894,123.83753866516054,None,123.83753866516054,None,,,103.34163666097447,None,space,13.62685417290777,103.44167132116854,None,117.12561427801847,None,117.30579404020682,None,118.30587522406131,None,118.41598409926519,118.71615446312353,118.83605245593935,118.88615812826902,119.00621566129848,119.30619743932039,119.42617363715544,119.47626658109948,119.59633725136518,119.8963962760754,120.01648688828573,120.06642312835902,118.405947382655,None,121.47678932314739,None,121.58692828100175,121.88699153997004,122.00703050708398,122.05697723897174,122.17705972027034,122.47716006729752,122.5971517553553,122.64716597506776,122.76715988805518,123.06723752198741,123.18737162230536,123.23735850816593,121.57685855273158,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,1,2024_Jan_30_1751,Cognition2_FullCode1,2021.2.3,99.77179510204519,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/160_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,1,2,2,11,41,53,58,70,75,87,117,129,159,3_audFile.wav,10,6,21,2,1,1,2,2,11,41,53,58,70,75,87,117,129,159,3_audFile.wav,10,,0,1,,,21,1,171,176,1,171,176,6,,,,0,0,0,0,,,,,0,1,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.98878821730614,None,,,,,,,,,,,,,,,1,2.0064604789949954,131.66975976899266,None,131.66975976899266,None,,,,,,,,,124.9078146382235,None,125.08785849623382,126.08817468909547,126.11818280629814,None,126.22829623008147,126.53834423935041,126.65834295935929,126.70831182738766,126.8284477791749,126.87835196498781,126.99833949934691,127.2984924390912,127.41853915527463,127.71866939635947,127.83879451593384,127.88858837913722,126.21816122075543,None,129.29897376708686,None,129.40916070807725,129.7092078491114,129.82919319812208,129.8793102791533,129.9992644782178,130.0493422532454,130.16937680309638,130.46942978631705,130.59950409829617,130.8996570999734,131.01965250028297,131.0696596163325,129.3990536835976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,1,2024_Jan_30_1751,Cognition2_FullCode1,2021.2.3,99.77179510204519,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/160_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,1,1,11,41,53,58,70,100,112,117,129,134,3_audFile.wav,10,6,23,2,1,2,1,1,11,41,53,58,70,100,112,117,129,134,3_audFile.wav,10,,0,1,,,23,2,146,176,2,146,176,6,,,,0,0,0,0,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.77122582122684,None,,,,,,,,,,,,,,,2,0.37598391994833946,140.45226795598865,None,140.45226795598865,None,,,,,,,,,133.70020311605185,None,133.88037373917177,134.88068666821346,134.91065910831094,None,135.0207572169602,135.3208337482065,135.44086042512208,135.49085526634008,135.6108502652496,135.91097051696852,136.03095658496022,136.08101603435352,136.2009509843774,136.25097447633743,136.3710472220555,136.6711799860932,135.01085564875976,None,138.0814559222199,None,138.19163632113487,138.49171297810972,138.61171763716266,138.66173851303756,138.78172693122178,139.08184754103422,139.20189687097445,139.25189385795966,139.3819835530594,139.4319143849425,139.5519926659763,139.85211958596483,138.1815983016044,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,1,2024_Jan_30_1751,Cognition2_FullCode1,2021.2.3,99.77179510204519,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/160_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,6,17,2,1,2,2,1,11,41,53,58,70,100,112,142,154,159,3_audFile.wav,10,,0,2,,,19,1,171,176,1,171,176,6,,,,0,0,0,0,,,,,0,3,3,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.92330547934398,None,,,,,,,,,,,,,,,1,1.2978430101647973,147.59441311098635,None,147.59441311098635,None,,,,,,,,,140.85241169435903,None,141.0324984532781,142.0327111412771,142.06268367310986,None,142.17273977119476,142.47287202300504,142.5928698820062,142.64274414023384,142.76296257413924,143.06300372024998,143.1830683243461,143.23301414120942,143.35306479223073,143.6531588602811,143.77330818912014,143.82316628098488,142.1628579759039,None,145.23348397016525,None,145.34359733527526,145.643789335154,145.7637388361618,145.8138157823123,145.93388658296317,146.23382015898824,146.3538370630704,146.6540515301749,146.77407550998032,146.82405181322247,146.94416837627068,146.99420238099992,145.33358910363168,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,1,2024_Jan_30_1751,Cognition2_FullCode1,2021.2.3,99.77179510204519,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/160_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,1,1,2,11,16,28,58,70,75,87,92,104,134,3_audFile.wav,10,5,28,1,2,1,1,2,11,16,28,58,70,75,87,92,104,134,3_audFile.wav,10,,0,1,,,28,2,146,176,2,146,176,5,,,,0,0,0,0,,,,,0,4,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.9856500341557,None,,,,,,,,,,,,,,,2,0.15568130696192384,155.6565464013256,None,155.6565464013256,None,,,,,,,,,148.91447499906644,None,149.09475152334198,150.09507496235892,150.12500777328387,None,150.23502383101732,150.28507780330256,150.40515368804336,150.70520339207724,150.82516125310212,150.87525026220828,150.99522239202634,151.04528754297644,151.1652546110563,151.46552713727579,151.58546232013032,151.88560707028955,150.2250793227926,None,153.29591095400974,None,153.40593858296052,153.45587074011564,153.57606914406642,153.8760178182274,153.99612231226638,154.04608611017466,154.166129689198,154.21612977935,154.33623437816277,154.63624457921833,154.75629253312945,155.05647178227082,153.39591136770323,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160,1,2024_Jan_30_1751,Cognition2_FullCode1,2021.2.3,99.77179510204519,
