filePaths,practFiles,StimulusCode,stim1,stim2,stim3,stim4,stim5,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,audFile_i2,audStart_i2,similCatp,setVol,corrMatchAnswer,whatCondIs,trialTypeName,rhythm,stim6,stim6Start,stim6End,stim6_i2,stim6Start_i2,stim6End_i2,similCat_i2,condFilePath,sensoryCond,stimStart,overarchingRhythmOrder.thisRepN,overarchingRhythmOrder.thisTrialN,overarchingRhythmOrder.thisN,overarchingRhythmOrder.thisIndex,rhythmPractTrials.thisRepN,rhythmPractTrials.thisTrialN,rhythmPractTrials.thisN,rhythmPractTrials.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions_2.started,variableInstructions_2.stopped,goToBlockKey_2.keys,goToBlockKey_2.rt,goToBlockKey_2.started,goToBlockKey_2.stopped,text_9.started,text_9.stopped,preFix_2.started,preFix_2.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,holdFix_2.started,holdFix_2.stopped,cir1_2.started,cir1_2.stopped,cir2_2.started,cir2_2.stopped,cir3_2.started,cir3_2.stopped,cir4_2.started,cir4_2.stopped,cir5_2.started,cir5_2.stopped,audioTrialSound_2.started,audioTrialSound_2.stopped,text.started,text.stopped,holdFix_i2_2.started,holdFix_i2_2.stopped,cir1_i2_2.started,cir1_i2_2.stopped,cir2_i2_2.started,cir2_i2_2.stopped,cir3_i2_2.started,cir3_i2_2.stopped,cir4_i2_2.started,cir4_i2_2.stopped,cir5_i2_2.started,cir5_i2_2.stopped,audioTrialSound_i2_2.started,audioTrialSound_i2_2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,text_5.started,text_5.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.rt,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,catchEarly.rt,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,byebyeText.started,byebyeText.stopped,pressToEnd.keys,pressToEnd.rt,pressToEnd.started,pressToEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.868481643032283,None,space,14.508227687329054,16.05525146285072,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,1,2024_Mar_06_1345,Cognition2_FullCode1,2021.2.3,99.90772726533855,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/177_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,30.709469912108034,None,space,7.529654029291123,30.809807140845805,None,42.472700173035264,None,42.672909122891724,None,38.471658317837864,42.472700173035264,38.471658317837864,42.472700173035264,43.68322703614831,None,43.79322210280225,44.09327111905441,44.24319452699274,44.293287423904985,44.44338467810303,44.74350143317133,44.89346444699913,44.94340359419584,45.09361901413649,45.143443958833814,43.693232629168776,None,45.54366749385372,None,46.85415711812675,None,46.96413364307955,47.26408833405003,47.41420313389972,47.4641032461077,47.61431356193498,47.91432530619204,48.0644951290451,48.114260006230325,48.26452981401235,48.314338902011514,46.864162711147216,None,1,3.452760464977473,49.21470792405307,None,49.21470792405307,None,52.785712047014385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,1,2024_Mar_06_1345,Cognition2_FullCode1,2021.2.3,99.90772726533855,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/177_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P2,2,1,1,2,1,11,41,56,61,76,81,96,126,141,146,2_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,58.38723820913583,None,58.587487230077386,None,54.38615297107026,58.38723820913583,54.38615297107026,58.38723820913583,59.607571952044964,None,59.71775603387505,60.01774638378993,60.16790397791192,60.21772460313514,60.36793751921505,60.417807953897864,60.56798703223467,60.867961733136326,61.01812980277464,61.06816501310095,59.61757754506543,None,61.46817030292004,None,62.77858602022752,None,62.888532837852836,63.188580243848264,63.33871203381568,63.38881582207978,63.538856791798025,63.83877963479608,63.988883956801146,64.039085901808,64.18888812791556,64.23909386387095,62.78859161324799,None,2,0.760241606272757,65.1392841488123,None,65.1392841488123,None,65.99940944090486,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,1,2024_Mar_06_1345,Cognition2_FullCode1,2021.2.3,99.90772726533855,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/177_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,71.5910020521842,None,71.79114775685593,None,67.5899393861182,71.5910020521842,67.5899393861182,71.5910020521842,72.80130821792409,None,72.91141658788547,72.96143782604486,73.11142982682213,73.41156333778054,73.56172895710915,73.61173636093736,73.7616793261841,74.06186693580821,74.2119583687745,74.2618585168384,72.81131381094455,None,74.66190822515637,None,75.97242718702182,None,76.08242221781984,76.13237222610041,76.28250468010083,76.58244606805965,76.73257306590676,76.78257194720209,76.93260313104838,77.2326465039514,77.38287063781172,77.43278374895453,75.98243278004229,None,1,0.6383820720948279,78.33313581719995,None,78.33313581719995,None,79.0731184692122,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,1,2024_Mar_06_1345,Cognition2_FullCode1,2021.2.3,99.90772726533855,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/177_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P4,1,2,1,1,2,11,16,31,61,76,81,96,101,116,146,4_practAudFile.wav,1,pc2,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,84.66472093388438,None,84.86497363680974,None,80.66363815916702,84.66472093388438,80.66363815916702,84.66472093388438,85.8752644569613,None,85.98521467810497,86.0351777151227,86.18527927808464,86.48532612202689,86.63543384801596,86.68537600291893,86.83558394294232,87.13565595494583,87.28568519419059,87.3355269911699,85.88527004998177,None,87.7358257737942,None,89.04633760591969,None,89.1561077600345,89.20600415114313,89.35623625200242,89.65626090019941,89.80631028488278,89.85637955320999,90.00639575207606,90.05639426177368,90.2065070909448,90.50647267699242,89.05634319894016,None,2,0.612658373080194,91.40687917219475,None,91.40687917219475,None,92.12686125608161,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,1,2024_Mar_06_1345,Cognition2_FullCode1,2021.2.3,99.90772726533855,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/177_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,6,25,2,1,1,2,1,11,41,53,58,70,75,87,117,129,134,3_audFile.wav,10,,0,2,,,19,1,171,176,2,146,176,6,,,,0,0,0,0,,,,,0,0,0,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.82886931207031,None,,,,,,,,,,,,,,,2,0.6715573109686375,102.49991068197414,None,102.49991068197414,None,,,93.73746977094561,None,space,1.894000927451998,93.83753337990493,None,95.78802730282769,None,95.96811629785225,None,96.96842485386878,None,97.07840465800837,97.37846088502556,97.4983688890934,97.54849333921447,97.66857799887657,97.96857775794342,98.08876507310197,98.13878450309858,98.25876095890999,98.55871797306463,98.67873150110245,98.72888161893934,97.06833445392549,None,100.1392798521556,None,100.24922434100881,100.5493074990809,100.66950215678662,100.7193867918104,100.83959392411634,100.88943422399461,101.00952440081164,101.30954341916367,101.42953224293888,101.47960157878697,101.59971566079184,101.89989521820098,100.23922717589885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,1,2024_Mar_06_1345,Cognition2_FullCode1,2021.2.3,99.90772726533855,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/177_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,1,2,1,11,16,28,58,70,75,87,117,129,134,3_audFile.wav,10,5,26,1,2,1,2,1,11,16,28,58,70,75,87,117,129,134,3_audFile.wav,10,,0,1,,,26,2,146,176,2,146,176,5,,,,0,0,0,0,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.26093812892213,None,,,,,,,,,,,,,,,2,0.6073908908292651,109.93208114709705,None,109.93208114709705,None,,,,,,,,,103.19008099008352,None,103.38021304318681,104.38050001580268,104.40033681690693,None,104.51049077603966,104.56041700812057,104.68055129703134,104.98061944218352,105.10062420088798,105.1506907781586,105.27071473794058,105.57093974715099,105.69088099896908,105.74086089199409,105.86097410600632,106.16091742785648,104.50043622003868,None,107.57133955694735,None,107.68129538185894,107.73148345481604,107.85143727809191,108.15153575921431,108.2715103351511,108.32158533623442,108.44156386796385,108.74170304182917,108.86168478708714,108.91160998912528,109.03176960209385,109.33181422017515,107.67123547913506,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,1,2024_Mar_06_1345,Cognition2_FullCode1,2021.2.3,99.90772726533855,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/177_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,6,25,2,1,1,2,1,11,41,53,58,70,75,87,117,129,134,3_audFile.wav,10,,0,2,,,19,1,171,176,2,146,176,6,,,,0,0,0,0,,,,,0,2,2,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.63302085688338,None,,,,,,,,,,,,,,,2,0.9634454529732466,117.30411411589012,None,117.30411411589012,None,,,,,,,,,110.56215730914846,None,110.74234003620222,111.74259275384247,111.77259092079476,None,111.88274053717032,112.1826956057921,112.3027985249646,112.35264263581485,112.47268658410758,112.77292995620519,112.89299653703347,112.94284882489592,113.06294063897803,113.36305734887719,113.48311544489115,113.53299180511385,111.87251010322943,None,114.94352329522371,None,115.05350585421547,115.35359946498647,115.47365998383611,115.52354213315994,115.64373156707734,115.69363657478243,115.81366484286264,116.11367721809074,116.23403523489833,116.2837953241542,116.40401570405811,116.70397722814232,115.04352371692657,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,1,2024_Mar_06_1345,Cognition2_FullCode1,2021.2.3,99.90772726533855,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/177_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,2,1,2,11,16,28,58,70,100,112,117,129,159,3_audFile.wav,10,5,20,1,2,2,1,2,11,16,28,58,70,100,112,117,129,159,3_audFile.wav,10,,0,1,,,20,1,171,176,1,171,176,5,,,,0,0,0,0,,,,,0,3,3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.36528588086367,None,,,,,,,,,,,,,,,1,0.6550938617438078,125.03637070208788,None,125.03637070208788,None,,,,,,,,,118.2944635041058,None,118.474495831877,119.47477424517274,119.50482877716422,None,119.61481692502275,119.66480887681246,119.784825862851,120.08499814523384,120.20498583791777,120.50508611416444,120.62506357487291,120.67510957783088,120.79516289616004,121.09518044209108,121.21519632684067,121.26533898105845,119.60483512813225,None,122.67568654380739,None,122.78570152213797,122.83576572407037,122.95580552518368,123.25580335082486,123.37581143621355,123.67586889397353,123.79598125582561,123.84591517178342,123.96614786610007,124.26627148222178,124.38626402709633,124.43605977995321,122.77559483116492,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,1,2024_Mar_06_1345,Cognition2_FullCode1,2021.2.3,99.90772726533855,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/177_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,4,27,1,1,2,2,1,11,16,28,33,45,75,87,117,129,134,3_audFile.wav,10,,0,2,,,29,2,146,176,2,146,176,4,,,,0,0,0,0,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.78746933490038,None,,,,,,,,,,,,,,,2,0.42508075200021267,132.45842608204111,None,132.45842608204111,None,,,,,,,,,125.71656926721334,None,125.89663283992559,126.89686957281083,126.92693828092888,None,127.03680965304375,127.0869536860846,127.2069577248767,127.25694338185713,127.37698932923377,127.67705306177959,127.79708506399766,127.84722747281194,127.96716923918575,128.26733297295868,128.387333531864,128.68731129495427,127.02680023312568,None,130.09780822321773,None,130.20792998187244,130.25779202301055,130.37786397291347,130.42798253893852,130.54802763089538,130.84797740122303,130.96795831993222,131.26808134792373,131.38827310781926,131.4380669798702,131.55827261786908,131.85824998188764,130.19790530689062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,1,2024_Mar_06_1345,Cognition2_FullCode1,2021.2.3,99.90772726533855,
