filePaths,practFiles,StimulusCode,stim1,stim2,stim3,stim4,stim5,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,audFile_i2,audStart_i2,similCatp,setVol,corrMatchAnswer,whatCondIs,trialTypeName,rhythm,stim6,stim6Start,stim6End,stim6_i2,stim6Start_i2,stim6End_i2,similCat_i2,condFilePath,sensoryCond,stimStart,overarchingRhythmOrder.thisRepN,overarchingRhythmOrder.thisTrialN,overarchingRhythmOrder.thisN,overarchingRhythmOrder.thisIndex,rhythmPractTrials.thisRepN,rhythmPractTrials.thisTrialN,rhythmPractTrials.thisN,rhythmPractTrials.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions_2.started,variableInstructions_2.stopped,goToBlockKey_2.keys,goToBlockKey_2.rt,goToBlockKey_2.started,goToBlockKey_2.stopped,text_9.started,text_9.stopped,preFix_2.started,preFix_2.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,holdFix_2.started,holdFix_2.stopped,cir1_2.started,cir1_2.stopped,cir2_2.started,cir2_2.stopped,cir3_2.started,cir3_2.stopped,cir4_2.started,cir4_2.stopped,cir5_2.started,cir5_2.stopped,audioTrialSound_2.started,audioTrialSound_2.stopped,text.started,text.stopped,holdFix_i2_2.started,holdFix_i2_2.stopped,cir1_i2_2.started,cir1_i2_2.stopped,cir2_i2_2.started,cir2_i2_2.stopped,cir3_i2_2.started,cir3_i2_2.stopped,cir4_i2_2.started,cir4_i2_2.stopped,cir5_i2_2.started,cir5_i2_2.stopped,audioTrialSound_i2_2.started,audioTrialSound_i2_2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,text_5.started,text_5.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.rt,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,catchEarly.rt,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.861618597991765,None,space,38.50037328701001,13.038898044032976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,2023_Feb_14_1252,Cognition2_FullCode1,2021.2.3,99.96473344197659,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/17_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,51.66993789601838,None,space,13.257337699993514,51.769879758008756,None,69.16481180302799,None,69.36493590800092,None,65.16379011503886,69.16481180302799,65.16379011503886,69.16481180302799,70.3551361040445,None,70.46540670702234,70.76529989403207,70.91537711402634,70.96549930004403,71.1154604300391,71.41539018799085,71.56561970402254,71.61560037900927,71.76562314800685,71.8156476310105,70.36513533004327,None,72.21576047799317,None,73.52610040199943,None,73.6364142470411,73.93619796901476,74.08636647701496,74.13622249901528,74.28631032200065,74.58648081601132,74.73642623302294,74.78651251702104,74.93653015600285,74.98642980802106,73.5360996279982,None,1,0.6844525709748268,75.88677850499516,None,75.88677850499516,None,76.68703321204521,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,2023_Feb_14_1252,Cognition2_FullCode1,2021.2.3,99.96473344197659,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/17_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P2,2,1,1,2,1,11,41,56,61,76,81,96,126,141,146,2_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,82.28870013600681,None,82.48877314099809,None,78.28765498503344,82.28870013600681,78.28765498503344,82.28870013600681,83.49898397602374,None,83.60909465001896,83.90898028900847,84.05907414801186,84.10927582799923,84.25925962498877,84.3092105750111,84.45912114402745,84.75927636801498,84.90937282401137,84.95938036800362,83.5089832020225,None,85.35943011502968,None,86.66007111803629,None,86.76988268602872,87.0698831960326,87.22002303902991,87.26994768204167,87.42005351302214,87.72008105600253,87.87035527202534,87.92013760801638,88.07030896301148,88.12024035700597,86.67007034403505,None,2,0.6866306070005521,89.02059364604065,None,89.02059364604065,None,89.81080085702706,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,2023_Feb_14_1252,Cognition2_FullCode1,2021.2.3,99.96473344197659,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/17_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,95.40232314099558,None,95.60231443302473,None,91.40122064301977,95.40232314099558,91.40122064301977,95.40232314099558,96.6126247770153,None,96.72266662103357,96.7727053220151,96.92267934401752,97.22283725003945,97.37305136304349,97.42285160900792,97.57306110399077,97.87305101501988,98.02310319599928,98.07306880201213,96.62262400301407,None,98.47334663599031,None,99.78361899603624,None,99.89364899502834,99.9435528810136,100.09363119903719,100.39368940104032,100.54381036903942,100.59373038000194,100.74404364003567,101.04395578999538,101.19405580201419,101.24389630800579,99.79361822203501,None,1,1.2347885349881835,102.1444339720183,None,102.1444339720183,None,103.48458271403797,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,2023_Feb_14_1252,Cognition2_FullCode1,2021.2.3,99.96473344197659,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/17_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P4,1,2,1,1,2,11,16,31,61,76,81,96,101,116,146,4_practAudFile.wav,1,pc2,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,109.07619918201817,None,109.27634994703112,None,105.07515140302712,109.07619918201817,105.07515140302712,109.07619918201817,110.28665247699246,None,110.39662533201044,110.44660220801597,110.5966357680154,110.89671644300688,111.04679645900615,111.09680218604626,111.24679331900552,111.54680242104223,111.69700485904468,111.74698202102445,110.29665170299123,None,112.14721782202832,None,113.44785839604447,None,113.55753572599497,113.6075442720321,113.75756010500481,114.05765792902093,114.20771910203621,114.25783886900172,114.40775919600856,114.4578787520295,114.60784328600857,114.90786511200713,113.45785762204324,None,2,0.8351428990135901,115.80811621801695,None,115.80811621801695,None,116.74848512600875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,2023_Feb_14_1252,Cognition2_FullCode1,2021.2.3,99.96473344197659,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/17_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,1,2,1,11,16,28,58,70,75,87,117,129,134,3_audFile.wav,10,5,22,1,2,1,2,2,11,16,28,58,70,75,87,117,129,159,3_audFile.wav,10,,0,2,,,26,2,146,176,1,171,176,5,,,,0,0,0,0,,,,,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.14190065400908,None,,,,,,,,,,,,,,,2,0.7262317929998972,132.81302103301277,None,132.81302103301277,None,,,118.359027841012,None,space,7.584255262976512,118.45896547101438,None,126.1011501729954,None,126.28116289601894,None,127.28146952204406,None,127.39136604801752,127.44150771503337,127.56159191200277,127.86155634204624,127.98166118602967,128.03168281703256,128.15171461802674,128.45170883799437,128.5717510220129,128.6218956480152,128.7418758230051,129.0418982449919,127.38147504898953,None,130.45233960601036,None,130.56241035100538,130.61227971501648,130.73234887002036,131.03247895499226,131.15258779202122,131.2025779930409,131.32259845302906,131.6226379130385,131.7428256670246,132.04289190704003,132.16286813199986,132.2128352210275,130.55244874201017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,2023_Feb_14_1252,Cognition2_FullCode1,2021.2.3,99.96473344197659,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/17_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,6,19,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,,0,1,,,19,1,171,176,1,171,176,6,,,,0,0,0,0,,,,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.63425987103255,None,,,,,,,,,,,,,,,2,0.31393044599099085,140.30529888899764,None,140.30529888899764,None,,,,,,,,,133.56334824103396,None,133.74331276502926,134.74348655104404,134.7736627359991,None,134.88363737199688,135.18373264203547,135.30370074301027,135.35377084900392,135.47393899899907,135.77392953302478,135.89391638099914,135.94388936203904,136.06405785004608,136.36404351104284,136.48410791001515,136.53402538999217,134.87355620603776,None,137.94454363302793,None,138.05453088803915,138.3545674890047,138.4746177510242,138.5246204950381,138.6446816950338,138.94474193803035,139.06489810399944,139.11491924000438,139.23493541002972,139.53485929203453,139.65488562203245,139.70508893299848,138.04454065903556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,2023_Feb_14_1252,Cognition2_FullCode1,2021.2.3,99.96473344197659,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/17_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,4,29,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,,0,1,,,29,2,146,176,2,146,176,4,,,,0,0,0,0,,,,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.71617294900352,None,,,,,,,,,,,,,,,1,0.27194227394647896,147.38727749802638,None,147.38727749802638,None,,,,,,,,,140.64538520999486,None,140.8253938020207,141.82559358800063,141.8555313780089,None,141.96565321699018,142.01560157199856,142.13571062200936,142.1856552180252,142.30579498404404,142.60582013300154,142.72587967698928,142.77580312703503,142.89582845801488,143.19607858901145,143.31615997402696,143.61625216901302,141.95562011600705,None,145.02654738799902,None,145.1364689070033,145.18656092102174,145.30662980000488,145.35660018003546,145.47678469703533,145.77679222699953,145.89676607801812,145.94675277301576,146.06684634601697,146.36696117202519,146.4870069170138,146.78701246803394,145.12642276302213,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,2023_Feb_14_1252,Cognition2_FullCode1,2021.2.3,99.96473344197659,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/17_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,1,2,2,1,11,16,28,33,45,75,87,117,129,134,3_audFile.wav,10,4,27,1,1,2,2,1,11,16,28,33,45,75,87,117,129,134,3_audFile.wav,10,,0,1,,,27,2,146,176,2,146,176,4,,,,0,0,0,0,,,,,0,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.7580565600074,None,,,,,,,,,,,,,,,1,2.8060465090093203,154.42917226604186,None,154.42917226604186,None,,,,,,,,,147.6873224110459,None,147.86742263199994,148.86761111702072,148.89771312504308,None,149.00759461999405,149.05767319502775,149.17766640504124,149.22769001498818,149.34774914599257,149.6479148720391,149.76787796104327,150.0678763280157,150.1880163170281,150.23805841704598,150.3580062080291,150.65809400001308,148.9977555270074,None,152.0685663250042,None,152.17862594500184,152.228469306021,152.34860319900326,152.39862091001123,152.51862667500973,152.81868741899962,152.93867930903798,153.23884522501612,153.35894059104612,153.40881181601435,153.52886458399007,153.82912576099625,152.16850192603889,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,2023_Feb_14_1252,Cognition2_FullCode1,2021.2.3,99.96473344197659,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/17_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,1,1,11,41,53,58,70,100,112,117,129,134,3_audFile.wav,10,6,19,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,,0,2,,,23,2,146,176,1,171,176,6,,,,0,0,0,0,,,,,0,4,4,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,160.3309499649913,None,,,,,,,,,,,,,,,2,0.31329450401244685,164.00198526802706,None,164.00198526802706,None,,,,,,,,,157.2600533470395,None,157.44009341701167,158.44027322903275,158.47046321700327,None,158.58030179899652,158.88053729198873,159.00052952603437,159.0504441880039,159.1706588930101,159.47059038298903,159.59067743603373,159.6405768020195,159.76081465603784,159.81065300904447,159.93074861902278,160.23075091501232,158.5702984450385,None,161.64121396798873,None,161.75134390301537,162.05139037099434,162.17136759799905,162.22136945399689,162.34153827599948,162.64162872201996,162.7616603820352,162.81152201403165,162.9317224380211,163.23170692299027,163.3517717870418,163.40176090202294,161.74135166701163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,2023_Feb_14_1252,Cognition2_FullCode1,2021.2.3,99.96473344197659,
