filePaths,rhythm,stim1,stim2,stim3,stim4,stim5,stim6,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,stim6Start,stim6End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim6_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,stim6Start_i2,stim6End_i2,audFile_i2,audStart_i2,similCat_i2,setVol,corrMatchAnswer,condFilePath,sensoryCond,stimStart,overallRhythmOrder.thisRepN,overallRhythmOrder.thisTrialN,overallRhythmOrder.thisN,overallRhythmOrder.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,text.started,text.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,goToTrailTxt.started,goToTrailTxt.stopped,keyToGoNext.keys,keyToGoNext.rt,keyToGoNext.started,keyToGoNext.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.rt,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,catchEarly.rt,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,byebyeText.started,byebyeText.stopped,pressToEnd.keys,pressToEnd.rt,pressToEnd.started,pressToEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.67253791098483,None,space,86.07385403796798,19.862589706026483,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_Nov_21_1609,Cognition2_FullCode1,2021.2.3,100.02265410431252,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/2_VisualBlock1.csv,28,1,2,1,1,2,2,11,16,28,58,70,75,87,92,104,134,146,176,3_audFile.wav,10,5,22,1,2,1,2,2,1,11,16,28,58,70,75,87,117,129,159,171,176,3_audFile.wav,10,5,0,2,,,,0,0,0,0,0,0,0,31,,,,,,,,,,,,,,,106.07295318401884,None,space,3.6915702830301598,106.17286176100606,None,109.91292199399322,None,110.10288174101152,None,111.10287957498804,None,111.21290787501493,111.26286432502093,111.38300352398073,111.68285251402995,111.8029114510282,111.8528894840274,111.97291358298389,112.02287846599938,112.1428775159875,112.44290788599756,112.56290822097799,112.86289283202495,111.20287849911256,None,112.96291231998475,None,114.2728463030071,None,114.38291183201363,114.4328934350051,114.5529109640047,114.85289214097429,114.97290391300339,115.02298348897602,115.14295140298782,115.44289954501437,115.56294962897664,115.86289535497781,115.98295054899063,116.03289321099874,114.37291004910367,None,1,4.447522769973148,116.6329012120259,None,116.6329012120259,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_Nov_21_1609,Cognition2_FullCode1,2021.2.3,100.02265410431252,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/2_VisualBlock1.csv,24,1,2,2,1,1,2,11,16,28,58,70,100,112,117,129,134,146,176,3_audFile.wav,10,5,24,1,2,2,1,1,2,11,16,28,58,70,100,112,117,129,134,146,176,3_audFile.wav,10,5,0,1,,,,0,0,0,0,0,1,1,13,,,,,,,,,,,,,,,,,,,,,121.10290273302235,None,121.28289509098977,122.28289732598932,122.30296467302833,None,122.41298312897561,122.4629872069927,122.58296661201166,122.88293072202941,123.00299566698959,123.3029740480124,123.42296527099097,123.47293912700843,123.59293821197934,123.64291634300025,123.76292022602865,124.06290284200804,122.40293433109764,None,124.16290337702958,None,125.46292214700952,None,125.57294253498549,125.62296279001748,125.74294587998884,126.04300250700908,126.16296978102764,126.46299768600147,126.58298442000523,126.63297105999663,126.7529712949763,126.80297235498438,126.92290145799052,127.22294705099193,125.56296860007569,None,2,3.761507329007145,127.82292142999358,None,127.82292142999358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_Nov_21_1609,Cognition2_FullCode1,2021.2.3,100.02265410431252,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/2_VisualBlock1.csv,16,2,2,1,2,1,1,11,41,53,83,95,100,112,142,154,159,171,176,3_audFile.wav,10,7,16,2,2,1,2,1,1,11,41,53,83,95,100,112,142,154,159,171,176,3_audFile.wav,10,7,0,1,,,,0,0,0,0,0,2,2,5,,,,,,,,,,,,,,,,,,,,,131.60299054800998,None,131.79296727501787,132.79307587002404,132.8030008589849,None,132.91301382897655,133.21297784498893,133.33297056303127,133.63297414500266,133.75302257400472,133.80295609898167,133.92296500498196,134.2229739180184,134.34299605502747,134.39294407999841,134.5129859460285,134.56296791898785,132.90308267512592,None,134.6629978850251,None,135.9630075119785,None,136.0730207990273,136.37306341598742,136.49303537298692,136.7929956780281,136.9130331139895,136.9630545519758,137.0829605180188,137.38299095298862,137.50300849799532,137.55301671702182,137.67299922200618,137.723048423999,136.06299891107483,None,2,0.8934449200169183,138.32298825797625,None,138.32298825797625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_Nov_21_1609,Cognition2_FullCode1,2021.2.3,100.02265410431252,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/2_VisualBlock1.csv,29,1,1,2,1,2,2,11,16,28,33,45,75,87,92,104,134,146,176,3_audFile.wav,10,4,29,1,1,2,1,2,2,11,16,28,33,45,75,87,92,104,134,146,176,3_audFile.wav,10,4,0,1,,,,0,0,0,0,0,3,3,7,,,,,,,,,,,,,,,,,,,,,139.23313979402883,None,139.42299346602522,140.42298844800098,140.4330314960098,None,140.54301773098996,140.59301687497646,140.71303182799602,140.76297385100042,140.8830717150122,141.18299273302546,141.30298821697943,141.35302100598346,141.47307461698074,141.77310226199916,141.89303882501554,142.19301873800578,140.53298240609,None,142.29301310598385,None,143.5930907530128,None,143.70302871399326,143.75303837301908,143.87304071401013,143.92301596497418,144.04310246702516,144.34299216902582,144.46298721502535,144.51314952300163,144.6330201299861,144.93308382702526,145.0530985610094,145.35304463398643,143.69296688208124,None,2,1.4714080329868011,145.9530274210265,None,145.9530274210265,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_Nov_21_1609,Cognition2_FullCode1,2021.2.3,100.02265410431252,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/2_VisualBlock1.csv,29,1,1,2,1,2,2,11,16,28,33,45,75,87,92,104,134,146,176,3_audFile.wav,10,4,27,1,1,2,2,1,2,11,16,28,33,45,75,87,117,129,134,146,176,3_audFile.wav,10,4,0,2,,,,0,0,0,0,0,4,4,17,,,,,,,,,,,,,,,,,,,,,147.44302854902344,None,147.63306546397507,148.63303075300064,148.64300406503025,None,148.7530436749803,148.80311215901747,148.92301343102008,148.97303508000914,149.09304344997508,149.39305278402753,149.51306913100416,149.56307858601213,149.6830331889796,149.9830275119748,150.10301363799954,150.40299997199327,148.743081080087,None,150.50300125102513,None,151.80306350399042,None,151.9130618229974,151.9630743250018,152.08306871401146,152.13314430002356,152.25303598301252,152.55311973002972,152.67305017402396,152.97306698799366,153.09305870201206,153.14302895998117,153.26306313899113,153.5630429420271,151.90308083908167,None,2,1.0294331290060654,154.16308350197505,None,154.16308350197505,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_Nov_21_1609,Cognition2_FullCode1,2021.2.3,100.02265410431252,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/2_VisualBlock1.csv,19,2,1,2,1,2,1,11,41,53,58,70,100,112,117,129,159,171,176,3_audFile.wav,10,6,21,2,1,1,2,2,1,11,41,53,58,70,75,87,117,129,159,171,176,3_audFile.wav,10,6,0,2,,,,0,0,0,0,0,5,5,12,,,,,,,,,,,,,,,,,,,,,155.2031872930238,None,155.39313475700328,156.39312854898162,156.40305737400195,None,156.51309278199915,156.8131257300265,156.93309286801377,156.98307133303024,157.10309138899902,157.4030698799761,157.52304780302802,157.57313569902908,157.6930822120048,157.99305798200658,158.1133170889807,158.16310429997975,156.50308953912463,None,158.2630986860022,None,159.56311355298385,None,159.67309946700698,159.9731930400012,160.09316852799384,160.1430553959799,160.26301628298825,160.31313336302992,160.43316408002283,160.73310971801402,160.85313798702555,161.15311758802272,161.27315027697477,161.3230607219739,159.66308375110384,None,1,0.557342772022821,161.92309072898934,None,161.92309072898934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_Nov_21_1609,Cognition2_FullCode1,2021.2.3,100.02265410431252,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/2_VisualBlock1.csv,19,2,1,2,1,2,1,11,41,53,58,70,100,112,117,129,159,171,176,3_audFile.wav,10,6,19,2,1,2,1,2,1,11,41,53,58,70,100,112,117,129,159,171,176,3_audFile.wav,10,6,0,1,,,,0,0,0,0,0,6,6,9,,,,,,,,,,,,,,,,,,,,,162.49308969598496,None,162.6830808550003,163.6830975880148,163.69315780198667,None,163.80308913899353,164.1031100960099,164.2230744260014,164.27308470499702,164.39311429898953,164.6931499579805,164.81312644999707,164.863088721002,164.9831132949912,165.28310693701496,165.40316244901624,165.4530886639841,163.79308959608898,None,165.5530973339919,None,166.8531449100119,None,166.9631118910038,167.26315486698877,167.38311655801954,167.4331978650298,167.5532470989856,167.85318700398784,167.97315083799185,168.02311551303137,168.14309749001404,168.44310722401133,168.5630893469788,168.6131281409762,166.95311107311863,None,1,0.6832988919923082,169.21312667499296,None,169.21312667499296,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_Nov_21_1609,Cognition2_FullCode1,2021.2.3,100.02265410431252,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/2_VisualBlock1.csv,16,2,2,1,2,1,1,11,41,53,83,95,100,112,142,154,159,171,176,3_audFile.wav,10,7,18,2,2,1,1,2,1,11,41,53,83,95,100,112,117,129,159,171,176,3_audFile.wav,10,7,0,2,,,,0,0,0,0,0,7,7,30,,,,,,,,,,,,,,,,,,,,,169.91315792000387,None,170.1031178989797,171.10314383602235,171.11319665802876,None,171.2231497890316,171.52316282398533,171.64313803898403,171.9431753740064,172.06325013597962,172.11319193698,172.23317199898884,172.53316297801211,172.6531583329779,172.70312838099198,172.82318773400038,172.87317590601742,171.21316244709305,None,172.97315062902635,None,174.27316559600877,None,174.3831138969981,174.68310604197904,174.80311350198463,175.10312306601554,175.2230947309872,175.27322587301023,175.39317679603118,175.4431529850117,175.56311125098728,175.86313661502209,175.9831301359809,176.0331420309958,174.37313364009606,None,2,0.7272675230051391,176.633173307986,None,176.633173307986,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_Nov_21_1609,Cognition2_FullCode1,2021.2.3,100.02265410431252,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/2_VisualBlock1.csv,17,2,1,2,2,1,1,11,41,53,58,70,100,112,142,154,159,171,176,3_audFile.wav,10,6,25,2,1,1,2,1,2,11,41,53,58,70,75,87,117,129,134,146,176,3_audFile.wav,10,6,0,2,,,,0,0,0,0,0,8,8,24,,,,,,,,,,,,,,,,,,,,,177.37316693301545,None,177.56314270402072,178.56312468397664,178.5731768339756,None,178.68318808299955,178.98312905197963,179.10313961398788,179.153170495003,179.2731792720151,179.57323739601998,179.69318870198913,179.9931647219928,180.1131754469825,180.1631679040147,180.2831250570016,180.33322832500562,178.67313150607515,None,180.4331937370007,None,181.7331785869901,None,181.84314276097575,182.1432105610147,182.26323012198554,182.31329757301137,182.43317857501097,182.48321131902048,182.60318997199647,182.9031567859929,183.02318414498586,183.0731694130227,183.19316129997605,183.49318951397436,181.83315104112262,None,1,1.523272130987607,184.09319960599532,None,184.09319960599532,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_Nov_21_1609,Cognition2_FullCode1,2021.2.3,100.02265410431252,
