filePaths,practFiles,StimulusCode,stim1,stim2,stim3,stim4,stim5,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,audFile_i2,audStart_i2,similCatp,setVol,corrMatchAnswer,whatCondIs,trialTypeName,rhythm,stim6,stim6Start,stim6End,stim6_i2,stim6Start_i2,stim6End_i2,similCat_i2,condFilePath,sensoryCond,stimStart,overarchingRhythmOrder.thisRepN,overarchingRhythmOrder.thisTrialN,overarchingRhythmOrder.thisN,overarchingRhythmOrder.thisIndex,rhythmPractTrials.thisRepN,rhythmPractTrials.thisTrialN,rhythmPractTrials.thisN,rhythmPractTrials.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions_2.started,variableInstructions_2.stopped,goToBlockKey_2.keys,goToBlockKey_2.rt,goToBlockKey_2.started,goToBlockKey_2.stopped,text_9.started,text_9.stopped,preFix_2.started,preFix_2.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,holdFix_2.started,holdFix_2.stopped,cir1_2.started,cir1_2.stopped,cir2_2.started,cir2_2.stopped,cir3_2.started,cir3_2.stopped,cir4_2.started,cir4_2.stopped,cir5_2.started,cir5_2.stopped,audioTrialSound_2.started,audioTrialSound_2.stopped,text.started,text.stopped,holdFix_i2_2.started,holdFix_i2_2.stopped,cir1_i2_2.started,cir1_i2_2.stopped,cir2_i2_2.started,cir2_i2_2.stopped,cir3_i2_2.started,cir3_i2_2.stopped,cir4_i2_2.started,cir4_i2_2.stopped,cir5_i2_2.started,cir5_i2_2.stopped,audioTrialSound_i2_2.started,audioTrialSound_i2_2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,text_5.started,text_5.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.rt,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.481365554966033,None,space,225.29632178600878,13.669626840041019,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1,2023_Mar_08_1515,Cognition2_FullCode1,2021.2.3,100.0044412322168,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/48_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,239.11391377204563,None,space,7.536101731937379,239.21388833899982,None,250.8872532150708,None,251.08733598096296,None,246.8862316859886,250.8872532150708,246.8862316859886,250.8872532150708,252.07757238997146,None,252.18771570397075,252.4877441590652,252.63761311303824,252.68761571799405,252.83779062400572,253.1379022600595,253.28803674399387,253.3378735689912,253.4880950449733,253.5379154830007,252.08758491367334,None,253.93810169305652,None,255.2486220470164,None,255.35858559596818,255.6587165580131,255.80884386703838,255.85867657803465,256.0088308129925,256.30882475699764,256.4590611390304,256.5088090680074,256.6588684130693,256.70890506298747,255.25863457071827,None,1,1.3407449020305648,257.6091989390552,None,257.6091989390552,None,259.079635643051,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1,2023_Mar_08_1515,Cognition2_FullCode1,2021.2.3,100.0044412322168,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/48_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P2,2,1,1,2,1,11,41,56,61,76,81,96,126,141,146,2_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,264.6811020440655,None,264.881184951053,None,260.6801450239727,264.6811020440655,260.6801450239727,264.6811020440655,265.8916120210197,None,266.0016726059839,266.3016266350169,266.451724771061,266.5016790590016,266.6517909250688,266.70183005498257,266.851858154987,267.1519832559861,267.30191938905045,267.35202241898514,265.9016245447216,None,267.75220372597687,None,269.06239597906824,None,269.1725127029931,269.4725965120597,269.6226008980302,269.67250433401205,269.82260785996914,270.1226108080009,270.2728170340415,270.32270271505695,270.4727932329988,270.52286613499746,269.07240850277014,None,2,0.6948082679882646,271.4231404430466,None,271.4231404430466,None,272.2235405900283,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1,2023_Mar_08_1515,Cognition2_FullCode1,2021.2.3,100.0044412322168,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/48_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,277.815052243066,None,278.01513240206987,None,273.8138620980317,277.815052243066,273.8138620980317,277.815052243066,279.02513695904054,None,279.13535793998744,279.1852849900024,279.33535311196465,279.63535522599705,279.7856120109791,279.83549163804855,279.98564525705297,280.28570102900267,280.4356471650535,280.4856704319827,279.03514948274244,None,280.8859456189675,None,282.1961433519609,None,282.3062737559667,282.35621200106107,282.50640634598676,282.8064459479647,282.9563567220466,283.006482716999,283.15647685702424,283.4565600469941,283.6067003760254,283.65673727705143,282.20615587566283,None,1,0.6570179930422455,284.55692464101594,None,284.55692464101594,None,285.31715099397115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1,2023_Mar_08_1515,Cognition2_FullCode1,2021.2.3,100.0044412322168,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/48_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P4,1,2,1,1,2,11,16,31,61,76,81,96,101,116,146,4_practAudFile.wav,1,pc2,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,290.90859165706206,None,291.1087105750339,None,286.9076665380271,290.90859165706206,286.9076665380271,290.90859165706206,292.11894639302045,None,292.22909804596566,292.27904442406725,292.4291030759923,292.72917753702495,292.87937083805446,292.9292183830403,293.0792002870003,293.37956298305653,293.5295874719741,293.5795397789916,292.12895891672235,None,293.9797108230414,None,295.2803195460001,None,295.3899506139569,295.4399286840344,295.59006466099527,295.8901447770186,296.0401248780545,296.0901718219975,296.24024461605586,296.29032433603425,296.4402779210359,296.74032565101516,295.290332069702,None,2,0.6374758989550173,297.640477951034,None,297.640477951034,None,298.3807809740538,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1,2023_Mar_08_1515,Cognition2_FullCode1,2021.2.3,100.0044412322168,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/48_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,2,1,11,41,53,58,70,100,112,142,154,159,3_audFile.wav,10,6,23,2,1,2,1,1,11,41,53,58,70,100,112,117,129,134,3_audFile.wav,10,,0,2,,,17,1,171,176,2,146,176,6,,,,0,0,0,0,,,,,0,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,312.3847729479894,None,,,,,,,,,,,,,,,1,0.40596733102574944,316.0559774710564,None,316.0559774710564,None,,,299.99124671996105,None,space,9.202606125967577,300.0913374130614,None,309.34408016398083,None,309.523938184022,None,310.5242439820431,None,310.6343954990152,310.9344327719882,311.05444260896184,311.1043997290544,311.2246458439622,311.52457320701797,311.6445506280288,311.94475589098874,312.0648072710028,312.1146175940521,312.23472967906855,312.2848730509868,310.6242957476876,None,313.69519193004817,None,313.8051913960371,314.1052104959963,314.2252599509666,314.2753952620551,314.39551494200714,314.6954833200434,314.81542720797006,314.8655221690424,314.9854933170136,315.035679836059,315.15560523199383,315.45569636905566,313.79529396173314,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1,2023_Mar_08_1515,Cognition2_FullCode1,2021.2.3,100.0044412322168,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/48_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,1,2,1,11,16,28,58,70,75,87,117,129,134,3_audFile.wav,10,5,26,1,2,1,2,1,11,16,28,58,70,75,87,117,129,134,3_audFile.wav,10,,0,1,,,26,2,146,176,2,146,176,5,,,,0,0,0,0,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.55693187599536,None,,,,,,,,,,,,,,,1,0.3300714410142973,323.2279035790125,None,323.2279035790125,None,,,,,,,,,316.4858509550104,None,316.6658991849981,317.66636505606584,317.6963007809827,None,317.8063259359915,317.8562997080153,317.97630575101357,318.2765197149711,318.3965258609969,318.4464576790342,318.5666946750134,318.8666348119732,318.9868402869906,319.0367509960197,319.1567401760258,319.4568297909573,317.7962779197493,None,320.86728860996664,None,320.9772781779757,321.02724654600024,321.14731781498995,321.44751067098696,321.5674805700546,321.6174931790447,321.737613345962,322.0376694010338,322.1576527899597,322.2075222199783,322.3276479250053,322.627684400999,320.9672278497252,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1,2023_Mar_08_1515,Cognition2_FullCode1,2021.2.3,100.0044412322168,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/48_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,1,2,2,11,16,28,58,70,75,87,117,129,159,3_audFile.wav,10,5,22,1,2,1,2,2,11,16,28,58,70,75,87,117,129,159,3_audFile.wav,10,,0,1,,,22,1,171,176,1,171,176,5,,,,0,0,0,0,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,326.6489525070647,None,,,,,,,,,,,,,,,1,0.5900232481071725,330.3199376530247,None,330.3199376530247,None,,,,,,,,,323.57804910303093,None,323.75821829400957,324.7581686680205,324.78841879498214,None,324.8983548160177,324.94830239901785,325.06847577996086,325.3684172440553,325.48850516602397,325.53852373501286,325.6585222390713,325.958666295046,326.07880650798324,326.3789062539581,326.49892946495675,326.5488412840059,324.8885114626843,None,327.9592494990211,None,328.06940700206906,328.11915565805975,328.23934826406185,328.5395603340585,328.6594471730059,328.70949471206404,328.8295936479699,329.129569732002,329.2496933430666,329.549644362065,329.669633505051,329.7198920249939,328.0592304977705,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1,2023_Mar_08_1515,Cognition2_FullCode1,2021.2.3,100.0044412322168,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/48_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,1,1,2,11,16,28,58,70,75,87,92,104,134,3_audFile.wav,10,5,26,1,2,1,2,1,11,16,28,58,70,75,87,117,129,134,3_audFile.wav,10,,0,2,,,28,2,146,176,2,146,176,5,,,,0,0,0,0,,,,,0,3,3,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.00100117200054,None,,,,,,,,,,,,,,,1,0.3018554600421339,337.6720888259588,None,337.6720888259588,None,,,,,,,,,330.93015212204773,None,331.11007431696635,332.1103288360173,332.1404115620535,None,332.25050650606863,332.3004502110416,332.4204471260309,332.72056516399607,332.8406119249994,332.8907408020459,333.0107951130485,333.0605769309914,333.18069619196467,333.4807250009617,333.6007843830157,333.9010148260277,332.2403936367133,None,335.3112358300714,None,335.4213482399937,335.4713611860061,335.59145074302796,335.89154517196584,336.01157996302936,336.0616460930323,336.18162295396905,336.48174524703063,336.6016759229824,336.65185372601263,336.77190296095796,337.07177550101187,335.4113590577268,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1,2023_Mar_08_1515,Cognition2_FullCode1,2021.2.3,100.0044412322168,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/48_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,2,1,11,41,53,58,70,100,112,142,154,159,3_audFile.wav,10,6,17,2,1,2,2,1,11,41,53,58,70,100,112,142,154,159,3_audFile.wav,10,,0,1,,,17,1,171,176,1,171,176,6,,,,0,0,0,0,,,,,0,4,4,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.0729578039609,None,,,,,,,,,,,,,,,2,0.4779597899178043,344.74402980401646,None,344.74402980401646,None,,,,,,,,,338.00206341501325,None,338.1822612530086,339.18248669605237,339.21254183596466,None,339.32252415502444,339.6226780699799,339.7427209810121,339.7925347989658,339.91270127601456,340.2127596520586,340.33289499604143,340.6328063659603,340.7530076690018,340.8030191110447,340.92297980899457,340.97283221397083,339.3124929726706,None,342.383405582048,None,342.4935565519845,342.7935591939604,342.9134645239683,342.96354883303866,343.08355163398664,343.3836269619642,343.50375770404935,343.8037137100473,343.92396987299435,343.97378681297414,344.0939272920368,344.14391797897406,342.48355939771284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,1,2023_Mar_08_1515,Cognition2_FullCode1,2021.2.3,100.0044412322168,
