filePaths,practFiles,StimulusCode,stim1,stim2,stim3,stim4,stim5,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,audFile_i2,audStart_i2,similCatp,setVol,corrMatchAnswer,whatCondIs,trialTypeName,rhythm,stim6,stim6Start,stim6End,stim6_i2,stim6Start_i2,stim6End_i2,similCat_i2,condFilePath,sensoryCond,stimStart,overarchingRhythmOrder.thisRepN,overarchingRhythmOrder.thisTrialN,overarchingRhythmOrder.thisN,overarchingRhythmOrder.thisIndex,rhythmPractTrials.thisRepN,rhythmPractTrials.thisTrialN,rhythmPractTrials.thisN,rhythmPractTrials.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions_2.started,variableInstructions_2.stopped,goToBlockKey_2.keys,goToBlockKey_2.rt,goToBlockKey_2.started,goToBlockKey_2.stopped,text_9.started,text_9.stopped,preFix_2.started,preFix_2.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,holdFix_2.started,holdFix_2.stopped,cir1_2.started,cir1_2.stopped,cir2_2.started,cir2_2.stopped,cir3_2.started,cir3_2.stopped,cir4_2.started,cir4_2.stopped,cir5_2.started,cir5_2.stopped,audioTrialSound_2.started,audioTrialSound_2.stopped,text.started,text.stopped,holdFix_i2_2.started,holdFix_i2_2.stopped,cir1_i2_2.started,cir1_i2_2.stopped,cir2_i2_2.started,cir2_i2_2.stopped,cir3_i2_2.started,cir3_i2_2.stopped,cir4_i2_2.started,cir4_i2_2.stopped,cir5_i2_2.started,cir5_i2_2.stopped,audioTrialSound_i2_2.started,audioTrialSound_i2_2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,text_5.started,text_5.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.rt,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,byebyeText.started,byebyeText.stopped,pressToEnd.keys,pressToEnd.rt,pressToEnd.started,pressToEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.705870390025666,None,space,43.455953924014466,18.88246777400491,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2023_Feb_06_1647,Cognition2_FullCode1,2021.2.3,99.97248858367315,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/7_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,62.48491041600937,None,space,12.865420179994544,62.58492838300299,None,79.58974875402055,None,79.78983884700574,None,75.58854542000336,79.58974875402055,75.58854542000336,79.58974875402055,80.78006815601839,None,80.89011703501455,81.19016708800336,81.34020271501504,81.39012148801703,81.54028940101853,81.84040973702213,81.99053710300359,82.04037803501706,82.19042479401105,82.24038496802677,80.790072599618,None,82.64061194201349,None,83.9510238750081,None,84.06109100100002,84.36111819400685,84.51114973501535,84.56116217200179,84.71125934601878,85.01128036502632,85.16147698502755,85.21132121700794,85.36135412700241,85.41133993800031,83.96102831860772,None,1,2.106732815998839,86.3116957640159,None,86.3116957640159,None,88.53231367300032,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2023_Feb_06_1647,Cognition2_FullCode1,2021.2.3,99.97248858367315,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/7_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P2,2,1,1,2,1,11,41,56,61,76,81,96,126,141,146,2_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,94.13390071102185,None,94.33401860002778,None,90.13278464000905,94.13390071102185,90.13278464000905,94.13390071102185,95.34411075801472,None,95.4542737340089,95.75432874000398,95.90438915000414,95.954370129999,96.10447548801312,96.15437518002,96.30461806402309,96.6046620090201,96.75470671302173,96.80475238102372,95.35411520161433,None,97.2047824600013,None,98.50540581700625,None,98.61517538002227,98.91522609000094,99.06532555102604,99.11525246599922,99.26546568100457,99.56539193700883,99.71555439700023,99.76543551700888,99.91575372000807,99.96544206200633,98.51541026060586,None,2,0.4884413589898031,100.86596955600544,None,100.86596955600544,None,101.45591570800752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2023_Feb_06_1647,Cognition2_FullCode1,2021.2.3,99.97248858367315,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/7_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,107.04749053702108,None,107.24768100000801,None,103.04646938701626,107.04749053702108,103.04646938701626,107.04749053702108,108.25800049802638,None,108.36791621701559,108.41792205302045,108.5679453080229,108.8679740060179,109.01818060001824,109.06825909600593,109.21813041702262,109.51839265401941,109.66829037302523,109.71830917702755,108.26800494162599,None,110.1185303350212,None,111.41898318802123,None,111.5288339079998,111.57878282800084,111.72887376800645,112.0288834280218,112.17909186700126,112.22904793702764,112.37929238702054,112.67912488302682,112.82915393300937,112.87911408601212,111.42898763162084,None,2,0.9266838189796545,113.77968719199998,None,113.77968719199998,None,114.80994904902764,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2023_Feb_06_1647,Cognition2_FullCode1,2021.2.3,99.97248858367315,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/7_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P4,1,2,1,1,2,11,16,31,61,76,81,96,101,116,146,4_practAudFile.wav,1,pc2,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,120.40165139400051,None,120.60142697600531,None,116.4003678560257,120.40165139400051,116.4003678560257,120.40165139400051,121.61179829202592,None,121.72182005102513,121.77178342101979,121.92193811401376,122.22182750000502,122.37194891500985,122.4218658520258,122.57199070299976,122.87197476101574,123.02222947901464,123.07202119301655,121.62180273562554,None,123.47231148200808,None,124.77309044002322,None,124.88260648000869,124.9327537290228,125.0827681950177,125.38278070601518,125.53289975202642,125.58281720202649,125.7329648740124,125.78284564102069,125.93308088401682,126.23305558302673,124.78309488362284,None,2,0.316965940000955,127.13338121800916,None,127.13338121800916,None,127.55359399301233,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2023_Feb_06_1647,Cognition2_FullCode1,2021.2.3,99.97248858367315,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/7_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,1,2,1,11,16,28,58,70,75,87,117,129,134,3_audFile.wav,10,5,20,1,2,2,1,2,11,16,28,58,70,100,112,117,129,159,3_audFile.wav,10,,0,2,,,26,2,146,176,1,171,176,5,,,,0,0,0,0,,,,,0,0,0,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145.06841071901727,None,,,,,,,,,,,,,,,2,0.4627853040001355,148.7396287630254,None,148.7396287630254,None,,,129.1639283520053,None,space,12.706557227007579,129.2638605000102,None,142.02758935600286,None,142.20766490802635,None,143.20800382600282,None,143.31797699502204,143.36795242701191,143.48795948602492,143.78798133600503,143.90807865801617,143.95809605700197,144.07811081700493,144.37824992000242,144.49834245300735,144.5483240930189,144.66829451802187,144.9683003940154,143.30782641160766,None,146.37883512701956,None,146.48887024901342,146.53893072300707,146.6589254340215,146.95896914802142,147.0790047260234,147.37902611499885,147.49905525700888,147.54908709900337,147.66929827301647,147.96919857501052,148.08934576201136,148.13934640202206,146.47878514360053,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2023_Feb_06_1647,Cognition2_FullCode1,2021.2.3,99.97248858367315,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/7_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,2,1,2,11,16,28,58,70,100,112,117,129,159,3_audFile.wav,10,5,20,1,2,2,1,2,11,16,28,58,70,100,112,117,129,159,3_audFile.wav,10,,0,1,,,20,1,171,176,1,171,176,5,,,,0,0,0,0,,,,,0,1,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.30055876800907,None,,,,,,,,,,,,,,,2,0.2628615089925006,155.97154598502675,None,155.97154598502675,None,,,,,,,,,149.22955884202383,None,149.4097849050013,150.410189302027,150.4402642630157,None,150.55001597700175,150.5999640650116,150.72004344302695,151.02002179602277,151.14014010402025,151.44033689802745,151.56026224102243,151.61021151102614,151.73044378400664,152.03041275701253,152.15045161201851,152.20051841100212,150.5399161826237,None,153.61116271300125,None,153.72110888402676,153.7709308580088,153.89106057802564,154.1910313210101,154.31109261501115,154.61114714102587,154.73116300601396,154.78130007200525,154.90134053400834,155.20126729400363,155.32130894402508,155.37149780700565,153.71106856562545,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2023_Feb_06_1647,Cognition2_FullCode1,2021.2.3,99.97248858367315,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/7_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,1,1,11,41,53,58,70,100,112,117,129,134,3_audFile.wav,10,6,23,2,1,2,1,1,11,41,53,58,70,100,112,117,129,134,3_audFile.wav,10,,0,1,,,23,2,146,176,2,146,176,6,,,,0,0,0,0,,,,,0,2,2,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159.33266897502472,None,,,,,,,,,,,,,,,1,0.470786368008703,163.0035489310103,None,163.0035489310103,None,,,,,,,,,156.2617389000079,None,156.44163292701705,157.44191482002498,157.47193301701918,None,157.5819830930268,157.88208316700184,158.00216641102452,158.05204357102048,158.17216512101004,158.4722430719994,158.59231239301153,158.64230595101253,158.76248474500608,158.81247110501863,158.93236705401796,159.23261498002103,157.5719730536104,None,160.64295689901337,None,160.75292716000695,161.05301503301598,161.173069373006,161.22298317000968,161.3431294960028,161.6431535910233,161.76315985401743,161.8130878910015,161.93342131300597,161.9832224540005,162.10343073302647,162.40330417102086,160.74286386462626,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2023_Feb_06_1647,Cognition2_FullCode1,2021.2.3,99.97248858367315,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/7_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,1,2,2,11,41,53,58,70,75,87,117,129,159,3_audFile.wav,10,6,21,2,1,1,2,2,11,41,53,58,70,75,87,117,129,159,3_audFile.wav,10,,0,1,,,21,1,171,176,1,171,176,6,,,,0,0,0,0,,,,,0,3,3,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.57458088101703,None,,,,,,,,,,,,,,,2,0.16459157699136995,170.24578889101394,None,170.24578889101394,None,,,,,,,,,163.50387461902574,None,163.6936973480042,164.69397216802463,164.71412545102066,None,164.82409486101824,165.12441546900664,165.24414260001504,165.29417549000937,165.41427443901193,165.4641733020253,165.58429584201076,165.88432806701167,166.00466004302143,166.30453164700884,166.4244574320037,166.47447710801498,164.8141715426056,None,167.88496362001752,None,167.99495913702413,168.295195350016,168.4151101410098,168.4650800510135,168.58516385400435,168.63527240802068,168.75520025001606,169.05524791101925,169.17541017301846,169.47532274000696,169.59553073102143,169.64540921800653,167.98511207661358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2023_Feb_06_1647,Cognition2_FullCode1,2021.2.3,99.97248858367315,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/7_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,1,1,2,11,16,28,58,70,75,87,92,104,134,3_audFile.wav,10,5,24,1,2,2,1,1,11,16,28,58,70,100,112,117,129,134,3_audFile.wav,10,,0,2,,,28,2,146,176,2,146,176,5,,,,0,0,0,0,,,,,0,4,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,173.50671227602288,None,,,,,,,,,,,,,,,1,0.28077478500199504,177.17757082500611,None,177.17757082500611,None,,,,,,,,,170.43556091201026,None,170.61572077299934,171.6159296980186,171.6460545300215,None,171.75602865201654,171.8060330360022,171.9261127380014,172.22616878102417,172.3462409680069,172.39620259799995,172.51623241201742,172.56628562000697,172.68636495200917,172.9863782050088,173.10638529100106,173.40640290800366,171.74610684362705,None,174.81703833700158,None,174.92695078000543,174.97695558800478,175.09707122200052,175.3970844760188,175.5171880890266,175.81713504801155,175.93721462000394,175.98721838500933,176.1074437990028,176.1572062310006,176.27735554802348,176.57742356002564,174.91691061061573,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,1,2023_Feb_06_1647,Cognition2_FullCode1,2021.2.3,99.97248858367315,
