Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.3938045120003153,10.063004173000081,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,001,2023_May_23_1726,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.018552094606584,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.063004173000081,None,11.580549819000225,None,space,1.5574956649998057,11.763320886000656,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,001,2023_May_23_1726,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.018552094606584,
ash.wav,ash.mpg,ash,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO trial",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,13.396292463999998,None,14.363062439000714,None,17.446177420000822,None,18.829750299000807,None,ash ,18.829750299000807,None,return,17.447779379000167,18.913043221000407,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,001,2023_May_23_1726,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.018552094606584,
ash.wav,ash.mpg,ash,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO + VIDEO  trial",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,36.396197961000325,None,37.39639029299997,None,38.896169819000534,None,40.279838743000255,None,"ash
",40.279838743000255,None,return,11.869571614000051,40.3632484510008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,001,2023_May_23_1726,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.018552094606584,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.27953412200077,None,space,20.025599203999263,52.463211773000694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,104,001,2023_May_23_1726,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.018552094606584,
crook.wav,crook.mpg,crook,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,,,,,,,,,,0,0,0,58,,,,,,,,,,,,,,,,,,,,,,,72.54626976100008,None,74.02961172900086,None,75.41318572400087,None,crup,75.41318572400087,None,return,13.496337928000685,75.49655936400086,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,001,2023_May_23_1726,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.018552094606584,
bribe.wav,bribe.mpg,bribe,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,1,1,15,,,,,,,,,,,,,,,,,,,,,,,89.01308252700073,None,90.51291800200033,None,91.89649123700019,None,fried,91.89649123700019,None,return,7.389175145999616,91.97971955000048,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,001,2023_May_23_1726,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.018552094606584,
tear.wav,tear.mpg,tear,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,2,2,67,,,,,,,,,,,,,,,,,,,,,,,99.3965477390002,None,100.89634399500028,None,102.27989412500028,None," em
",102.27989412500028,None,return,13.50156048900044,102.36325753500023,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,001,2023_May_23_1726,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.018552094606584,
food.wav,food.mpg,food,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,,,,,,,,,,0,3,3,49,,,,,,,,,,,,,,,,,,,,,,,115.89654671800054,None,117.39638538700001,None,118.779949193,None,him,118.779949193,None,return,17.961395841999547,118.86343172400029,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,001,2023_May_23_1726,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.018552094606584,
dice.wav,dice.mpg,dice,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,4,4,48,,,,,,,,,,,,,,,,,,,,,,,136.84658972700072,None,138.34637346800082,None,139.72989038500054,None,dutz,139.72989038500054,None,return,5.963673287000347,139.8132486150007,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,001,2023_May_23_1726,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.018552094606584,
