Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,296.4646235450018,12.840320317998703,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,001,2023_Jun_07_1456,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.97514461972238,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.840320317998703,None,309.4239949820003,None,space,12.233916619999945,309.6070192900006,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,001,2023_Jun_07_1456,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.97514461972238,
ash.wav,ash.mpg,ash,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO trial",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,321.9069589299979,None,322.8906013880005,None,326.24017539299894,None,327.62379985699954,None,ash,327.62379985699954,None,return,4.293760680997366,327.7072072789997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,001,2023_Jun_07_1456,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.97514461972238,
ash.wav,ash.mpg,ash,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO + VIDEO  trial",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,332.0403251079988,None,333.0404840689989,None,334.52353555399895,None,335.90696398399814,None,ash,335.90696398399814,None,return,1.2744949070001894,335.990431025999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,001,2023_Jun_07_1456,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.97514461972238,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.3069023309981,None,space,1.1425073680002242,337.49041637199844,None,,,,,,,,,,,,,,,,,,,,,,,,,,,114,001,2023_Jun_07_1456,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.97514461972238,
flog.wav,flog.mpg,flog,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,,,,,,,,,,0,0,0,44,,,,,,,,,,,,,,,,,,,,,,,338.6902280229988,None,340.1735185469988,None,341.55713476099845,None,dog,341.55713476099845,None,return,4.296579462999944,341.6404428679998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,001,2023_Jun_07_1456,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.97514461972238,
draw.wav,draw.mpg,draw,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,345.95711702100016,None,347.45690611700047,None,348.8405167489982,None,dog,348.8405167489982,None,return,5.429211880997173,348.92375172899847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,001,2023_Jun_07_1456,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.97514461972238,
clap.wav,clap.mpg,clap,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,2,2,79,,,,,,,,,,,,,,,,,,,,,,,354.3737841580005,None,355.8735631489981,None,357.25720591999925,None,clap,357.25720591999925,None,return,1.1406102440014365,357.3404525139995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,001,2023_Jun_07_1456,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.97514461972238,
dive.wav,dive.mpg,dive,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,3,3,92,,,,,,,,,,,,,,,,,,,,,,,358.5071590949992,None,359.9903146159995,None,361.37369273999866,None,dive,361.37369273999866,None,return,0.8717958750021353,361.45716060599807,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,001,2023_Jun_07_1456,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.97514461972238,
rent.wav,rent.mpg,rent,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,4,4,21,,,,,,,,,,,,,,,,,,,,,,,362.35715033499946,None,363.84177266799816,None,365.22377463799785,None,light,365.22377463799785,None,return,1.2298776589996123,365.3071682769987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,001,2023_Jun_07_1456,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.97514461972238,
