Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,exitTxt.started,exitTxt.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,49.201084727887064,1141.5370305930264,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,001,2023_Nov_14_1120,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.98433350906526,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1141.5370305930264,None,1190.8700376171619,None,space,37.12451483402401,1191.0535746519454,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,001,2023_Nov_14_1120,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.98433350906526,
ash.wav,ash.mpg,ash,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO trial",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,1228.2204744210467,None,1229.2202779282816,None,1232.4041230040602,None,1233.7869827952236,None,ash,1233.7869827952236,None,return,5.79570397734642,1233.870441808831,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,001,2023_Nov_14_1120,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.98433350906526,
ash.wav,ash.mpg,ash,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO + VIDEO  trial",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1239.7034074421972,None,1240.7036173171364,None,1242.2034748890437,None,1243.586912625935,None,ash,1243.586912625935,None,return,39.963857328053564,1243.6702799228951,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,001,2023_Nov_14_1120,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.98433350906526,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1283.67005738616,None,space,8.716424020007253,1283.8537410139106,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,001,2023_Nov_14_1120,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.98433350906526,
flag.wav,flag.mpg,flag,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,,,,,,,,,,0,0,0,52,,,,,,,,,,,,,,,,,,,,,,,1292.6200871830806,None,1294.1035411860794,None,1295.487031065859,None,bug,1295.487031065859,None,return,5.887772191781551,1295.5703190141357,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,001,2023_Nov_14_1120,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.98433350906526,
cough.wav,cough.mpg,cough,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,,,,,,,,,,0,1,1,36,,,,,,,,,,,,,,,,,,,,,,,1301.4870664812624,None,1302.9868059502915,None,1304.3703707521781,None,"car
",1304.3703707521781,None,return,1.2843953678384423,1304.4537104289047,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,001,2023_Nov_14_1120,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.98433350906526,
goat.wav,goat.mpg,goat,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,2,2,66,,,,,,,,,,,,,,,,,,,,,,,1305.7703460128978,None,1307.270119685214,None,1308.653659384232,None,goat,1308.653659384232,None,return,3.5050699240528047,1308.737074457109,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,001,2023_Nov_14_1120,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.98433350906526,
clean.wav,clean.mpg,clean,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,3,3,74,,,,,,,,,,,,,,,,,,,,,,,1312.2704181671143,None,1313.7700628940947,None,1315.1536341272295,None,key,1315.1536341272295,None,return,5.597073887009174,1315.2370944642462,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,001,2023_Nov_14_1120,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.98433350906526,
bench.wav,bench.mpg,bench,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,4,4,8,,,,,,,,,,,,,,,,,,,,,,,1320.8537655309774,None,1322.3701633759774,None,1323.753770666197,None,"fish
",1323.753770666197,None,return,3.7009925399906933,1323.8371313288808,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,001,2023_Nov_14_1120,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.98433350906526,
