Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,exitTxt.started,exitTxt.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,183.3035763250664,24.94883780227974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,001,2024_Jan_26_1708,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.99281913312093,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.94883780227974,None,208.38241748698056,None,space,11.830751066096127,208.5656373249367,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,001,2024_Jan_26_1708,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.99281913312093,
ash.wav,ash.mpg,ash,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO trial",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,220.43263834621757,None,221.43230151804164,None,224.6488518291153,None,226.04871289618313,None,edge,226.04871289618313,None,return,13.816752600017935,226.11562882596627,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,001,2024_Jan_26_1708,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.99281913312093,
ash.wav,ash.mpg,ash,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO + VIDEO  trial",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,239.96543766232207,None,240.96593265701085,None,242.465469985269,None,243.84900825936347,None,etch,243.84900825936347,None,return,8.999958422034979,243.93239803332835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,001,2024_Jan_26_1708,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.99281913312093,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,252.96535397833213,None,space,16.831230578012764,253.14913268527016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,001,2024_Jan_26_1708,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.99281913312093,
green.wav,green.mpg,green,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,,,,,,,,,,0,0,0,55,,,,,,,,,,,,,,,,,,,,,,,270.03203193098307,None,271.5153818242252,None,272.89905435219407,None,green,272.89905435219407,None,return,6.782049845904112,272.98238315293565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,001,2024_Jan_26_1708,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.99281913312093,
clay.wav,clay.mpg,clay,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,1,1,11,,,,,,,,,,,,,,,,,,,,,,,279.78251903504133,None,281.2654355573468,None,282.6490500769578,None,play,282.6490500769578,None,return,1.3599656913429499,282.73241082020104,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,001,2024_Jan_26_1708,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.99281913312093,
chin.wav,chin.mpg,chin,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,2,2,79,,,,,,,,,,,,,,,,,,,,,,,284.1156985349953,None,285.6154001369141,None,286.9989646449685,None,jean,286.9989646449685,None,return,5.2979021412320435,287.0824637701735,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,001,2024_Jan_26_1708,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.99281913312093,
blind.wav,blind.mpg,blind,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,,,,,,,,,,0,3,3,36,,,,,,,,,,,,,,,,,,,,,,,292.39907684596255,None,293.8988244882785,None,295.2823775941506,None,light,295.2823775941506,None,return,1.438751693814993,295.365694984328,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,001,2024_Jan_26_1708,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.99281913312093,
spire.wav,spire.mpg,spire,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,4,4,40,,,,,,,,,,,,,,,,,,,,,,,296.83237953530625,None,298.3321793680079,None,299.7157076639123,None,spider,299.7157076639123,None,return,3.589430565945804,299.79900771798566,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,001,2024_Jan_26_1708,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.99281913312093,
