Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,exitTxt.started,exitTxt.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,23.017621017992496,22.702888623811305,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,001,2024_Mar_06_1421,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.95397230797203,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.702888623811305,None,45.86864923033863,None,space,12.205108583904803,46.03551636449993,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,001,2024_Mar_06_1421,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.95397230797203,
ash.wav,ash.mpg,ash,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO trial",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,58.30197521392256,None,59.28551132325083,None,62.601930778473616,None,63.98537367768586,None,ash,63.98537367768586,None,return,5.443707846105099,64.06879634875804,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,001,2024_Mar_06_1421,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.95397230797203,
ash.wav,ash.mpg,ash,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO + VIDEO  trial",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,69.55182782560587,None,70.55225244071335,None,72.03528509754688,None,73.418875397183,None,"ash
",73.418875397183,None,return,4.218328565359116,73.50217801332474,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,001,2024_Mar_06_1421,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.95397230797203,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.76861420925707,None,space,13.024361418560147,77.95214369799942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,001,2024_Mar_06_1421,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.95397230797203,
cloak.wav,cloak.mpg,cloak,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,0,0,20,,,,,,,,,,,,,,,,,,,,,,,91.03524647373706,None,92.51852093357593,None,93.9022006476298,None,hi,93.9022006476298,None,return,9.438984130509198,93.98563406430185,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,001,2024_Mar_06_1421,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.95397230797203,
bridge.wav,bridge.mpg,bridge,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,1,1,93,,,,,,,,,,,,,,,,,,,,,,,103.45229613035917,None,104.95409756340086,None,106.33551025390625,None,bridge,106.33551025390625,None,return,2.6056830771267414,106.41896540485322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,001,2024_Mar_06_1421,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.95397230797203,
goat.wav,goat.mpg,goat,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,2,2,15,,,,,,,,,,,,,,,,,,,,,,,109.0522471005097,None,110.55194490402937,None,111.93570844549686,None,sit,111.93570844549686,None,return,4.093700014986098,112.0188540481031,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,001,2024_Mar_06_1421,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.95397230797203,
dirt.wav,dirt.mpg,dirt,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,3,3,64,,,,,,,,,,,,,,,,,,,,,,,116.13562372885644,None,117.6187484562397,None,119.00209655892104,None,church,119.00209655892104,None,return,2.354889187030494,119.0856922287494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,001,2024_Mar_06_1421,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.95397230797203,
live.wav,live.mpg,live,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,4,4,24,,,,,,,,,,,,,,,,,,,,,,,121.46895540785044,None,122.95192000642419,None,124.33554408419877,None,judge,124.33554408419877,None,return,8.38978168927133,124.41889821458608,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177,001,2024_Mar_06_1421,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.95397230797203,
