Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,space,0.42907449696213007,1052.5594546229113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
,,,,,,,,,,,,,,,,,,,,1052.5594546229113,None,1053.010302655981,None,space,0.6516903239535168,1053.19283399696,None,,,,,,,,,,,,,,,,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
ash.wav,ash.mpg,ash,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO trial",0,0,0,0,,,,,,,,,,,,,,,,,1053.9092975299573,None,1054.8928175359033,None,1056.9755267549772,None,1058.3603005859768,None,ash,1058.3603005859768,None,return,11.441843273001723,1058.442649087985,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
ash.wav,ash.mpg,ash,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO + VIDEO  trial",0,1,1,1,,,,,,,,,,,,,,,,,1069.925650271005,None,1070.9258931619115,None,1072.408950805897,None,1073.7925563639728,None,ash,1073.7925563639728,None,return,20.92857362900395,1073.8759270790033,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1094.859034178895,None,space,6.921938644954935,1095.0425893679494,None,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
guilt.wav,guilt.mpg,guilt,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,0,0,0,67,,,,,,,,,,,,,,,1102.0257858060068,None,1103.509027650929,None,1104.8759448688943,None,guilt,1104.8759448688943,None,return,2.7332040750188753,1104.9593225319404,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
wild.wav,wild.mpg,wild,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,0,1,1,79,,,,,,,,,,,,,,,1107.709345193929,None,1109.2090258339886,None,1110.575933074928,None,wild,1110.575933074928,None,return,1.6653259600279853,1110.659272752935,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
fad.wav,fad.mpg,fad,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,0,2,2,95,,,,,,,,,,,,,,,1112.3426422699122,None,1113.842432849924,None,1115.2092514669057,None,"fly
",1115.2092514669057,None,return,4.151898671989329,1115.2925869158935,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
unit.wav,unit.mpg,unit,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,0,3,3,92,,,,,,,,,,,,,,,1119.47594355396,None,1120.9595734609757,None,1122.3426253990037,None,sweet,1122.3426253990037,None,return,3.3220336969243363,1122.4265152330045,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
cord.wav,cord.mpg,cord,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,0,4,4,68,,,,,,,,,,,,,,,1125.7760184349027,None,1127.2757510169176,None,1128.6426884259563,None,cord,1128.6426884259563,None,return,2.0065801329910755,1128.7260338909691,None,,,,,,,22,001,2023_Feb_15_2005,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.87130756119518,
