Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,2.787939995061606,16.328502526972443,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.328502526972443,None,19.14489782496821,None,space,15.996899015037343,19.311574966064654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
ash.wav,ash.mpg,ash,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO trial",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,35.3456998670008,None,36.34493448701687,None,39.54654856596608,None,40.94463054800872,None,"ash
",40.94463054800872,None,return,4.984756989986636,41.011607327032834,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
ash.wav,ash.mpg,ash,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO + VIDEO  trial",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,46.044696199009195,None,47.04486516898032,None,48.52928898099344,None,49.91151262400672,None,ash,49.91151262400672,None,return,0.8333212579600513,49.995034110033885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.86151030403562,None,space,9.343364951084368,51.04501249501482,None,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
fine.wav,fine.mpg,fine,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,,,,,,,,,,0,0,0,14,,,,,,,,,,,,,,,,,,,,,,,60.444608491961844,None,61.928074734983966,None,63.311736522009596,None,find,63.311736522009596,None,return,2.8494274290278554,63.39500371995382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
crypt.wav,crypt.mpg,crypt,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,1,1,33,,,,,,,,,,,,,,,,,,,,,,,66.26164276700001,None,67.76141995296348,None,69.14495006098878,None,find,69.14495006098878,None,return,4.880093898973428,69.22834540205076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
frog.wav,frog.mpg,frog,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,2,2,42,,,,,,,,,,,,,,,,,,,,,,,74.12846440798603,None,75.62788961501792,None,77.01170681300573,None,blow,77.01170681300573,None,return,4.013551302952692,77.09493829798885,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
dread.wav,dread.mpg,dread,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,81.12830400606617,None,82.62796237005387,None,84.01178639102727,None,blow,84.01178639102727,None,return,1.5735287360148504,84.094986313954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
creep.wav,creep.mpg,creep,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,,,,,,,,,,0,4,4,62,,,,,,,,,,,,,,,,,,,,,,,85.69499047496356,None,87.19471077399794,None,88.57831806200556,None,"grip
",88.57831806200556,None,return,1.7185663669370115,88.66178141196724,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,001,2023_Feb_22_1627,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.96310855787569,
