Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,exitTxt.started,exitTxt.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,space,1.7402483238838613,9.195635011186823,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022_Dec_01_1748,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.26806200458548,
,,,,,,,,,,,,,,,,,,,,9.195635011186823,None,10.962653987109661,None,space,0.8057898271363229,11.146066102199256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,001,2022_Dec_01_1748,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.26806200458548,
ash.wav,ash.mpg,ash,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO trial",0,0,0,0,,,,,,,,,,,,,,,,,11.996053069131449,None,12.995977448066697,None,15.078734243055806,None,16.445939714089036,None,ash,16.445939714089036,None,return,5.438674755161628,16.529272079002112,None,,,,,,,,,,,,,3,001,2022_Dec_01_1748,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.26806200458548,
ash.wav,ash.mpg,ash,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO + VIDEO  trial",0,1,1,1,,,,,,,,,,,,,,,,,22.011804692214355,None,23.012654956197366,None,24.512832393171266,None,25.895994796184823,None,"ash
",25.895994796184823,None,return,76.08426806912757,25.979591441107914,None,,,,,,,,,,,,,3,001,2022_Dec_01_1748,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.26806200458548,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.11298663611524,None,space,2.448139267973602,102.29583326214924,None,,,,,,,3,001,2022_Dec_01_1748,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.26806200458548,
crowd.wav,crowd.mpg,crowd,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,0,0,0,62,,,,,,,,,,,,,,,104.79602259304374,None,106.31215894012712,None,107.69609363819472,None,crowd,107.69609363819472,None,return,8.188651528209448,107.77928751916625,None,,,,,,,,,,,,,3,001,2022_Dec_01_1748,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.26806200458548,
client.wav,client.mpg,client,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,0,1,1,9,,,,,,,,,,,,,,,115.99608122906648,None,117.52876790100709,None,118.91234188806266,None,orange,118.91234188806266,None,return,2.307492721127346,118.99639810109511,None,,,,,,,,,,,,,3,001,2022_Dec_01_1748,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.26806200458548,
toast.wav,toast.mpg,toast,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,0,2,2,20,,,,,,,,,,,,,,,121.32975176814944,None,122.8460691741202,None,124.22950412612408,None,"toast
",124.22950412612408,None,return,1.7836545938625932,124.31220734701492,None,,,,,,,,,,,,,3,001,2022_Dec_01_1748,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.26806200458548,
cup.wav,cup.mpg,cup,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,0,3,3,12,,,,,,,,,,,,,,,126.12911547208205,None,127.62902379804291,None,129.01308913109824,None,"cip
",129.01308913109824,None,return,1.319631634047255,129.09619783307426,None,,,,,,,,,,,,,3,001,2022_Dec_01_1748,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.26806200458548,
bow.wav,bow.mpg,bow,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,0,4,4,54,,,,,,,,,,,,,,,130.44634033506736,None,131.99531733314507,None,133.37979213008657,None,bye,133.37979213008657,None,return,2.6247685719281435,133.46306048100814,None,,,,,,,,,,,,,3,001,2022_Dec_01_1748,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.26806200458548,
