Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,exitTxt.started,exitTxt.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.2641989840194583,11.718527799937874,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,001,2023_Apr_14_1825,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.991945960564436,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.718527799937874,None,13.10047950502485,None,space,22.779316955711693,13.283371333964169,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,001,2023_Apr_14_1825,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.991945960564436,
ash.wav,ash.mpg,ash,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO trial",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,36.10019493009895,None,37.099870741833,None,40.31626290176064,None,41.683179148007184,None,ash,41.683179148007184,None,return,3.560089270118624,41.766562294680625,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,001,2023_Apr_14_1825,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.991945960564436,
ash.wav,ash.mpg,ash,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO + VIDEO  trial",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,45.36630487581715,None,46.36656402191147,None,47.84970507165417,None,49.23338015610352,None,"ash
",49.23338015610352,None,return,2.250072602648288,49.31656116200611,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,001,2023_Apr_14_1825,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.991945960564436,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.616293482948095,None,space,18.742721223738045,51.79992182273418,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,001,2023_Apr_14_1825,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.991945960564436,
dim.wav,dim.mpg,dim,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,0,0,10,,,,,,,,,,,,,,,,,,,,,,,70.59963396470994,None,72.08297102479264,None,73.46660534571856,None,"dim
",73.46660534571856,None,return,9.136671443935484,73.54996495973319,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,001,2023_Apr_14_1825,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.991945960564436,
calm.wav,calm.mpg,calm,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,82.71671154210344,None,84.19972973084077,None,85.58321360405535,None,calm,85.58321360405535,None,return,7.771991083398461,85.66678285365924,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,001,2023_Apr_14_1825,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.991945960564436,
brand.wav,brand.mpg,brand,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,2,2,47,,,,,,,,,,,,,,,,,,,,,,,93.46667307289317,None,94.94964097486809,None,96.33334082970396,None,rain,96.33334082970396,None,return,3.3901244276203215,96.4166330108419,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,001,2023_Apr_14_1825,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.991945960564436,
nice.wav,nice.mpg,nice,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,,,,,,,,,,0,3,3,104,,,,,,,,,,,,,,,,,,,,,,,99.83323984500021,None,101.33308309875429,None,102.7165449950844,None,nice,102.7165449950844,None,return,6.990655463188887,102.7999786939472,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,001,2023_Apr_14_1825,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.991945960564436,
foot.wav,foot.mpg,foot,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,4,4,38,,,,,,,,,,,,,,,,,,,,,,,109.81667979201302,None,111.30009582266212,None,112.68329781387001,None,butch,112.68329781387001,None,return,4.032062575221062,112.76663739280775,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,001,2023_Apr_14_1825,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.991945960564436,
grunt.wav,grunt.mpg,grunt,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,,,,,,,,,,0,5,5,68,,,,,,,,,,,,,,,,,,,,,,,116.81664361478761,None,118.31641502166167,None,119.69999632006511,None,grudge,119.69999632006511,None,return,7.926934457849711,119.78368670400232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,001,2023_Apr_14_1825,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,59.991945960564436,
