condition,conditionCode,corrFlash,corrBeeps,flashRespNum,beepRespNum,accuracy,altAccuracy
3F0B,15.0,3.0,0.0,3.0,,1,1
4F0B,20.0,4.0,0.0,3.0,,0,1
3F0B,15.0,3.0,0.0,4.0,,0,1
1F0B,5.0,1.0,0.0,1.0,,1,1
2F0B,10.0,2.0,0.0,2.0,,1,1
1F0B,5.0,1.0,0.0,1.0,,1,1
2F0B,10.0,2.0,0.0,2.0,,1,1
4F0B,20.0,4.0,0.0,3.0,,0,1
3F0B,15.0,3.0,0.0,3.0,,1,1
3F0B,15.0,3.0,0.0,2.0,,0,0
4F0B,20.0,4.0,0.0,4.0,,1,1
2F0B,10.0,2.0,0.0,2.0,,1,1
1F0B,5.0,1.0,0.0,1.0,,1,1
4F0B,20.0,4.0,0.0,3.0,,0,1
2F0B,10.0,2.0,0.0,2.0,,1,1
1F0B,5.0,1.0,0.0,1.0,,1,1
2F0B,10.0,2.0,0.0,3.0,,0,0
4F0B,20.0,4.0,0.0,3.0,,0,1
4F0B,20.0,4.0,0.0,3.0,,0,1
3F0B,15.0,3.0,0.0,3.0,,1,1
3F0B,15.0,3.0,0.0,3.0,,1,1
1F0B,5.0,1.0,0.0,1.0,,1,1
2F0B,10.0,2.0,0.0,2.0,,1,1
1F0B,5.0,1.0,0.0,1.0,,1,1
1F0B,5.0,1.0,0.0,1.0,,1,1
1F0B,5.0,1.0,0.0,1.0,,1,1
2F0B,10.0,2.0,0.0,2.0,,1,1
4F0B,20.0,4.0,0.0,3.0,,0,1
4F0B,20.0,4.0,0.0,3.0,,0,1
3F0B,15.0,3.0,0.0,3.0,,1,1
3F0B,15.0,3.0,0.0,3.0,,1,1
2F0B,10.0,2.0,0.0,2.0,,1,1
3F0B,15.0,3.0,0.0,2.0,,0,0
2F0B,10.0,2.0,0.0,3.0,,0,0
3F0B,15.0,3.0,0.0,2.0,,0,0
2F0B,10.0,2.0,0.0,2.0,,1,1
1F0B,5.0,1.0,0.0,1.0,,1,1
4F0B,20.0,4.0,0.0,3.0,,0,1
1F0B,5.0,1.0,0.0,1.0,,1,1
4F0B,20.0,4.0,0.0,3.0,,0,1
4F0B,20.0,4.0,0.0,3.0,,0,1
3F0B,15.0,3.0,0.0,3.0,,1,1
4F0B,20.0,4.0,0.0,3.0,,0,1
2F0B,10.0,2.0,0.0,2.0,,1,1
1F0B,5.0,1.0,0.0,1.0,,1,1
3F0B,15.0,3.0,0.0,3.0,,1,1
1F0B,5.0,1.0,0.0,1.0,,1,1
2F0B,10.0,2.0,0.0,2.0,,1,1
