ps,SIFI_A_Acc,SIFI_V_Acc,SIFI_B_A_Acc,SIFI_B_V_Acc,SIFI_B_Acc,pitchSummaryAcc,ravenSummaryAcc,RhythmVAcc,RhythmAAcc,SRTA_median,SRTV_median,SRTB_median,SRTA_mean,SRTV_mean,SRTB_mean,SpeechAAcc,SpeechAVAcc,Noise,localizationDistV,localizationDistA,minRT,meanRT,medianRT,Corsi,lns_length,lns_hit,lns_miss,lns_hitRate,d2_hit,d2_miss,d2_FA,d2_CR,d2_hitRate,d2_faRate,d2_adjHitR,WordMemoryAcc
1,0.8333333333333334,0.6458333333333334,0.6388888888888888,0.4444444444444444,0.35555555555555557,0.6686746987951807,0.5714285714285714,0.375,0.65625,0.5847033054960775,0.251890371000627,0.2483140780095709,0.6401900597324129,0.2777787814125547,0.2911751908356867,0.0,0.3,6.0,,,51.716499999999996,59.0385600000143,59.3918000000715,7.0,6.0,7.0,3.0,0.7,146.0,2.0,6.0,142.0,0.9864864864864865,0.04054054054054054,0.9459459459459459,0.15
2,0.8958333333333334,0.6458333333333334,0.7222222222222222,0.4722222222222222,0.4166666666666667,0.5301204819277109,0.5,0.625,0.46875,0.3361666599521413,0.934081023966428,0.3489210754923988,0.376492959421112,13.681146571763936,0.3775950469018426,0.0,0.2,6.0,,,41.641999999999825,51.3753999999999,47.14400000000023,8.0,5.0,5.0,3.0,0.625,130.0,11.0,3.0,136.0,0.9219858156028369,0.02158273381294964,0.9004030817898873,0.3
3,1.0,0.7916666666666666,0.8333333333333334,0.4444444444444444,0.4888888888888889,0.7228915662650602,0.8571428571428571,0.59375,0.5625,0.2025604365044273,0.2524517489946447,0.202901731012389,0.21094015396665775,0.2657491200312506,0.20888354586786587,0.0,0.5,6.0,,,23.026599999982864,40.03689999999479,33.91319999995176,7.0,4.0,2.0,4.0,0.3333333333333333,131.0,25.0,3.0,153.0,0.8397435897435898,0.019230769230769232,0.8205128205128205,0.5
4,0.9583333333333334,0.8333333333333334,0.9722222222222222,0.75,0.6833333333333333,0.891566265060241,0.7857142857142857,0.8125,0.71875,0.24821845099359052,0.35864243499963777,0.22558549849054535,0.2594116463966202,1.2182766317288043,0.24643534746282963,0.0,0.2,6.0,,,15.543600000008922,17.602380000004175,16.011400000005978,9.0,5.0,6.0,2.0,0.75,166.0,10.0,2.0,174.0,0.9431818181818182,0.011363636363636364,0.9318181818181819,0.5
5,0.9166666666666666,0.8541666666666666,0.8333333333333334,0.75,0.5666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.9583333333333334,0.75,0.9444444444444444,0.6666666666666666,0.6444444444444445,0.7831325301204819,0.5714285714285714,0.71875,0.59375,0.2132865979947382,0.2649590600049123,0.22011803349596443,0.21838866813050112,0.2663654673449165,0.2264561894669896,0.3,0.4,6.0,,,26.4467000000177,32.568099999999866,32.50069999998777,5.0,5.0,5.0,3.0,0.625,169.0,6.0,3.0,174.0,0.9657142857142857,0.01694915254237288,0.9487651331719129,0.15
7,0.9166666666666666,0.8541666666666666,0.7777777777777778,0.7222222222222222,0.5555555555555556,0.6385542168674698,0.5,0.46875,0.4375,0.6134399175061844,0.3811948460061103,0.6978020729875425,0.6863584703338953,0.38853492156680053,0.7492044946634754,0.0,0.2,6.0,,,27.197100000023852,34.871900000000004,30.49509999999404,7.0,6.0,8.0,2.0,0.8,175.0,5.0,0.0,180.0,0.9722222222222222,0.0,0.9722222222222222,0.35
8,0.9166666666666666,0.5833333333333334,0.8333333333333334,0.5,0.49444444444444446,0.7530120481927711,0.6428571428571429,0.71875,0.59375,0.2753197324927896,0.2779218005016446,0.19088792349793943,0.2783282401690182,0.7315001422871968,0.20686673570113875,0.1,0.5,6.0,,,25.229900000005955,32.49695999999642,27.32159999999405,7.0,8.0,11.0,3.0,0.7857142857142857,166.0,3.0,0.0,167.0,0.9822485207100592,0.0,0.9822485207100592,0.3
9,1.0,0.9375,1.0,0.6944444444444444,0.6166666666666667,0.6626506024096386,0.21428571428571427,0.71875,0.53125,0.22384116348985117,0.31924509900272824,0.2143369350087596,0.24270560928354304,0.35270704459787033,0.2268001158314291,0.0,0.7,6.0,,,15.826400000005947,25.14687999999523,22.15290000000597,8.0,7.0,9.0,3.0,0.75,150.0,7.0,2.0,153.0,0.9554140127388535,0.012903225806451613,0.9425107869324019,0.2
10,1.0,0.8958333333333334,1.0,0.8611111111111112,0.8222222222222222,0.7951807228915663,1.0,0.9375,0.6875,,,0.272475370002212,,,0.2918788932408366,,,,,,,,,7.0,9.0,13.0,3.0,0.8125,128.0,15.0,0.0,137.0,0.8951048951048951,0.0,0.8951048951048951,
11,0.9583333333333334,0.7083333333333334,0.9444444444444444,0.6388888888888888,0.55,0.7469879518072289,0.7857142857142857,0.53125,0.53125,0.2033894900232553,0.2739586214884184,0.2256732165114954,0.22256749482717011,0.9085057542698147,0.22157282496530872,,,,,,20.17090000000462,26.727900000006777,26.450099999994563,7.0,8.0,10.0,4.0,0.7142857142857143,159.0,5.0,9.0,155.0,0.9695121951219512,0.054878048780487805,0.9146341463414633,0.25
12,0.7916666666666666,0.7916666666666666,0.9166666666666666,0.75,0.6444444444444445,0.6746987951807228,0.21428571428571427,0.6875,0.84375,0.5749380110064521,0.542958774487488,0.5438615394959925,0.584436943383229,7.017678711101568,0.5895397291324722,0.0,0.4,6.0,,,28.891400000005945,36.43697999999522,37.34689999997616,7.0,6.0,6.0,4.0,0.6,137.0,6.0,7.0,138.0,0.958041958041958,0.04827586206896552,0.9097660959729925,0.2
