"TNJ_Uni_A","TNJ_Uni_V","TNJ_Bi_A","TNJ_Bi_V","TNJ_Bi","Pitch","RhythmV","RhythmA","SRT_A","SRT_V","SRT_B","LocalizationV","LocalizationA","SpeechA","SpeechAV","Corsi","LetterNumberSpan","Cancellation","Raven","WordMemory","Trail","Pcommon","sigmaU","sigmaD","AuditoryScore","VisualScore","PerceptualScore","CognitiveScore"
0,0.0138,3.11e-13,9.34e-06,4.97e-13,9.39e-05,0.000258,0.0014,6.11e-06,6.84e-05,0.000424,0.525,0.227,0.47,0.472,0.198,0.0226,0.124,9.47e-06,0.00225,0.0253,0.0012,0.000155,1.41e-13,1.63e-16,7.73e-07,5.51e-14,8.05e-05
0.0138,0,0.000355,2.87e-11,1.64e-11,0.00208,0.00145,0.00033,0.00203,0.387,0.0324,0.42,0.365,0.0115,0.193,0.106,0.67,0.0337,0.202,0.0158,0.00305,0.564,9.2e-07,0.00173,3.26e-05,1.91e-13,2.19e-09,0.00681
3.11e-13,0.000355,0,8.62e-08,3.21e-20,4.78e-06,5.43e-05,1.92e-05,4.33e-06,0.00128,0.000151,0.227,0.484,0.147,0.85,0.105,0.0251,0.0389,8.67e-07,0.0104,0.145,0.00369,0.00313,4.75e-19,1.87e-18,5.86e-09,1.81e-17,5.1e-05
9.34e-06,2.87e-11,8.62e-08,0,1.16e-21,1.22e-06,0.000312,0.0246,1.13e-06,0.0435,0.0428,0.0319,0.0836,0.143,0.268,0.00415,0.0458,0.000166,5.79e-05,0.00548,0.0732,0.308,3.29e-13,1.5e-05,2.11e-09,9.76e-19,1.75e-15,5.52e-07
4.97e-13,1.64e-11,3.21e-20,1.16e-21,0,5.64e-10,1.76e-07,0.000111,1.54e-08,0.000583,1.91e-05,0.0306,0.0166,0.0853,0.463,0.00171,0.0793,0.000101,2.89e-08,0.000108,0.00463,0.000709,5.67e-12,4.99e-16,3.38e-20,1.92e-21,5.46e-31,9.55e-09
9.39e-05,0.00208,4.78e-06,1.22e-06,5.64e-10,0,6.28e-05,5.29e-05,2.81e-10,0.000915,0.000592,0.198,0.0616,0.424,0.615,0.0027,0.0436,0.00853,6.87e-07,0.00339,0.0032,0.0508,0.000305,0.00016,2.71e-18,3.52e-08,3.64e-15,7.39e-06
0.000258,0.00145,5.43e-05,0.000312,1.76e-07,6.28e-05,0,0.00107,0.00112,0.0151,0.000743,0.049,0.00119,0.323,0.564,0.00063,0.351,0.0176,7.24e-10,0.0124,0.0299,0.0364,0.000513,6.17e-06,2.42e-08,2.65e-14,2.9e-12,2.14e-06
0.0014,0.00033,1.92e-05,0.0246,0.000111,5.29e-05,0.00107,0,0.00453,0.0321,0.0283,0.23,0.124,0.456,0.809,0.0866,0.536,0.212,0.011,0.00581,0.0788,0.22,0.148,0.000154,2.91e-12,5.24e-05,5.86e-09,0.00692
6.11e-06,0.00203,4.33e-06,1.13e-06,1.54e-08,2.81e-10,0.00112,0.00453,0,7.33e-06,2.04e-10,0.106,0.0281,0.0231,0.919,0.219,0.0399,0.0293,8.66e-05,0.00884,0.175,0.0518,0.000566,5.67e-05,6.3e-18,7.57e-09,5.72e-17,0.000397
6.84e-05,0.387,0.00128,0.0435,0.000583,0.000915,0.0151,0.0321,7.33e-06,0,2.52e-06,0.481,0.404,0.15,0.35,0.897,0.0385,0.418,0.00516,0.347,0.303,0.000722,0.428,7.02e-05,7.4e-06,7.58e-08,5.44e-08,0.0234
