"TNJ_Uni_A","TNJ_Uni_V","TNJ_Bi_A","TNJ_Bi_V","TNJ_Bi","Pitch","RhythmV","RhythmA","SRT_A","SRT_V","SRT_B","LocalizationV","LocalizationA","SpeechA","SpeechAV","Corsi","LetterNumberSpan","Cancellation","Raven","WordMemory","Trail","Pcommon","sigmaU","sigmaD","AuditoryScore","VisualScore","PerceptualScore","CognitiveScore"
1,0.257,0.672,0.442,0.662,0.394,0.37,0.326,0.452,0.401,0.358,0.067,0.129,-0.077,0.075,0.135,0.242,0.162,0.441,0.315,0.232,-0.331,-0.386,-0.682,0.727,0.486,0.682,0.397
0.257,1,0.366,0.625,0.63,0.317,0.327,0.366,0.321,0.091,0.224,0.086,0.097,-0.268,0.137,0.169,0.046,0.223,0.134,0.252,0.306,-0.061,-0.491,-0.326,0.419,0.673,0.574,0.28
0.672,0.366,1,0.523,0.783,0.457,0.408,0.43,0.463,0.331,0.387,0.129,0.075,-0.156,0.02,0.17,0.239,0.217,0.487,0.267,0.153,-0.3,-0.306,-0.77,0.759,0.561,0.744,0.409
0.442,0.625,0.523,1,0.795,0.476,0.364,0.232,0.482,0.209,0.211,0.224,0.182,-0.155,0.115,0.293,0.211,0.383,0.402,0.286,0.186,-0.106,-0.669,-0.437,0.569,0.758,0.707,0.49
0.662,0.63,0.783,0.795,1,0.586,0.508,0.388,0.548,0.348,0.428,0.226,0.25,-0.182,0.077,0.319,0.186,0.394,0.534,0.391,0.29,-0.343,-0.641,-0.724,0.777,0.792,0.877,0.55
0.394,0.317,0.457,0.476,0.586,1,0.401,0.404,0.599,0.336,0.35,0.135,0.197,-0.085,-0.053,0.306,0.213,0.273,0.486,0.301,0.301,-0.202,-0.368,-0.386,0.751,0.532,0.701,0.444
0.37,0.327,0.408,0.364,0.508,0.401,1,0.332,0.334,0.25,0.344,0.206,0.335,-0.105,0.06,0.346,0.1,0.247,0.583,0.258,0.224,-0.216,-0.355,-0.454,0.537,0.685,0.643,0.467
0.326,0.366,0.43,0.232,0.388,0.404,0.332,1,0.293,0.221,0.227,0.126,0.163,-0.08,0.025,0.178,0.066,0.131,0.261,0.284,0.182,-0.128,-0.152,-0.387,0.643,0.405,0.556,0.277
0.452,0.321,0.463,0.482,0.548,0.599,0.334,0.293,1,0.449,0.603,0.171,0.233,-0.242,0.011,0.129,0.219,0.23,0.398,0.273,0.143,-0.203,-0.356,-0.413,0.751,0.558,0.737,0.362
0.401,0.091,0.331,0.209,0.348,0.336,0.25,0.221,0.449,1,0.466,0.074,0.088,-0.153,0.098,0.014,0.219,0.085,0.286,0.099,0.107,-0.343,-0.084,-0.404,0.444,0.52,0.525,0.234
0.358,0.224,0.387,0.211,0.428,0.35,0.344,0.227,0.603,0.466,1,0.083,0.074,-0.136,0.094,-0.019,0.087,0.14,0.377,0.195,0.203,-0.262,-0.191,-0.445,0.493,0.42,0.59,0.254
0.067,0.086,0.129,0.224,0.226,0.135,0.206,0.126,0.171,0.074,0.083,1,0.33,-0.133,-0.038,0.158,-0.068,0.233,0.286,0.253,0.052,-0.04,-0.151,0.08,0.234,0.511,0.352,0.245
0.129,0.097,0.075,0.182,0.25,0.197,0.335,0.163,0.233,0.088,0.074,0.33,1,0.053,-0.17,0.14,0.114,0.264,0.248,0.112,0.126,-0.109,-0.203,-0.076,0.444,0.329,0.392,0.205
-0.077,-0.268,-0.156,-0.155,-0.182,-0.085,-0.105,-0.08,-0.242,-0.153,-0.136,-0.133,0.053,1,0.01,-0.139,0.073,-0.072,-0.079,0.015,0.145,-0.079,0.107,0.128,-0.147,-0.258,-0.213,-0.056
0.075,0.137,0.02,0.115,0.077,-0.053,0.06,0.025,0.011,0.098,0.094,-0.038,-0.17,0.01,1,-0.003,0.048,0.125,-0.01,0.176,0.148,-0.013,-0.161,-0.026,-0.022,0.119,0.056,0.393
0.135,0.169,0.17,0.293,0.319,0.306,0.346,0.178,0.129,0.014,-0.019,0.158,0.14,-0.139,-0.003,1,0.178,0.263,0.419,0.28,0.243,-0.161,-0.277,-0.189,0.258,0.311,0.289,0.623
0.242,0.046,0.239,0.211,0.186,0.213,0.1,0.066,0.219,0.219,0.087,-0.068,0.114,0.073,0.048,0.178,1,0.057,0.334,0.09,0.137,-0.055,-0.124,-0.101,0.269,0.165,0.233,0.502
0.162,0.223,0.217,0.383,0.394,0.273,0.247,0.131,0.23,0.085,0.14,0.233,0.264,-0.072,0.125,0.263,0.057,1,0.336,0.166,0.134,-0.104,-0.246,-0.142,0.317,0.378,0.375,0.583
0.441,0.134,0.487,0.402,0.534,0.486,0.583,0.261,0.398,0.286,0.377,0.286,0.248,-0.079,-0.01,0.419,0.334,0.336,1,0.381,0.311,-0.275,-0.349,-0.401,0.572,0.54,0.611,0.72
0.315,0.252,0.267,0.286,0.391,0.301,0.258,0.284,0.273,0.099,0.195,0.253,0.112,0.015,0.176,0.28,0.09,0.166,0.381,1,0.243,-0.218,-0.286,-0.315,0.384,0.366,0.409,0.617
0.232,0.306,0.153,0.186,0.29,0.301,0.224,0.182,0.143,0.107,0.203,0.052,0.126,0.145,0.148,0.243,0.137,0.134,0.311,0.243,1,-0.21,-0.193,-0.169,0.28,0.279,0.311,0.355
-0.331,-0.061,-0.3,-0.106,-0.343,-0.202,-0.216,-0.128,-0.203,-0.343,-0.262,-0.04,-0.109,-0.079,-0.013,-0.161,-0.055,-0.104,-0.275,-0.218,-0.21,1,-0.052,0.224,-0.313,-0.245,-0.328,-0.243
-0.386,-0.491,-0.306,-0.669,-0.641,-0.368,-0.355,-0.152,-0.356,-0.084,-0.191,-0.151,-0.203,0.107,-0.161,-0.277,-0.124,-0.246,-0.349,-0.286,-0.193,-0.052,1,0.392,-0.44,-0.552,-0.546,-0.423
-0.682,-0.326,-0.77,-0.437,-0.724,-0.386,-0.454,-0.387,-0.413,-0.404,-0.445,0.08,-0.076,0.128,-0.026,-0.189,-0.101,-0.142,-0.401,-0.315,-0.169,0.224,0.392,1,-0.651,-0.493,-0.659,-0.346
0.727,0.419,0.759,0.569,0.777,0.751,0.537,0.643,0.751,0.444,0.493,0.234,0.444,-0.147,-0.022,0.258,0.269,0.317,0.572,0.384,0.28,-0.313,-0.44,-0.651,1,0.703,0.934,0.515
0.486,0.673,0.561,0.758,0.792,0.532,0.685,0.405,0.558,0.52,0.42,0.511,0.329,-0.258,0.119,0.311,0.165,0.378,0.54,0.366,0.279,-0.245,-0.552,-0.493,0.703,1,0.894,0.546
0.682,0.574,0.744,0.707,0.877,0.701,0.643,0.556,0.737,0.525,0.59,0.352,0.392,-0.213,0.056,0.289,0.233,0.375,0.611,0.409,0.311,-0.328,-0.546,-0.659,0.934,0.894,1,0.572
0.397,0.28,0.409,0.49,0.55,0.444,0.467,0.277,0.362,0.234,0.254,0.245,0.205,-0.056,0.393,0.623,0.502,0.583,0.72,0.617,0.355,-0.243,-0.423,-0.346,0.515,0.546,0.572,1
