"","TNJ_Uni_A","TNJ_Uni_V","TNJ_Bi_A","TNJ_Bi_V","TNJ_Bi","Pitch","RhythmV","RhythmA","SRT_A","SRT_V","SRT_B","LocalizationV","LocalizationA","SpeechA","SpeechAV","Corsi","LetterNumberSpan","Cancellation","Raven","WordMemory","Trail","Pcommon","sigmaU","sigmaD","AuditoryScore","VisualScore","PerceptualScore","CognitiveScore"
"23",0.485014066668551,0.423549945516771,0.367419772403405,0.132518753350106,0.081096866951355,0.047681167606338,-0.80427433507033,-0.171460303410076,0.411524485628925,-2.25484807130554,-0.683462905245527,-1.89893985941355,-1.47370060213251,-0.462400058189674,-0.9308381316476,-0.920318910522853,0.399197597693124,-2.73888485565983,-1.31034864937903,-0.705376083872783,-0.432377636080875,0.764685,0.759047,0.306578,-0.333521413235368,-4.40199356692255,-5.33788101845209,-6.20656903338897
"24",0.485014066668551,0.92634471954958,0.367419772403405,0.330245147237568,1.02277460437474,0.186300644564964,0.90286280194992,-0.926957265310723,0.00391229650202816,0.798288674004241,0.347613797377291,0.0749091116808881,1.43812895620941,NA,-0.9308381316476,-0.920318910522853,-0.0512761472656814,1.12751731594212,0.642192006498837,-1.56476441313264,0.111642156026595,0.133354,0.611232,0.361552,1.55381847103764,3.0326504544222,5.95685732721187,-1.69748828012781
"28",0.201326593711475,-0.0792448285160374,0.134298261637106,-1.05383960997466,-0.72605547941155,0.140094152245421,-1.04815106893037,0.83586897912412,0.215231015690792,0.408065035145956,0.101968377688587,-0.735960310704493,0.347227793836423,-0.462400058189674,-0.310279377215867,-0.920318910522853,-0.0512761472656814,-2.5198542563789,-0.659501764086406,-1.56476441313264,0.385558761061323,0.38811,1.156864,0.429906,1.87404679624534,-2.50913078297961,-1.25917108845723,-6.02599486860234
"29",NA,-0.0792448285160374,-1.73067382449329,0.132518753350106,-1.129631652593,-0.784035694145416,-0.560397601210295,-2.43795118911202,NA,-2.38780500128948,NA,0.86332039742743,-0.047321873579414,-0.462400058189674,0.310279377215866,-1.8709780049091,1.450303002597,0.187574782326295,-0.0086548787937846,0.15401224538707,-0.572860356840407,0.747312,0.929395,0.922089,-4.99998258133014,-2.03160828023828,-8.16122251416142,0.222536523823354
"35",0.768701539625626,1.17774210656598,0.600541283169704,0.725697935012492,0.170780460991677,0.60215907544084,0.658986068089884,1.59136594102477,-0.424412378887002,-0.462342303132454,-0.957042418096243,0.0749091116808963,2.29034692711583,NA,-0.310279377215867,0.0303401838633912,0.399197597693124,0.814657055930896,0.967615449145148,0.440475021807022,0.437067736691277,0.732924,0.757748,0.37306,5.42870238748976,2.1749929182168,6.817433348602,2.34200593122371
"39",-1.78448571698806,-2.09042392464727,-2.19691684602589,-1.64701879163705,-1.66773321683494,-1.52333957125809,-1.53590453665044,-0.675124944677174,-3.40356696370701,-0.972486613693991,-2.41909535277091,-0.708288616079621,-0.267091720906591,2.13860026912724,-0.310279377215867,-1.8709780049091,-0.651907807210756,NA,-1.31034864937903,-1.56476441313264,-1.50877663239827,0.472003,NA,0.692609,-9.8505257635628,-6.95412248270837,-20.891476815877,-5.70827825184738
"42",-0.0823608792456019,-0.330642215532442,0.600541283169704,0.330245147237568,0.215622258011839,-1.19989412502129,0.658986068089884,-0.675124944677174,-0.493460769683298,-2.14196511807352,0.359518061841171,-0.193531040539827,-0.702625726962687,-0.462400058189674,-0.310279377215867,-0.920318910522853,0.749566065994417,0.787932204299618,-0.0086548787937846,-0.705376083872783,-0.265181864497508,0.765263,0.793088,0.338434,-2.55292516242035,-1.67690715881834,-3.65469200138568,-0.407130980111252
"44",-1.50079824403098,-1.33623176359806,-2.66315986755849,-1.84474518552451,-1.93678399895591,-1.10748114038221,-0.316520867350259,-0.675124944677174,-2.69507628716523,-2.11800905847821,-1.33584032585035,-0.605960797077797,-0.788472226934941,2.13860026912724,0.310279377215866,0.0303401838633912,-1.49279213113386,-1.11655090942438,-0.659501764086406,1.01340057464692,0.79110386183456,0.993355,0.827432,0.513694,-9.43011271074902,-6.22146767202884,-18.9242047075841,-1.91482466891846
"45",-0.93342329811683,1.68053688059879,-0.798187781428091,0.923424328899954,0.215622258011839,0.140094152245421,0.415109334229848,-0.423292624043625,0.493312775792324,0.0582106574604174,0.402470443611587,-0.479522485864073,-1.02493317186854,-0.462400058189674,-0.310279377215867,0.980999278249635,0.84967134265193,0.307313658730943,0.316768563852527,1.29986335106688,-0.295437287902542,0.009754,0.72478,NA,-2.54642994741934,2.59775871532494,0.669421469529023,3.44433681733604
"48",0.485014066668551,-0.0792448285160374,1.0667843047023,0.132518753350106,0.977932807354581,-0.229557786310913,0.90286280194992,-0.675124944677174,-0.0995752581041369,0.27390220206676,0.0799692851531279,0.278051608115681,1.81205566553208,-0.462400058189674,0.930838131647599,0.0303401838633912,-0.651907807210756,0.774158822149083,0.967615449145148,0.726937798226973,-0.765040225086175,0.369525,0.521583,0.100954,2.35959604781071,1.50809053696643,4.92558867728485,2.77798257782144
