File Name,pcommon,sigmaU,sigmaD,sigmap,mup,Error,BIC
Processed_1_SIFI_BisenBlock_clean,0.761904,0.821244,0.357401,0.380086,1.295443,131.179099,288.3229823
Processed_2_SIFI_BisenBlock_clean,0.983249,0.850303,0.420078,1.026392,1.901407,249.2980349,524.560854
Processed_3_SIFI_BisenBlock_clean,0.372952,1.207668,0.365347,1.694331,0.0334,207.9770457,441.9188756
Processed_4_SIFI_BisenBlock_clean,0.213662,0.650923,0.251544,0.932732,0.483176,121.7187475,269.4022792
Processed_5_SIFI_BisenBlock_clean,0.895229,0.789274,0.372433,2.151342,2.621033,172.5202907,371.0053656
Processed_6_SIFI_BisenBlock_clean,0.377112,0.809821,0.261377,0.634671,1.737665,106.6161406,239.1970654
Processed_7_SIFI_BisenBlock_clean,0.770427,0.773696,0.530005,2.321815,3.48851,207.0040763,439.9729368
Processed_8_SIFI_BisenBlock_clean,0.747921,0.85348,0.324342,0.962306,0.835053,167.1269019,360.218588
Processed_9_SIFI_BisenBlock_clean,0.59829,0.883792,0.21487,1.203782,1.053032,106.646234,239.2572523
Processed_10_SIFI_BisenBlock_clean,0.130245,0.442372,0.179844,0.869227,0.972383,72.16209636,170.288977
Processed_11_SIFI_BisenBlock_clean,0.389653,0.875592,0.36304,1.50994,0.467529,201.3459908,428.6567658
Processed_12_SIFI_BisenBlock_clean,0.542689,0.529308,0.363466,1.044451,0.608105,151.9803317,329.9254476
Processed_13_SIFI_BisenBlock_clean,0.195912,0.72657,0.259051,1.182028,0.037805,125.8326492,277.6300826
Processed_14_SIFI_BisenBlock_clean,0.155178,1.007227,0.321724,1.305476,0.006941,200.752083,427.4689503
Processed_15_SIFI_BisenBlock_clean,0.498863,1.902843,0.303739,1.680263,0.145361,241.9201476,509.8050795
Processed_16_SIFI_BisenBlock_clean,0.036363,0.827995,0.363327,1.568551,0.636926,186.0354657,398.0357157
Processed_17_SIFI_BisenBlock_clean,0.145664,0.574114,0.303309,0.973546,0.909291,131.5076835,288.9801512
Processed_18_SIFI_BisenBlock_clean,0.21639,0.707792,0.194183,0.925415,0.820038,106.5758131,239.1164104
Processed_19_SIFI_BisenBlock_clean,0.15843,1.001638,0.302819,1.062886,0.398793,120.8606836,267.6861515
Processed_20_SIFI_BisenBlock_clean,0.767364,0.838254,0.303378,1.054502,1.057938,135.7784634,297.521711
Processed_22_SIFI_BisenBlock_clean,0.179563,0.674476,0.281036,1.349328,0.183841,166.7054914,359.3757671
Processed_23_SIFI_BisenBlock_clean,0.651679,0.667486,0.362126,2.131404,0.044316,179.0769806,384.1187455
Processed_24_SIFI_BisenBlock_clean,0.764685,0.759047,0.306578,1.031833,0.430454,160.2564488,346.4776819
Processed_25_SIFI_BisenBlock_clean,0.133354,0.611232,0.361552,2.299994,0.279302,153.9174054,333.799595
Processed_26_SIFI_BisenBlock_clean,0.493942,1.013785,0.244173,1.611623,0.125038,175.5047912,376.9743666
Processed_27_SIFI_BisenBlock_clean,0.004596,2.029081,0.361616,1.178672,0.829656,140.0785806,306.1219454
Processed_28_SIFI_BisenBlock_clean,0.389329,0.725593,0.526199,1.624452,2.165326,198.7774515,423.5196872
Processed_29_SIFI_BisenBlock_clean,0.38811,1.156864,0.429906,0.967859,0.857752,228.5268086,483.0184014
Processed_30_SIFI_BisenBlock_clean,0.747312,0.929395,0.922089,2.59086,3.458411,307.016373,639.9975302
Processed_32_SIFI_BisenBlock_clean,0.877277,0.90097,0.849808,1.922851,0.868499,453.1025934,932.1699711
Processed_33_SIFI_BisenBlock_clean,0.938379,1.029616,0.533706,1.923428,2.591684,277.2995103,580.5638049
Processed_34_SIFI_BisenBlock_clean,0.618181,0.72322,0.403531,1.184313,1.78892,160.4091126,346.7830094
Processed_35_SIFI_BisenBlock_clean,0.054246,1.213962,0.391667,1.204466,0.378065,161.5071374,348.979059
Processed_36_SIFI_BisenBlock_clean,0.954699,0.66947,0.397823,2.001245,1.645189,184.2461142,394.4570127
Processed_37_SIFI_BisenBlock_clean,0.732924,0.757748,0.37306,1.049117,0.834219,152.0469266,330.0586374
Processed_38_SIFI_BisenBlock_clean,0.521975,1.206619,0.466821,1.040222,1.718065,194.6122334,415.189251
Processed_39_SIFI_BisenBlock_clean,0.386842,0.501217,0.228493,0.752253,1.114981,131.9458296,289.8564435
Processed_40_SIFI_BisenBlock_clean,0.332781,0.928263,0.502133,1.908779,0.02896,245.245172,516.4551282
Processed_41_SIFI_BisenBlock_clean,0.472003,2.603134,0.692609,2.329145,3.471835,395.3334309,816.631646
Processed_42_SIFI_BisenBlock_clean,0.96662,0.761893,0.406608,2.124969,1.187468,176.5258973,379.0165788
Processed_43_SIFI_BisenBlock_clean,0.694622,1.258816,0.482424,2.718449,2.186368,212.8649196,451.6946234
Processed_44_SIFI_BisenBlock_clean,0.765263,0.793088,0.338434,1.846049,0.034764,188.3987394,402.762263
Processed_46_SIFI_BisenBlock_clean,0.763987,0.657725,0.291197,1.046714,2.700667,115.6518628,257.2685099
Processed_47_SIFI_BisenBlock_clean,0.993355,0.827432,0.513694,2.464322,2.643179,390.8266821,807.6181484
Processed_48_SIFI_BisenBlock_clean,0.009754,0.72478,1.13244,2.966119,1.360895,219.834025,465.6328342
Processed_49_SIFI_BisenBlock_clean,0.074913,0.59799,0.233576,0.937716,0.724935,111.0025019,247.969788
Processed_50_SIFI_BisenBlock_clean,0.916393,1.327557,0.402815,2.332723,2.051341,218.4381795,462.8411432
Processed_51_SIFI_BisenBlock_clean,0.369525,0.521583,0.100954,0.583704,1.064682,73.10316488,172.171114
Processed_52_SIFI_BisenBlock_clean,0.979494,0.669874,0.526879,2.13033,3.472894,405.4253537,836.8154916
Processed_53_SIFI_BisenBlock_clean,0.430069,0.894072,0.441893,1.859647,0.027322,224.0395729,474.04393
Processed_54_SIFI_BisenBlock_clean,0.480438,0.619979,0.460922,0.965621,1.600372,188.5553437,403.0754718
Processed_55_SIFI_BisenBlock_clean,0.629974,0.995756,0.517223,2.356192,2.279701,212.1441171,450.2530185
Processed_56_SIFI_BisenBlock_clean,0.81489,0.673985,0.416343,1.389358,1.429307,224.3463872,474.6575586
Processed_57_SIFI_BisenBlock_clean,0.809387,0.529537,0.339841,0.916866,1.286129,141.9957808,309.9563459
Processed_58_SIFI_BisenBlock_clean,0.771765,0.68452,0.359974,1.824733,1.333393,171.6624274,369.2896391
Processed_59_SIFI_BisenBlock_clean,0.503027,1.105287,0.505518,1.387664,0.451048,240.9898986,507.9445814
Processed_60_SIFI_BisenBlock_clean,0.561046,1.210695,0.341314,0.76321,0.991246,187.1998449,400.364474
Processed_61_SIFI_BisenBlock_clean,0.072838,0.585553,0.304795,0.795544,0.532796,153.2899431,332.5446704
Processed_62_SIFI_BisenBlock_clean,0.490377,1.207997,0.606795,2.949946,1.291943,229.7998006,485.5643856
Processed_63_SIFI_BisenBlock_clean,0.378265,1.264681,0.344409,1.590488,1.037382,252.7406121,531.4460085
Processed_64_SIFI_BisenBlock_clean,0.086169,0.528254,0.207324,0.816908,0.991358,95.47951753,216.9238193
Processed_65_SIFI_BisenBlock_clean,0.672335,0.391247,0.157074,0.684322,0.474492,75.53196245,177.0287092
Processed_66_SIFI_BisenBlock_clean,0.0238,0.849808,0.311368,0.777638,1.253865,135.3427359,296.6502561
Processed_67_SIFI_BisenBlock_clean,0.713813,0.95943,0.485572,2.801923,2.16686,226.4581437,478.8810717
Processed_68_SIFI_BisenBlock_clean,0.858965,0.576571,0.325239,1.517123,1.080228,129.3498102,284.6644047
Processed_69_SIFI_BisenBlock_clean,0.764007,0.699098,0.309294,1.173484,1.892578,168.2670783,362.4989408
Processed_70_SIFI_BisenBlock_clean,0.462863,2.104554,0.446055,1.348491,0.78757,221.2794379,468.52366
Processed_71_SIFI_BisenBlock_clean,0.825319,0.706245,0.399431,0.888442,1.024144,190.3628156,406.6904154
Processed_72_SIFI_BisenBlock_clean,0.436751,0.792604,0.354295,2.275416,0.39057,187.2757018,400.5161879
Processed_73_SIFI_BisenBlock_clean,0.760596,0.777651,0.476443,1.829441,0.330037,211.5844058,449.1335958
Processed_74_SIFI_BisenBlock_clean,0.235647,0.803137,0.362232,1.311323,0.017883,155.2856795,336.5361432
Processed_75_SIFI_BisenBlock_clean,0.639198,0.597026,0.260915,1.181957,0.378326,127.3562432,280.6772706
Processed_76_SIFI_BisenBlock_clean,0.551166,1.298692,0.731851,1.543509,1.273007,281.617184,589.1991523
Processed_77_SIFI_BisenBlock_clean,0.947468,1.507323,0.70135,2.111751,3.106507,241.4801283,508.9250409
Processed_78_SIFI_BisenBlock_clean,0.275047,0.784126,0.681897,1.297407,3.312288,203.6423033,433.2493909
Processed_79_SIFI_BisenBlock_clean,0.6044,0.791419,0.359145,2.175987,2.211177,178.4752412,382.9152668
Processed_80_SIFI_BisenBlock_clean,0.604589,0.69135,0.261258,1.18646,1.3561,156.0378403,338.0404648
Processed_81_SIFI_BisenBlock_clean,0.333953,1.422114,0.383039,2.267928,0.93787,222.7307118,471.4262079
Processed_82_SIFI_BisenBlock_clean,0.432903,0.445032,0.244649,0.865218,0.904436,96.20052081,218.3658259
Processed_83_SIFI_BisenBlock_clean,0.337909,0.899559,0.269663,0.672824,1.292931,118.9061264,263.777037
Processed_84_SIFI_BisenBlock_clean,0.040963,0.370992,0.216432,0.429503,1.433197,89.42426047,204.8133052
