targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,space,1.729233267949894,15.073569410014898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,001,2023_Sep_27_1334,Localization_IfspeechCrashes,2021.2.3,60.06094561307675,
,,,,,,,,,,,,,,,,,,,,,,,,,15.073569410014898,None,16.924003611085936,None,space,2.231681191828102,17.10718798614107,None,,,,,,,,,,,,,,,,,,,,,,,0,001,2023_Sep_27_1334,Localization_IfspeechCrashes,2021.2.3,60.06094561307675,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.390335395000875,None,space,0.46971130394376814,19.55712277512066,None,,,,,,,,,,,,,,,,,0,001,2023_Sep_27_1334,Localization_IfspeechCrashes,2021.2.3,60.06094561307675,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,8.35716448794119,20.17364858998917,None,,,,,,,,,,,,,0,001,2023_Sep_27_1334,Localization_IfspeechCrashes,2021.2.3,60.06094561307675,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,20.17364858998917,None,28.573538271011785,None,29.68996984604746,None,30.607120981207117,None,1.4095238095238094,6.920876495074481,30.607120981207117,None,0,001,2023_Sep_27_1334,Localization_IfspeechCrashes,2021.2.3,60.06094561307675,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,0,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,37.523832022212446,None,38.62376237218268,None,39.55683503416367,None,1.6746031746031746,1.3490666400175542,39.55683503416367,None,0,001,2023_Sep_27_1334,Localization_IfspeechCrashes,2021.2.3,60.06094561307675,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,40.90708412718959,None,42.00682168803178,None,42.9402002110146,None,1.2920634920634921,0.8662778569851071,42.9402002110146,None,0,001,2023_Sep_27_1334,Localization_IfspeechCrashes,2021.2.3,60.06094561307675,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,43.80701382900588,None,44.90673945704475,None,45.84017287916504,None,1.2497354497354498,0.7824134891852736,45.84017287916504,None,0,001,2023_Sep_27_1334,Localization_IfspeechCrashes,2021.2.3,60.06094561307675,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,0,4,4,5,,,,,,,,,,,,,,,,,,,,,,,,,46.62355779111385,None,47.72362394211814,None,48.65649545402266,None,1.6058201058201058,1.1992596769705415,48.65649545402266,None,0,001,2023_Sep_27_1334,Localization_IfspeechCrashes,2021.2.3,60.06094561307675,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,49.857150024035946,None,50.95694817509502,None,51.89047569502145,None,1.6846560846560847,1.6829164028167725,51.89047569502145,None,0,001,2023_Sep_27_1334,Localization_IfspeechCrashes,2021.2.3,60.06094561307675,
