targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,exitTxt.started,exitTxt.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,space,14.908022808000169,11.119901880999805,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.119901880999805,None,26.153522300000077,None,space,5.083361732999947,26.336577426000076,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.46986735199971,None,space,9.00726093000003,31.636718928999926,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,16.481271692000064,40.78666487800001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,40.78666487800001,None,57.30316525999979,None,58.40549801099996,None,59.336332373000005,None,1.2735449735449735,2.504647563999697,59.336332373000005,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,0,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.83682167200004,None,62.93647838200013,None,63.86988792300008,None,1.5042328042328044,3.8489386189999095,63.86988792300008,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.71999639299975,None,68.8197729389999,None,69.75304584900005,None,1.312169312169312,0.8501448840002013,69.75304584900005,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,0,3,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.60356373800005,None,71.70335196199994,None,72.63649264600008,None,1.171957671957672,1.0331519950000256,72.63649264600008,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.67037885399986,None,74.76992417099973,None,75.70314975199972,None,1.5142857142857142,1.4155672210004013,75.70314975199972,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,0,5,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.12008233799997,None,78.21991717399987,None,79.15318875000003,None,1.2195767195767195,0.7837545110000974,79.15318875000003,None,,,,,,,,,,,,,,,,,110,001,2023_May_31_1319,Localization_IfspeechCrashes,2021.2.3,60.0380684580971,
