filePaths,practFiles,StimulusCode,stim1,stim2,stim3,stim4,stim5,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,audFile_i2,audStart_i2,similCatp,setVol,corrMatchAnswer,whatCondIs,trialTypeName,rhythm,stim6,stim6Start,stim6End,stim6_i2,stim6Start_i2,stim6End_i2,similCat_i2,condFilePath,sensoryCond,stimStart,overarchingRhythmOrder.thisRepN,overarchingRhythmOrder.thisTrialN,overarchingRhythmOrder.thisN,overarchingRhythmOrder.thisIndex,rhythmPractTrials.thisRepN,rhythmPractTrials.thisTrialN,rhythmPractTrials.thisN,rhythmPractTrials.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions_2.started,variableInstructions_2.stopped,goToBlockKey_2.keys,goToBlockKey_2.rt,goToBlockKey_2.started,goToBlockKey_2.stopped,text_9.started,text_9.stopped,preFix_2.started,preFix_2.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,holdFix_2.started,holdFix_2.stopped,cir1_2.started,cir1_2.stopped,cir2_2.started,cir2_2.stopped,cir3_2.started,cir3_2.stopped,cir4_2.started,cir4_2.stopped,cir5_2.started,cir5_2.stopped,audioTrialSound_2.started,audioTrialSound_2.stopped,text.started,text.stopped,holdFix_i2_2.started,holdFix_i2_2.stopped,cir1_i2_2.started,cir1_i2_2.stopped,cir2_i2_2.started,cir2_i2_2.stopped,cir3_i2_2.started,cir3_i2_2.stopped,cir4_i2_2.started,cir4_i2_2.stopped,cir5_i2_2.started,cir5_i2_2.stopped,audioTrialSound_i2_2.started,audioTrialSound_i2_2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,text_5.started,text_5.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.rt,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.532300798920915,None,space,43.02820802293718,14.70867928606458,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,1,2023_Jul_10_1442,Cognition2_FullCode1,2021.2.3,102.10834017026585,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/117_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,57.88085620896891,None,space,22.203986859880388,57.980920363916084,None,84.31844191905111,None,84.51840477087535,None,80.31718377489597,84.31844191905111,80.31718377489597,84.31844191905111,85.528648477979,None,85.6388124669902,85.9387853029184,86.08894669194706,86.13884386885911,86.28887869999744,86.58905967697501,86.73919459804893,86.78906652191654,86.9391576279886,86.98917416203767,85.53865098438692,None,87.3892274799291,None,88.69953676103614,None,88.80955525906757,89.1097334609367,89.25967680593021,89.30971401091665,89.45987192494795,89.7597939579282,89.90988467494026,89.95996408187784,90.11002022586763,90.16012845886871,88.70953926744406,None,1,7.388632088899612,91.06027307803743,None,91.06027307803743,None,98.56237858906388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,1,2023_Jul_10_1442,Cognition2_FullCode1,2021.2.3,102.10834017026585,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/117_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P2,2,1,1,2,1,11,41,56,61,76,81,96,126,141,146,2_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,104.1639368829783,None,104.36407256685197,None,100.16291313292459,104.1639368829783,100.16291313292459,104.1639368829783,105.37435126397759,None,105.484383641975,105.78446723497473,105.93456557090394,105.9844618558418,106.13466180185787,106.18458221503533,106.33463581604883,106.63462199503556,106.78492162306793,106.83489534188993,105.3843537703855,None,107.23490702593699,None,108.53557532001287,None,108.64535640692338,108.9454202959314,109.09538965206593,109.14544945000671,109.29552968288772,109.5956377510447,109.74559804284945,109.79559236299247,109.94575780397281,109.9955975539051,108.54557782642078,None,2,1.9528298780787736,110.89611866301857,None,110.89611866301857,None,112.95647829002701,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,1,2023_Jul_10_1442,Cognition2_FullCode1,2021.2.3,102.10834017026585,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/117_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,118.54810612089932,None,118.7481873689685,None,114.54705625795759,118.54810612089932,114.54705625795759,118.54810612089932,119.75840100087225,None,119.86860133893788,119.91845401702449,120.06852781400084,120.3686244818382,120.51872555096634,120.56866481690668,120.71877322997898,121.01876427093521,121.1689488789998,121.2189079860691,119.76840350728017,None,121.61910953302868,None,122.92931446898729,None,123.03937979694456,123.08941360306926,123.23953125695698,123.53955271700397,123.68955237604678,123.739589700941,123.88956169295125,124.18972686002962,124.33974096784368,124.38974233600311,122.9393169753952,None,1,4.030922268982977,125.2900400380604,None,125.2900400380604,None,129.42126678605564,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,1,2023_Jul_10_1442,Cognition2_FullCode1,2021.2.3,102.10834017026585,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/117_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P4,1,2,1,1,2,11,16,31,61,76,81,96,101,116,146,4_practAudFile.wav,1,pc2,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,135.01272832788527,None,135.21304098889232,None,131.0116892058868,135.01272832788527,131.0116892058868,135.01272832788527,136.2231136369519,None,136.3332210420631,136.3831628439948,136.53326965891756,136.83336908183992,136.98348835902289,137.03343978803605,137.18354462785646,137.48349390598014,137.63368154293858,137.68349490198307,136.2331161433598,None,138.08365998906083,None,139.39410591102205,None,139.50415183790028,139.55409370386042,139.70417936495505,140.0042923919391,140.15430637798272,140.20427167601883,140.35431182594039,140.40446614287794,140.55434345104732,140.85445925104432,139.40410841742997,None,2,2.078261097893119,141.75467716599815,None,141.75467716599815,None,143.93547746399418,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,1,2023_Jul_10_1442,Cognition2_FullCode1,2021.2.3,102.10834017026585,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/117_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,4,27,1,1,2,2,1,11,16,28,33,45,75,87,117,129,134,3_audFile.wav,10,,0,2,,,29,2,146,176,2,146,176,4,,,,0,0,0,0,,,,,0,0,0,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165.22150997491553,None,,,,,,,,,,,,,,,1,0.5643857137765735,168.89252706500702,None,168.89252706500702,None,,,145.54585879389197,None,space,16.466987838037312,145.64591448404826,None,162.17056493787095,None,162.3506228220649,None,163.3607670860365,None,163.47100432706065,163.5210696249269,163.64106486784294,163.69102149899118,163.81109762494452,164.1112014038954,164.2311718100682,164.2812652499415,164.4012170098722,164.7013259269297,164.8213858779054,165.1213878558483,163.46086599139963,None,166.53180819097906,None,166.64193743094802,166.69187611388043,166.81195931485854,166.8619684788864,166.98199337883852,167.2820615458768,167.40211993386038,167.70220361906104,167.82219904987141,167.87218324304558,167.99228256987408,168.29223741800524,166.63187065229286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,1,2023_Jul_10_1442,Cognition2_FullCode1,2021.2.3,102.10834017026585,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/117_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,1,2,2,11,41,53,58,70,75,87,117,129,159,3_audFile.wav,10,6,23,2,1,2,1,1,11,41,53,58,70,100,112,117,129,134,3_audFile.wav,10,,0,2,,,21,1,171,176,2,146,176,6,,,,0,0,0,0,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.55349012906663,None,,,,,,,,,,,,,,,2,0.9443622310645878,176.22457158286124,None,176.22457158286124,None,,,,,,,,,169.4825810259208,None,169.66268032602966,170.66298459586687,170.6930478529539,None,170.80311921797693,171.10316893691197,171.22323120501824,171.27310839784332,171.39318685489707,171.44330623699352,171.56330441497266,171.86330205597915,171.98343377606943,172.2835054639727,172.40353920590132,172.4536439520307,170.79299380534795,None,173.86391785205342,None,173.9740885719657,174.27398583688773,174.39400301803835,174.44405871187337,174.56415709806606,174.86432162486017,174.98433645395562,175.0342268079985,175.15429901401512,175.20423702592961,175.32437821105123,175.6243609469384,173.96399100332056,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,1,2023_Jul_10_1442,Cognition2_FullCode1,2021.2.3,102.10834017026585,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/117_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,1,2,1,11,16,28,58,70,75,87,117,129,134,3_audFile.wav,10,5,26,1,2,1,2,1,11,16,28,58,70,75,87,117,129,134,3_audFile.wav,10,,0,1,,,26,2,146,176,2,146,176,5,,,,0,0,0,0,,,,,0,2,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180.2658450868912,None,,,,,,,,,,,,,,,1,0.44798115990124643,183.93691149097867,None,183.93691149097867,None,,,,,,,,,177.194790242007,None,177.3749108039774,178.37519564689137,178.40526748402044,None,178.51524946303107,178.56521570985205,178.68534852191806,178.98538665589876,179.10543818492442,179.15538841299713,179.27552094496787,179.57550541404635,179.69560507987626,179.7455673420336,179.86567972088233,180.16584845096804,178.50529153130483,None,181.57617813092656,None,181.6861213799566,181.73620852897875,181.8562581629958,182.15632874402218,182.2763309320435,182.32638255902566,182.44645745190792,182.74643652397208,182.86647035600618,182.9164948510006,183.0366597948596,183.33668627100997,181.6762300624745,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,1,2023_Jul_10_1442,Cognition2_FullCode1,2021.2.3,102.10834017026585,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/117_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,1,2,2,1,11,16,28,33,45,75,87,117,129,134,3_audFile.wav,10,4,29,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,,0,2,,,27,2,146,176,2,146,176,4,,,,0,0,0,0,,,,,0,3,3,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.47796488902532,None,,,,,,,,,,,,,,,1,4.276053054956719,191.14885613904335,None,191.14885613904335,None,,,,,,,,,184.4068861620035,None,184.58698596595787,185.58727154298685,185.61732692387886,None,185.72734819399193,185.77734979102388,185.8974045990035,185.9473480079323,186.06752535398118,186.36752567091025,186.48755200998858,186.787628459977,186.90771866799332,186.957629801007,187.07791239302605,187.37779209087603,185.71739597639535,None,188.7881443318911,None,188.89816300291568,188.94831197685562,189.068378173979,189.11824864684604,189.23823937098496,189.53836475103162,189.6583604440093,189.7083769699093,189.82852861401625,190.128546011867,190.24866946903057,190.54861837788485,188.8881730164634,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,1,2023_Jul_10_1442,Cognition2_FullCode1,2021.2.3,102.10834017026585,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/117_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,2,1,1,2,11,41,53,83,95,100,112,117,129,159,3_audFile.wav,10,7,16,2,2,1,2,1,11,41,53,83,95,100,112,142,154,159,3_audFile.wav,10,,0,2,,,18,1,171,176,1,171,176,7,,,,0,0,0,0,,,,,0,4,4,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.52111416193657,None,,,,,,,,,,,,,,,2,1.7529271189123392,202.19204044505022,None,202.19204044505022,None,,,,,,,,,195.4499881300144,None,195.63030561595224,196.63041569502093,196.66051967488602,None,196.7706324660685,197.07059772498906,197.19060112000443,197.49058685684577,197.61063261004165,197.66075656889006,197.7807650999166,197.83078908687457,197.95079872501083,198.2508466988802,198.3710011660587,198.420891338028,196.7604914044263,None,199.83122438797727,None,199.9414006168954,200.241417465033,200.3614343588706,200.66158197494224,200.78167165792547,200.83154987101443,200.9517093100585,201.25180036993697,201.3717240600381,201.42171227093786,201.5418388240505,201.59183652698994,199.931322360388,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117,1,2023_Jul_10_1442,Cognition2_FullCode1,2021.2.3,102.10834017026585,
