filePaths,practFiles,StimulusCode,stim1,stim2,stim3,stim4,stim5,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,audFile_i2,audStart_i2,similCatp,setVol,corrMatchAnswer,whatCondIs,trialTypeName,rhythm,stim6,stim6Start,stim6End,stim6_i2,stim6Start_i2,stim6End_i2,similCat_i2,condFilePath,sensoryCond,stimStart,overarchingRhythmOrder.thisRepN,overarchingRhythmOrder.thisTrialN,overarchingRhythmOrder.thisN,overarchingRhythmOrder.thisIndex,rhythmPractTrials.thisRepN,rhythmPractTrials.thisTrialN,rhythmPractTrials.thisN,rhythmPractTrials.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions_2.started,variableInstructions_2.stopped,goToBlockKey_2.keys,goToBlockKey_2.rt,goToBlockKey_2.started,goToBlockKey_2.stopped,text_9.started,text_9.stopped,preFix_2.started,preFix_2.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,holdFix_2.started,holdFix_2.stopped,cir1_2.started,cir1_2.stopped,cir2_2.started,cir2_2.stopped,cir3_2.started,cir3_2.stopped,cir4_2.started,cir4_2.stopped,cir5_2.started,cir5_2.stopped,audioTrialSound_2.started,audioTrialSound_2.stopped,text.started,text.stopped,holdFix_i2_2.started,holdFix_i2_2.stopped,cir1_i2_2.started,cir1_i2_2.stopped,cir2_i2_2.started,cir2_i2_2.stopped,cir3_i2_2.started,cir3_i2_2.stopped,cir4_i2_2.started,cir4_i2_2.stopped,cir5_i2_2.started,cir5_i2_2.stopped,audioTrialSound_i2_2.started,audioTrialSound_i2_2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,text_5.started,text_5.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.rt,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,catchEarly.rt,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,byebyeText.started,byebyeText.stopped,pressToEnd.keys,pressToEnd.rt,pressToEnd.started,pressToEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.503940073773265,None,space,52.27487117238343,13.692058646120131,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,1,2023_Oct_05_1207,Cognition2_FullCode1,2021.2.3,100.00248892839451,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/124_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,66.09699641773477,None,space,31.449897731188685,66.19700372079387,None,101.78721630107611,None,101.98721462814137,None,97.78596025705338,101.78721630107611,97.78596025705338,101.78721630107611,103.00740355998278,None,103.11757732974365,103.41753061674535,103.56756845116615,103.61756762489676,103.76765704806894,104.0676841600798,104.21787292417139,104.26772388583049,104.41783190378919,104.46778675913811,103.01739801219665,None,104.86816849000752,None,106.1783351530321,None,106.28833995806053,106.58846189780161,106.73856507381424,106.78845424577594,106.9385267351754,107.23857845272869,107.38857372896746,107.4386007967405,107.58882852317765,107.63871548976749,106.18832960524597,None,1,2.4918839992024004,108.53901470405981,None,108.53901470405981,None,111.15980555303395,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,1,2023_Oct_05_1207,Cognition2_FullCode1,2021.2.3,100.00248892839451,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/124_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P2,2,1,1,2,1,11,41,56,61,76,81,96,126,141,146,2_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,116.7513504368253,117.95158019615337,116.96149503486231,None,112.76047033816576,116.76135296281427,112.76047033816576,116.76135296281427,117.97176628001034,None,118.08172188187018,118.38180392608047,118.53173018386588,118.58180656284094,118.73200091999024,118.78196104988456,118.9320943010971,119.23199674580246,119.3820386310108,119.43207271583378,117.98176073222422,None,119.83226969093084,None,121.13267070380971,None,121.24262984516099,121.54269879916683,121.69276705896482,121.74272731272504,121.89279704587534,122.19290974875912,122.34309057984501,122.39292399398983,122.5429349639453,122.59297624602914,121.14266515602358,None,2,0.9135684589855373,123.49341136915609,None,123.49341136915609,None,124.51367137907073,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,1,2023_Oct_05_1207,Cognition2_FullCode1,2021.2.3,100.00248892839451,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/124_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,130.1051793191582,None,130.30519297998399,None,126.10412409901619,130.1051793191582,126.10412409901619,130.1051793191582,131.31562100118026,None,131.4255184768699,131.47550087189302,131.62559229973704,131.92566119180992,132.07584050204605,132.12572620576248,132.27592775179073,132.575944557786,132.72597706317902,132.775979408063,131.32561545339414,None,133.17605528002605,None,134.47644466208294,None,134.5865079620853,134.6364826359786,134.7865483397618,135.0865563857369,135.23664244217798,135.28662874083966,135.43674331717193,135.73683527484536,135.88685304811224,135.93679351592436,134.48643911429681,None,1,3.039768652059138,136.84712812583894,None,136.84712812583894,None,139.98802450718358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,1,2023_Oct_05_1207,Cognition2_FullCode1,2021.2.3,100.00248892839451,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/124_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P4,1,2,1,1,2,11,16,31,61,76,81,96,101,116,146,4_practAudFile.wav,1,pc2,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,145.5795862157829,None,145.77974169375375,None,141.57849573995918,145.5795862157829,141.57849573995918,145.5795862157829,146.79001494310796,None,146.89991865912452,146.9499820037745,147.10000058775768,147.4001312740147,147.55020743515342,147.60017944918945,147.7501997151412,148.0502703380771,148.2003718977794,148.25030587101355,146.80000939532184,None,148.6504983440973,None,149.96085621183738,None,150.0709713017568,150.12095529586077,150.2709804228507,150.57100512180477,150.72112915478647,150.77102171396837,150.921221092809,150.97107211593539,151.12123227817938,151.42118471395224,149.97085066405126,None,2,0.8692168910056353,152.3216883209534,None,152.3216883209534,None,153.2917165728286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,1,2023_Oct_05_1207,Cognition2_FullCode1,2021.2.3,100.00248892839451,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/124_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,2,1,1,11,16,28,58,70,100,112,117,129,134,3_audFile.wav,10,5,24,1,2,2,1,1,11,16,28,58,70,100,112,117,129,134,3_audFile.wav,10,,0,1,,,24,2,146,176,2,146,176,5,,,,0,0,0,0,,,,,0,0,0,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.17455965280533,None,,,,,,,,,,,,,,,1,0.5133244730532169,166.84564493596554,None,166.84564493596554,None,,,154.9024121859111,None,space,5.076439059339464,155.00244648195803,None,160.1238781027496,None,160.31386178312823,None,161.31412194203585,None,161.42411604477093,161.47405127901584,161.5942079750821,161.89418978895992,162.0142277390696,162.31425289902836,162.43439209181815,162.48440934391692,162.60455615306273,162.65439174091443,162.77455969015136,163.07447085017338,161.4140004211571,None,164.4850831530057,None,164.59507156675681,164.64492838317528,164.76504750084132,165.0650873701088,165.18529384909198,165.48521617706865,165.60531299887225,165.6553949690424,165.77534444909543,165.8253310630098,165.94535513175651,166.24548094905913,164.58506584619172,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,1,2023_Oct_05_1207,Cognition2_FullCode1,2021.2.3,100.00248892839451,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/124_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,4,29,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,,0,1,,,29,2,146,176,2,146,176,4,,,,0,0,0,0,,,,,0,1,1,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170.45676770806313,None,,,,,,,,,,,,,,,2,0.3511582179926336,174.1277408497408,None,174.1277408497408,None,,,,,,,,,167.38603827590123,None,167.565945985727,168.56610327586532,168.59622259018943,None,168.70619625784457,168.75614850781858,168.87619127286598,168.9262685580179,169.0462518609129,169.3462939891033,169.4664076580666,169.5164000079967,169.63666843017563,169.93662881711498,170.05663503613323,170.35671084886417,168.69630154999905,None,171.7670743148774,None,171.87713826494291,171.92717507109046,172.04727036878467,172.0971065890044,172.21710886480287,172.51727656600997,172.63739909790456,172.68733803601936,172.8074557869695,173.10743626672775,173.2275912198238,173.5275983591564,171.86704894839787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,1,2023_Oct_05_1207,Cognition2_FullCode1,2021.2.3,100.00248892839451,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/124_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,2,1,1,11,16,28,58,70,100,112,117,129,134,3_audFile.wav,10,5,28,1,2,1,1,2,11,16,28,58,70,75,87,92,104,134,3_audFile.wav,10,,0,2,,,24,2,146,176,2,146,176,5,,,,0,0,0,0,,,,,0,2,2,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.5687299668789,None,,,,,,,,,,,,,,,1,0.8150836410932243,181.23983253911138,None,181.23983253911138,None,,,,,,,,,174.49804409500211,None,174.68806923087686,175.68815799616277,175.70827469788492,None,175.81820565788075,175.86813535774127,175.98821594100446,176.28833094704896,176.40845076693222,176.70850971899927,176.82845859974623,176.87845039274544,176.99875401007012,177.04853130690753,177.16865128604695,177.46857237583026,175.8081893733237,None,178.8791415700689,None,178.9891920471564,179.03923049988225,179.15919072413817,179.45938021782786,179.5792913469486,179.62938573490828,179.74942442774773,179.79953917581588,179.91934526711702,180.21948483679444,180.33958239806816,180.63958133477718,178.9791769612115,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,1,2023_Oct_05_1207,Cognition2_FullCode1,2021.2.3,100.00248892839451,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/124_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,4,29,1,1,2,1,2,11,16,28,33,45,75,87,92,104,134,3_audFile.wav,10,,0,1,,,29,2,146,176,2,146,176,4,,,,0,0,0,0,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185.15097454795614,None,,,,,,,,,,,,,,,2,0.008873407263308764,188.82201770180836,None,188.82201770180836,None,,,,,,,,,182.07996584381908,None,182.25998225389048,183.26032921904698,183.29037615284324,None,183.4002869259566,183.4503726521507,183.5704193948768,183.62052516499534,183.7404726780951,184.04058234393597,184.1606801939197,184.2107506338507,184.33080359501764,184.630675137043,184.7508426681161,185.0509085478261,183.3904329359997,None,186.46123027382419,None,186.57138206576928,186.62129844212905,186.74139362573624,186.7913048551418,186.91134972777218,187.2114286008291,187.33139839675277,187.3814282361418,187.50156911602244,187.8015319230035,187.92180028092116,188.22181758610532,186.56121790301987,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,1,2023_Oct_05_1207,Cognition2_FullCode1,2021.2.3,100.00248892839451,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/124_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,6,23,2,1,2,1,1,11,41,53,58,70,100,112,117,129,134,3_audFile.wav,10,,0,2,,,19,1,171,176,2,146,176,6,,,,0,0,0,0,,,,,0,4,4,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.9229489439167,None,,,,,,,,,,,,,,,1,0.052845781203359365,195.59406466782093,None,195.59406466782093,None,,,,,,,,,188.852026197128,None,189.03214361704886,190.0323661128059,190.06235690275207,None,190.17225966975093,190.4723392049782,190.59248989401385,190.64240776514634,190.76255589304492,191.062589161098,191.18262654077262,191.2326202429831,191.35270759277046,191.65266292914748,191.77280147513375,191.8228861829266,190.16234259526246,None,193.23313183896244,None,193.3431362528354,193.6433298960328,193.7634328957647,193.81330537609756,193.93347668182105,194.2334866821766,194.35350613296032,194.4036203948781,194.5235573030077,194.57376133091748,194.69362134300172,194.9936303119175,193.33315168539994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,1,2023_Oct_05_1207,Cognition2_FullCode1,2021.2.3,100.00248892839451,
