filePaths,practFiles,StimulusCode,stim1,stim2,stim3,stim4,stim5,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,audFile_i2,audStart_i2,similCatp,setVol,corrMatchAnswer,whatCondIs,trialTypeName,rhythm,stim6,stim6Start,stim6End,stim6_i2,stim6Start_i2,stim6End_i2,similCat_i2,condFilePath,sensoryCond,stimStart,overarchingRhythmOrder.thisRepN,overarchingRhythmOrder.thisTrialN,overarchingRhythmOrder.thisN,overarchingRhythmOrder.thisIndex,rhythmPractTrials.thisRepN,rhythmPractTrials.thisTrialN,rhythmPractTrials.thisN,rhythmPractTrials.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions_2.started,variableInstructions_2.stopped,goToBlockKey_2.keys,goToBlockKey_2.rt,goToBlockKey_2.started,goToBlockKey_2.stopped,text_9.started,text_9.stopped,preFix_2.started,preFix_2.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,holdFix_2.started,holdFix_2.stopped,cir1_2.started,cir1_2.stopped,cir2_2.started,cir2_2.stopped,cir3_2.started,cir3_2.stopped,cir4_2.started,cir4_2.stopped,cir5_2.started,cir5_2.stopped,audioTrialSound_2.started,audioTrialSound_2.stopped,text.started,text.stopped,holdFix_i2_2.started,holdFix_i2_2.stopped,cir1_i2_2.started,cir1_i2_2.stopped,cir2_i2_2.started,cir2_i2_2.stopped,cir3_i2_2.started,cir3_i2_2.stopped,cir4_i2_2.started,cir4_i2_2.stopped,cir5_i2_2.started,cir5_i2_2.stopped,audioTrialSound_i2_2.started,audioTrialSound_i2_2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,text_5.started,text_5.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.rt,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,byebyeText.started,byebyeText.stopped,pressToEnd.keys,pressToEnd.rt,pressToEnd.started,pressToEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.39450016571209,None,space,22.202748333103955,21.57154987566173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,1,2023_Oct_10_1433,Cognition2_FullCode1,2021.2.3,99.9163012800127,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/125_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,43.9178695990704,None,space,8.612421934027225,44.017884810920805,None,56.75139926187694,None,56.951432653702796,None,52.75040264008567,56.75139926187694,52.75040264008567,56.75139926187694,57.97173472866416,None,58.08181239385158,58.381933787837625,58.53191223600879,58.58200411405414,58.732087071053684,59.03204935370013,59.18223112402484,59.2321548378095,59.38227579602972,59.43215106707066,57.98173184166662,None,59.832425605971366,None,61.14273922191933,None,61.252776524052024,61.552789628040045,61.702939392998815,61.75277766678482,61.90286877192557,62.20291706407443,62.35318349674344,62.40305987605825,62.55316250072792,62.60301123280078,61.15273633492179,None,1,2.510840449947864,63.50344855384901,None,63.50344855384901,None,66.14412541268393,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,1,2023_Oct_10_1433,Cognition2_FullCode1,2021.2.3,99.9163012800127,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/125_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P2,2,1,1,2,1,11,41,56,61,76,81,96,126,141,146,2_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,71.7357913190499,None,71.93582587782294,None,67.74475477170199,71.7458742777817,67.74475477170199,71.7458742777817,72.94603899400681,None,73.05620883684605,73.356282830704,73.50624340167269,73.55619724979624,73.70639310171828,73.7563352896832,73.90642401063815,74.20635826187208,74.35650493390858,74.40663662366569,72.95603610700928,None,74.80673794867471,None,76.10701900906861,None,76.21700862888247,76.51707323780283,76.66705886600539,76.71717929793522,76.86716045998037,77.16729468293488,77.31746215606108,77.36739384708926,77.51738475775346,77.56731172092259,76.11701612207108,None,2,0.722573574166745,78.46777370665222,None,78.46777370665222,None,79.29788628872484,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,1,2023_Oct_10_1433,Cognition2_FullCode1,2021.2.3,99.9163012800127,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/125_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,84.88952748896554,None,85.0895250136964,None,80.88845615508035,84.88952748896554,80.88845615508035,84.88952748896554,86.09975273394957,None,86.20995693700388,86.25978073477745,86.40990468580276,86.70996456872672,86.8601379650645,86.91010413598269,87.06013939902186,87.36009163688868,87.51025338890031,87.56020044907928,86.10974984695204,None,87.96032690675929,None,89.26088281301782,None,89.37082539265975,89.42074892297387,89.57090512383729,89.87085704598576,90.02093738596886,90.07086574472487,90.22108493698761,90.52096883766353,90.67108508385718,90.72114415606484,89.27087992602029,None,1,0.48875271901488304,91.62152967602015,None,91.62152967602015,None,92.21152805164456,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,1,2023_Oct_10_1433,Cognition2_FullCode1,2021.2.3,99.9163012800127,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/125_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P4,1,2,1,1,2,11,16,31,61,76,81,96,101,116,146,4_practAudFile.wav,1,pc2,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,97.80317778000608,None,98.00328104291111,None,93.80200736690313,97.80317778000608,93.80200736690313,97.80317778000608,99.01352126384154,None,99.12362797977403,99.1735841599293,99.32374084368348,99.62358941696584,99.77376369293779,99.82376523502171,99.97394447308034,100.27395108668134,100.42400420969352,100.47389410389587,99.02351837684401,None,100.87405500374734,None,102.18448850605637,None,102.29456605482846,102.34442982263863,102.49458985077217,102.7945230556652,102.944704730995,102.99467819184065,103.14475683495402,103.19463853398338,103.34492039494216,103.64480042271316,102.19448561905884,None,2,0.49315274180844426,104.54518740577623,None,104.54518740577623,None,105.14533537067473,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,1,2023_Oct_10_1433,Cognition2_FullCode1,2021.2.3,99.9163012800127,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/125_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,2,1,2,11,16,28,58,70,100,112,117,129,159,3_audFile.wav,10,5,20,1,2,2,1,2,11,16,28,58,70,100,112,117,129,159,3_audFile.wav,10,,0,1,,,20,1,171,176,1,171,176,5,,,,0,0,0,0,,,,,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.57830611197278,None,,,,,,,,,,,,,,,1,0.6849448070861399,119.2493602456525,None,119.2493602456525,None,,,106.75587643496692,None,space,5.622431342955679,106.85585874086246,None,112.5274685928598,None,112.71751582296565,None,113.71770788589492,None,113.82778985798359,113.8778152577579,113.9978625960648,114.29777702689171,114.41795008769259,114.71796177281067,114.83802038105205,114.88812605571002,115.00815392984077,115.30829246994108,115.42836569668725,115.47812052676454,113.81766172391363,None,116.8886893959716,None,116.99869415163994,117.0486137168482,117.16863919887692,117.46866656467319,117.58888557506725,117.88896317500621,118.00889121880755,118.05882830685005,118.17903157882392,118.47903117863461,118.59914301196113,118.6491132020019,116.98869400783443,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,1,2023_Oct_10_1433,Cognition2_FullCode1,2021.2.3,99.9163012800127,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/125_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,1,1,2,11,16,28,58,70,75,87,92,104,134,3_audFile.wav,10,5,28,1,2,1,1,2,11,16,28,58,70,75,87,92,104,134,3_audFile.wav,10,,0,1,,,28,2,146,176,2,146,176,5,,,,0,0,0,0,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.03042469685897,None,,,,,,,,,,,,,,,1,2.2807655660435557,126.70152137894183,None,126.70152137894183,None,,,,,,,,,119.95946349482983,None,120.13961400883272,121.13977970695123,121.1699219099246,None,121.27991778869182,121.32984988065436,121.45008830074221,121.74996150005609,121.86997050093487,121.9200051180087,122.04023425607011,122.09006215399131,122.2101348079741,122.51020776573569,122.63029123982415,122.93025712482631,121.26991761880927,None,124.34079542662948,None,124.45083583379164,124.50075145997107,124.62073942972347,124.92097589978948,125.04103677673265,125.0908572669141,125.21105047501624,125.26094864308834,125.38100583991036,125.68119003484026,125.80119694396853,126.10116758802906,124.44072499764152,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,1,2023_Oct_10_1433,Cognition2_FullCode1,2021.2.3,99.9163012800127,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/125_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,2,1,2,1,11,41,53,83,95,100,112,142,154,159,3_audFile.wav,10,7,16,2,2,1,2,1,11,41,53,83,95,100,112,142,154,159,3_audFile.wav,10,,0,1,,,16,1,171,176,1,171,176,7,,,,0,0,0,0,,,,,0,2,2,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.0830593709834,None,,,,,,,,,,,,,,,2,2.708161637187004,135.75417258078232,None,135.75417258078232,None,,,,,,,,,129.01216524187475,None,129.20225433679298,130.20235118363053,130.2223800360225,None,130.33248786069453,130.6325027840212,130.75262034498155,131.05263814190403,131.17283502593637,131.2226230809465,131.3427227246575,131.6428586728871,131.76298600574955,131.81285858387128,131.93293314101174,131.98291463777423,130.32251746798866,None,133.39332600077614,None,133.503430491779,133.8035880466923,133.92350375279784,134.22356844693422,134.34376890491694,134.39368144003674,134.5136705050245,134.81367938173935,134.93390955682844,134.98390068579465,135.10384475579485,135.15387455094606,133.4932575550396,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,1,2023_Oct_10_1433,Cognition2_FullCode1,2021.2.3,99.9163012800127,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/125_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,1,2,2,11,16,28,58,70,75,87,117,129,159,3_audFile.wav,10,5,24,1,2,2,1,1,11,16,28,58,70,100,112,117,129,134,3_audFile.wav,10,,0,2,,,22,1,171,176,2,146,176,5,,,,0,0,0,0,,,,,0,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141.55572646902874,None,,,,,,,,,,,,,,,1,0.5476321689784527,145.2266991310753,None,145.2266991310753,None,,,,,,,,,138.48476897971705,None,138.6648181336932,139.66513982601464,139.69508334202692,None,139.80524457106367,139.85517429187894,139.9752116939053,140.27520717075095,140.39527516067028,140.44531809492037,140.56546176364645,140.86546131083742,140.98548256000504,141.28551870770752,141.4056700989604,141.4556249580346,139.79515437767841,None,142.86595904966816,None,142.97612416464835,143.02607213007286,143.14626721991226,143.44617330981418,143.56626037787646,143.86633093981072,143.9863893329166,144.03645159164444,144.156569249928,144.20633407169953,144.32646509399638,144.62642662087455,142.96593218469062,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,1,2023_Oct_10_1433,Cognition2_FullCode1,2021.2.3,99.9163012800127,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/125_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,6,21,2,1,1,2,2,11,41,53,58,70,75,87,117,129,159,3_audFile.wav,10,,0,2,,,19,1,171,176,1,171,176,6,,,,0,0,0,0,,,,,0,4,4,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.86782141169533,None,,,,,,,,,,,,,,,2,0.667525527998805,152.53877475997433,None,152.53877475997433,None,,,,,,,,,145.79694561380893,None,145.9769635880366,146.97728637279943,147.00724929803982,None,147.11736478982493,147.4173822896555,147.53738489886746,147.58732397668064,147.707357281819,148.0075048529543,148.12754672765732,148.1774713420309,148.29764680564404,148.5975843416527,148.71774839889258,148.76780383195728,147.1072222006973,None,150.17811190662906,None,150.28813241282478,150.5883990279399,150.70826280582696,150.75843059597537,150.8783801230602,150.92833867995068,151.04833459993824,151.34842895995826,151.4685571580194,151.7686847387813,151.8886952106841,151.9386335280724,150.27804230093025,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,1,2023_Oct_10_1433,Cognition2_FullCode1,2021.2.3,99.9163012800127,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/125_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,2,1,1,11,16,28,58,70,100,112,117,129,134,3_audFile.wav,10,5,22,1,2,1,2,2,11,16,28,58,70,75,87,117,129,159,3_audFile.wav,10,,0,2,,,24,2,146,176,1,171,176,5,,,,0,0,0,0,,,,,0,5,5,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.29990280978382,None,,,,,,,,,,,,,,,2,0.587258453015238,159.97103661904112,None,159.97103661904112,None,,,,,,,,,153.22902129078284,None,153.40917530702427,154.4093242669478,154.43940868787467,None,154.5494242887944,154.5993808656931,154.71959907608107,155.01945856865495,155.13953712768853,155.43960328074172,155.55976416403428,155.60960331792012,155.72986522689462,155.7798336967826,155.89984391909093,156.19971787789837,154.53930436992087,None,157.61018294468522,None,157.72041710466146,157.7702742079273,157.89022371685132,158.19036393798888,158.3104326738976,158.36039284896106,158.48059855680913,158.78052362566814,158.9007610278204,159.2006348790601,159.320826287847,159.37083549797535,157.71040504085832,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125,1,2023_Oct_10_1433,Cognition2_FullCode1,2021.2.3,99.9163012800127,
