targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,space,11.269111327361315,11.967051264829934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.967051264829934,None,23.367835232988,None,space,3.6616979031823575,23.550423435866833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.26695903809741,None,space,3.8343525091186166,27.433759158011526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,33.13907257094979,31.417065595742315,None,,,,,,,,,,,,,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,31.417065595742315,None,64.60019183997065,None,65.71700082300231,None,66.63368057180196,None,1.0613756613756613,4.470213843975216,66.63368057180196,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.10048770904541,None,72.20019258605316,None,73.13366062380373,None,1.0873015873015874,1.2493659341707826,73.13366062380373,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,0,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.38391180383042,None,75.48360765678808,None,76.41686029406264,None,1.6925925925925926,1.9658958511427045,76.41686029406264,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,0,3,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.38382920296863,None,79.48346732184291,None,80.41712014377117,None,1.3603174603174604,0.9159155297093093,80.41712014377117,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,0,4,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.33382890280336,None,82.43358836974949,None,83.36689424375072,None,1.319047619047619,0.7149371500127017,83.36689424375072,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.08380569703877,None,85.18363525299355,None,86.11697824578732,None,1.5904761904761906,1.016054508741945,86.11697824578732,None,,,,,,,,,,,130,001,2023_Nov_07_1233,Localization_IfspeechCrashes,2021.2.3,60.000299458955226,
