Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2
pledge.wav,pledge.mpg,pledge,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
slush.wav,slush.mpg,slush,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
batch.wav,batch.mpg,batch,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
hit.wav,hit.mpg,hit,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
craft.wav,craft.mpg,craft,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
curse.wav,curse.mpg,curse,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
chill.wav,chill.mpg,chill,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
blade.wav,blade.mpg,blade,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
stain.wav,stain.mpg,stain,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
cross.wav,cross.mpg,cross,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
debt.wav,debt.mpg,debt,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
slick.wav,slick.mpg,slick,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
thorn.wav,thorn.mpg,thorn,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
den.wav,den.mpg,den,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
cook.wav,cook.mpg,cook,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
gulp.wav,gulp.mpg,gulp,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
ear.wav,ear.mpg,ear,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
deed.wav,deed.mpg,deed,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
chore.wav,chore.mpg,chore,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
broil.wav,broil.mpg,broil,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
gain.wav,gain.mpg,gain,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
grim.wav,grim.mpg,grim,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
bless.wav,bless.mpg,bless,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
cloth.wav,cloth.mpg,cloth,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
flog.wav,flog.mpg,flog,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
cone.wav,cone.mpg,cone,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
bun.wav,bun.mpg,bun,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
gone.wav,gone.mpg,gone,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
fable.wav,fable.mpg,fable,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
fill.wav,fill.mpg,fill,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav
swan.wav,swan.mpg,swan,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav
blur.wav,blur.mpg,blur,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav
blast.wav,blast.mpg,blast,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
fold.wav,fold.mpg,fold,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
crude.wav,crude.mpg,crude,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
chest.wav,chest.mpg,chest,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
droop.wav,droop.mpg,droop,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav
claw.wav,claw.mpg,claw,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
cloud.wav,cloud.mpg,cloud,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav
dog.wav,dog.mpg,dog,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
fence.wav,fence.mpg,fence,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav
