Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,exitTxt.started,exitTxt.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,20.30699900491163,16.938107885420322,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,001,2024_Jan_23_1718,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.02456623654128,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.938107885420322,None,37.372406273148954,None,space,6.618213050998747,37.55491723539308,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,001,2024_Jan_23_1718,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.02456623654128,
ash.wav,ash.mpg,ash,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO trial",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,44.22259636223316,None,45.22125581931323,None,48.422584066167474,None,49.8049997324124,None,ash,49.8049997324124,None,return,5.3892372329719365,49.88797931233421,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,001,2024_Jan_23_1718,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.02456623654128,
ash.wav,ash.mpg,ash,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO + VIDEO  trial",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,55.32100488198921,None,56.32131678238511,None,57.820886640343815,None,59.20457922341302,None,ash,59.20457922341302,None,return,2.12511135218665,59.2880232790485,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,001,2024_Jan_23_1718,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.02456623654128,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.454334209207445,None,space,13.319293677341193,61.63796044932678,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,001,2024_Jan_23_1718,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.02456623654128,
bright.wav,bright.mpg,bright,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,75.02097379602492,None,76.50430642301217,None,77.88805900933221,None,love,77.88805900933221,None,return,3.977806604001671,77.9713460560888,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,001,2024_Jan_23_1718,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.02456623654128,
bare.wav,bare.mpg,bare,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,,,,,,,,,,0,1,1,85,,,,,,,,,,,,,,,,,,,,,,,81.9712705030106,None,83.48774014413357,None,84.8714381181635,None,bear,84.8714381181635,None,return,1.3385968450456858,84.95466435421258,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,001,2024_Jan_23_1718,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.02456623654128,
peach.wav,peach.mpg,peach,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,2,2,12,,,,,,,,,,,,,,,,,,,,,,,86.32139074010774,None,87.8209649482742,None,89.20470900414512,None,beach,89.20470900414512,None,return,1.5733112948946655,89.28795522311702,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,001,2024_Jan_23_1718,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.02456623654128,
cloud.wav,cloud.mpg,cloud,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,90.88799083698541,None,92.38759856438264,None,93.77130531333387,None,cloud,93.77130531333387,None,return,1.8625134350731969,93.8545717173256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,001,2024_Jan_23_1718,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.02456623654128,
grunt.wav,grunt.mpg,grunt,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,4,4,72,,,,,,,,,,,,,,,,,,,,,,,95.73814642196521,None,97.2375955330208,None,98.62128904135898,None,grunt,98.62128904135898,None,return,1.4123423220589757,98.70480248797685,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154,001,2024_Jan_23_1718,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.02456623654128,
