targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,exitTxt.started,exitTxt.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,space,30.618050816003233,16.307162766810507,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.307162766810507,None,47.05728614702821,None,space,4.452300921082497,47.24098639981821,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.756879607681185,None,space,2.945120462216437,51.924096293747425,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,13.669777130708098,55.007516311015934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,0,0,0,5,,,,,,,,,,,,,,,,,,,,,,,,,,,55.007516311015934,None,68.72417059773579,None,69.82383927376941,None,70.75693272100762,None,1.2645502645502646,3.1207762458361685,70.75693272100762,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,0,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8750313478522,None,74.97392554394901,None,75.90739749977365,None,1.4582010582010583,2.3660303852520883,75.90739749977365,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.27464273106307,None,79.37383420206606,None,80.30691606085747,None,1.4756613756613757,0.7995341429486871,80.30691606085747,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.10758560709655,None,82.20718837995082,None,83.14063506387174,None,1.5243386243386243,1.3825295637361705,83.14063506387174,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.52429392607883,None,85.62363683898002,None,86.55713562713936,None,1.4296296296296296,0.7320525432005525,86.55713562713936,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,0,5,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.29076720913872,None,88.39052832778543,None,89.32390510383993,None,1.453968253968254,0.9168061739765108,89.32390510383993,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.24112472776324,None,91.34054725896567,None,92.27366760000587,None,1.7624338624338625,2.0824751812033355,92.27366760000587,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,1,0,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.35764515772462,None,95.45713913301006,None,96.39071025699377,None,1.7846560846560846,0.6823021252639592,96.39071025699377,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,1,1,8,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.07421412086114,None,98.1739332601428,None,99.10708469804376,None,1.38994708994709,0.9653067640028894,99.10708469804376,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,1,2,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.07414163975045,None,101.17393516097218,None,102.10708224307746,None,1.2608465608465609,1.232766019180417,102.10708224307746,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,1,3,10,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.34099726984277,None,104.4408637159504,None,105.37379182083532,None,1.6365079365079365,0.765671060886234,105.37379182083532,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,1,4,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.14088987885043,None,107.2406760128215,None,108.17382982606068,None,1.2867724867724868,0.6830068430863321,108.17382982606068,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,1,5,12,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.85762069188058,None,109.95722591783851,None,110.89052069280297,None,1.5391534391534392,0.8480372098274529,110.89052069280297,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,1,6,13,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.74083501892164,None,112.84059561882168,None,113.7740979748778,None,1.7322751322751322,0.8330490901134908,113.7740979748778,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,2,0,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.60755106899887,None,115.7075507780537,None,116.64056155504659,None,1.892063492063492,0.9992331545799971,116.64056155504659,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,2,1,15,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.64098498271778,None,118.74087624391541,None,119.67419702885672,None,1.3222222222222222,0.8991206679493189,119.67419702885672,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,2,2,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.57431437401101,None,121.67376962583512,None,122.60733495373279,None,1.6777777777777778,0.6819255356676877,122.60733495373279,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,2,3,17,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123.29095755703747,None,124.39076045295224,None,125.3240696741268,None,1.8830687830687831,1.232896757312119,125.3240696741268,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,2,4,18,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.55783534701914,None,127.65703719807789,None,128.59068038593978,None,1.3761904761904762,0.8160968315787613,128.59068038593978,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,2,5,19,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.40765647310764,None,130.50747733470052,None,131.44105911673978,None,1.342857142857143,0.6484264531172812,131.44105911673978,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,2,6,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,132.09091762406752,None,133.19066054513678,None,134.12386354291812,None,1.1804232804232804,0.7650902280583978,134.12386354291812,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,3,0,21,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.89090323494747,None,135.9906901740469,None,136.92424804484472,None,1.3777777777777778,0.849054919090122,136.92424804484472,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,3,1,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.77426726697013,None,138.8740498558618,None,139.80731404200196,None,1.5576719576719578,0.6492415657266974,139.80731404200196,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,3,2,23,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.457463581115,None,141.5573308817111,None,142.49056437471882,None,1.671957671957672,0.7985950070433319,142.49056437471882,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,3,3,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.2908987449482,None,144.39054584410042,None,145.32396298274398,None,1.3894179894179894,0.8165084789507091,145.32396298274398,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,3,4,25,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.14148173294961,None,147.24086203891784,None,148.17411785200238,None,1.6052910052910052,0.7496656347066164,148.17411785200238,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,3,5,26,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.92438173713163,None,150.02430436387658,None,150.95720904879272,None,1.9116402116402116,0.9496711366809905,150.95720904879272,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,3,6,27,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.90871489606798,None,153.02397460211068,None,153.94056500587612,None,1.3148148148148149,7.182256379164755,153.94056500587612,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,4,0,28,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.12427046708763,None,162.22393637383357,None,163.15741945477203,None,1.1973544973544974,0.8829340310767293,163.15741945477203,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,4,1,29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.0411376398988,None,165.1407201187685,None,166.07397193368524,None,1.2788359788359789,0.8489665486849844,166.07397193368524,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,4,2,30,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.9245123807341,None,168.02413296187297,None,168.95736886700615,None,1.2142857142857144,0.7656001797877252,168.95736886700615,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,4,3,31,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169.72432083496824,None,170.82384499907494,None,171.75745905702934,None,1.17989417989418,0.9822522019967437,171.75745905702934,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,4,4,32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.7410631608218,None,173.84080085577443,None,174.77416743105277,None,1.2894179894179894,0.7829873599112034,174.77416743105277,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,4,5,33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,175.55757910199463,None,176.65735554182902,None,177.59067838685587,None,1.2751322751322751,0.7832820010371506,177.59067838685587,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,4,6,34,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,178.3743381621316,None,179.47429418098181,None,180.40729271806777,None,1.3084656084656086,0.7330409339629114,180.40729271806777,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,5,0,35,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.14124561613426,None,182.24085934413597,None,183.1740428940393,None,1.5444444444444443,0.8341945293359458,183.1740428940393,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,5,1,36,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184.0242449650541,None,185.12402878701687,None,186.05736805591732,None,1.6444444444444444,1.0326978638768196,186.05736805591732,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,5,2,37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187.09096911689267,None,188.19083786709234,None,189.1239473898895,None,1.342857142857143,0.9491865918971598,189.1239473898895,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,5,3,38,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190.07442689081654,None,191.17402068711817,None,192.1073670028709,None,1.3666666666666667,0.7331921253353357,192.1073670028709,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,5,4,39,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.84091736003757,None,193.94065558211878,None,194.87409615470096,None,1.762962962962963,0.7993426518514752,194.87409615470096,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,5,5,40,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195.67440657503903,None,196.77388253668323,None,197.70747384382412,None,1.375132275132275,0.7828327780589461,197.70747384382412,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,5,6,41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,198.4910982181318,None,199.5907442397438,None,200.52427522279322,None,1.162962962962963,0.9829300679266453,200.52427522279322,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,6,0,42,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.5075518321246,None,202.60735141299665,None,203.5405890098773,None,1.5862433862433862,1.299327234737575,203.5405890098773,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,6,1,43,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.84102410590276,None,205.94089073082432,None,206.8741246908903,None,1.856084656084656,0.7492089406587183,206.8741246908903,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,6,2,44,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.62430688692257,None,208.7240426009521,None,209.65734202368185,None,1.433862433862434,0.8986629149876535,209.65734202368185,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,6,3,45,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.55768316891044,None,211.65745649393648,None,212.5906683569774,None,1.2058201058201057,0.7996103088371456,212.5906683569774,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,6,4,46,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.39093025401235,None,214.49096927512437,None,215.42396919475868,None,1.8343915343915342,0.6983751761727035,215.42396919475868,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,6,5,47,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216.12449057912454,None,217.22405902575701,None,218.15723601309583,None,1.8343915343915342,0.7496499959379435,218.15723601309583,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,6,6,48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.9078249130398,None,220.00739759905264,None,220.9407618381083,None,1.380952380952381,0.8495223978534341,220.9407618381083,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,7,0,49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.79100488079712,None,222.89090978587046,None,223.82434546994045,None,1.1904761904761905,0.7153256917372346,223.82434546994045,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,7,1,50,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,224.54102813079953,None,225.64078568387777,None,226.5740898619406,None,1.5206349206349206,1.7659182609058917,226.5740898619406,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,7,2,51,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.3410275229253,None,229.44068434787914,None,230.3740495867096,None,1.4962962962962962,0.6329125468619168,230.3740495867096,None,,,,,,,,,,,,,,,,,170,001,2024_Feb_27_1646,Localization_IfspeechCrashes,2021.2.3,60.054783523257,
