targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,exitTxt.started,exitTxt.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,space,17.10312572028488,13.316558303311467,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.316558303311467,None,30.550601734779775,None,space,5.590464496985078,30.733090477064252,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.383125490508974,None,space,6.973687756806612,36.549839140847325,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,23.744984549470246,43.666548661887646,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,43.666548661887646,None,67.44961605034769,None,68.56656918488443,None,69.48310486599803,None,1.3756613756613758,2.771516037173569,69.48310486599803,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,0,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.25210958719254,None,73.36627390235662,None,74.28298025764525,None,1.3973544973544973,1.0331560308113694,74.28298025764525,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.31681866385043,None,76.41634225193411,None,77.34972159191966,None,1.3984126984126983,1.0841164635494351,77.34972159191966,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,0,3,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.44979749247432,None,79.5498820245266,None,80.48309859633446,None,1.5264550264550265,1.050017754547298,80.48309859633446,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.53382276277989,None,82.63302386645228,None,83.56626844312996,None,1.498941798941799,0.8996822750195861,83.56626844312996,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.46748841833323,None,85.58305722288787,None,86.49970575701445,None,1.5206349206349206,0.88249322026968,86.49970575701445,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.38346323091537,None,88.48326390329748,None,89.41645026020706,None,1.508994708994709,0.7998905973508954,89.41645026020706,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,1,0,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.21730941347778,None,91.31642430182546,None,92.24963754136115,None,1.4232804232804233,1.7655197205021977,92.24963754136115,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,1,1,8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.01668074447662,None,95.1164388936013,None,96.04986304137856,None,1.3513227513227513,1.0495031280443072,96.04986304137856,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,1,2,9,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.10060049500316,None,98.19993161596358,None,99.1330508030951,None,1.4984126984126984,1.2485232604667544,99.1330508030951,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,1,3,10,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.38344331737608,None,101.48331769742072,None,102.41636219993234,None,1.4788359788359788,1.0323406737297773,102.41636219993234,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,1,4,11,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103.44997468963265,None,104.5497984867543,None,105.48276553209871,None,1.5751322751322752,1.2329594567418098,105.48276553209871,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,1,5,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106.71693639084697,None,107.81660082284361,None,108.7498196605593,None,1.471957671957672,1.4656609343364835,108.7498196605593,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,1,6,13,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.21672877576202,None,111.31652562320232,None,112.24955901037902,None,1.4978835978835978,1.1654924266040325,112.24955901037902,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,2,0,14,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.41697050910443,None,114.51655248738825,None,115.44976259674877,None,1.6174603174603175,1.2667310703545809,115.44976259674877,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,2,1,15,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.71728914789855,None,117.8165936106816,None,118.74976793676615,None,1.6074074074074074,0.7666504690423608,118.74976793676615,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,2,2,16,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119.51755553670228,None,120.61673513520509,None,121.5497026508674,None,1.4195767195767197,1.3834826173260808,121.5497026508674,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,2,3,17,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122.93414186872542,None,124.03318951930851,None,124.96625390462577,None,1.5126984126984127,1.0002034092321992,124.96625390462577,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
midLeft,-13.0,2,ch1Sound_localizationTask.wav,-13.0,"(762, 878)","(-198,-202)",-190,-338,,,,,,,,,2,4,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.98333165608346,None,127.08344586845487,None,128.0164610054344,None,1.4190476190476191,0.9655535323545337,128.0164610054344,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,2,5,19,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.98344448395073,None,130.08331511262804,None,131.0164242144674,None,1.4095238095238094,0.5834423080086708,131.0164242144674,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,2,6,20,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,131.60070867091417,None,132.69987026881427,None,133.63306090049446,None,1.491005291005291,0.6651132581755519,133.63306090049446,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,3,0,21,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.30010560154915,None,135.39998104516417,None,136.33300039637834,None,1.561904761904762,0.7992561236023903,136.33300039637834,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,3,1,22,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,137.1338448068127,None,138.23302416782826,None,139.1664400016889,None,1.5148148148148148,0.6665701242163777,139.1664400016889,None,,,,,,,,,,,,,,,,,184,001,2024_Mar_12_1629,Localization_IfspeechCrashes,2021.2.3,59.974390363290176,
