targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,space,11.249828794999985,12.704276692000008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.704276692000008,None,24.087273268000104,None,space,3.851421054000184,24.270713417000138,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.171897323000053,None,space,2.872102711000025,28.35404714599997,None,,,,,,,,,,,,,,,,,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,14.375429080000004,31.370724445000064,None,,,,,,,,,,,,,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,31.370724445000064,None,45.78725102200008,None,46.88876311499996,None,47.82052180500011,None,1.276190476190476,2.819586167000125,47.82052180500011,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.638973386999965,None,51.75384561700014,None,52.671073786999955,None,1.3777777777777778,1.266423012000132,52.671073786999955,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
nearRight,6.5,0,ch1Sound_localizationTask.wav,6.5,"(1047, 878)","(87, -202)",95,-338,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.93741776400009,None,55.03734517999999,None,55.97061967299999,None,1.5693121693121692,1.3988163330000134,55.97061967299999,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
midRight,13.0,3,ch1Sound_localizationTask.wav,13.0,"(1142, 878)","(182, -202)",190,-338,,,,,,,,,0,3,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.37078337600008,None,58.47053863000008,None,59.403855658,None,1.6423280423280424,1.001299379000102,59.403855658,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
center,0.0,6,ch1Sound_localizationTask.wav,0.0,"(952, 878)","(-8,-202)",0,-338,,,,,,,,,0,4,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.420959098000026,None,61.52048901700016,None,62.45386120700016,None,1.5095238095238095,1.1163504319999902,62.45386120700016,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
farLeft,-19.1,5,ch1Sound_localizationTask.wav,-19.1,"(667, 878)","(-293,-202)",-285,-338,,,,,,,,,0,5,5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.57073110500016,None,64.6707917550001,None,65.60382766700002,None,1.2063492063492065,2.0831769809999514,65.60382766700002,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
farRight,19.1,4,ch1Sound_localizationTask.wav,19.1,"(1237, 878)","(277,-202)",285,-338,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.68865390400003,None,68.80394233300001,None,69.72088746600014,None,1.7634920634920634,1.4823127560000557,69.72088746600014,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
nearLeft,-6.5,1,ch1Sound_localizationTask.wav,-6.5,"(857, 878)","(-103,-202)",-95,-338,,,,,,,,,1,0,7,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.204171578,None,72.30389817499997,None,73.23723296800006,None,1.3052910052910054,1.0341090809999969,73.23723296800006,None,,,,,,,,,,,185,001,2024_Mar_13_1034,Localization_IfspeechCrashes,2021.2.3,59.99290799837748,
