Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,exitTxt.started,exitTxt.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,19.72340566999992,29.97054669299996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.97054669299996,None,49.82091599700016,None,space,5.17039820699938,50.00365056299961,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
ash.wav,ash.mpg,ash,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO trial",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,55.22059212699969,None,56.220480277000206,None,59.40438926299976,None,60.78715544900024,None,ashe,60.78715544900024,None,return,4.623816182000155,60.8703104239994,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
ash.wav,ash.mpg,ash,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO + VIDEO  trial",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,65.53682088099958,None,66.53704690499944,None,68.02034170699972,None,69.40368354099974,None,ashe,69.40368354099974,None,return,3.758927610999308,69.48702606799998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.28674575599962,None,space,10.54346556099972,73.47049036799945,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
coal.wav,coal.mpg,coal,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,0,0,96,,,,,,,,,,,,,,,,,,,,,,,84.07026023100025,None,85.55387937900014,None,86.93703169999935,None,coal,86.93703169999935,None,return,8.089591551999547,87.02049591299965,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
droop.wav,droop.mpg,droop,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,1,1,44,,,,,,,,,,,,,,,,,,,,,,,95.13724107500002,None,96.63679708099971,None,98.0205533999997,None,"group
",98.0205533999997,None,return,5.070202437000262,98.10376879199976,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
drag.wav,drag.mpg,drag,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,103.20379682800012,None,104.70357697300005,None,106.08725503099959,None,water,106.08725503099959,None,return,8.691487963999862,106.17046596099954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
drug.wav,drug.mpg,drug,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,3,3,80,,,,,,,,,,,,,,,,,,,,,,,114.88711977000003,None,116.38691463599935,None,117.77040031399974,None,drug,117.77040031399974,None,return,8.159942184000101,117.85401830399951,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
duck.wav,duck.mpg,duck,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,4,4,85,,,,,,,,,,,,,,,,,,,,,,,126.03716607200022,None,127.53693077299977,None,128.92041875199993,None,"duck
",128.92041875199993,None,return,3.18612765799935,129.003811349,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
fraud.wav,fraud.mpg,fraud,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,,,,,,,,,,0,5,5,38,,,,,,,,,,,,,,,,,,,,,,,132.22049431300002,None,133.70361794200016,None,135.08722589599984,None,boat,135.08722589599984,None,return,5.307475291000628,135.1705249460001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
flush.wav,flush.mpg,flush,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,6,6,3,,,,,,,,,,,,,,,,,,,,,,,140.50399691599978,None,142.003652589,None,143.38715262499954,None,flush,143.38715262499954,None,return,15.37554947100034,143.47045423799955,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
dawn.wav,dawn.mpg,dawn,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,7,7,99,,,,,,,,,,,,,,,,,,,,,,,158.87049380400003,None,160.37031139099963,None,161.75378545999956,None,"dawn
",161.75378545999956,None,return,2.9687628689998746,161.83720580099998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
grand.wav,grand.mpg,grand,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,,,,,,,,,,0,8,8,82,,,,,,,,,,,,,,,,,,,,,,,164.83718168299947,None,166.33696868599964,None,167.72054297900013,None,grand,167.72054297900013,None,return,2.642126767999798,167.80383260799954,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
gun.wav,gun.mpg,gun,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,9,9,94,,,,,,,,,,,,,,,,,,,,,,,170.47047708099944,None,171.95591352300016,None,173.3372040409995,None,gun,173.3372040409995,None,return,5.289599941000233,173.420428163,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
drab.wav,drab.mpg,drab,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,10,10,45,,,,,,,,,,,,,,,,,,,,,,,178.73719892000008,None,180.23700061099953,None,181.62060193399975,None,drab,181.62060193399975,None,return,3.446059011000216,181.70392331599942,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
blame.wav,blame.mpg,blame,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,,,,,,,,,,0,11,11,16,,,,,,,,,,,,,,,,,,,,,,,185.17056072299965,None,186.6703797099999,None,188.05387769400022,None,lake,188.05387769400022,None,return,2.260699440999815,188.13727576200017,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
frog.wav,frog.mpg,frog,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,,,,,,,,,,0,12,12,49,,,,,,,,,,,,,,,,,,,,,,,190.42060386999947,None,191.92038730700006,None,193.30392099399978,None,"fog
",193.30392099399978,None,return,6.5866939380002805,193.3872743490001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
wound.wav,wound.mpg,wound,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,13,13,6,,,,,,,,,,,,,,,,,,,,,,,200.00392491399998,None,201.50375394000002,None,202.88724623799953,None,old,202.88724623799953,None,return,2.1553926420001517,202.97063090099982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186,001,2024_Mar_13_1517,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.00307839768574,
