Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,exitTxt.started,exitTxt.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,space,1.9613849889719859,10.18636949500069,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,2023_Feb_16_1322,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.01316114714144,
,,,,,,,,,,,,,,,,,,,,10.18636949500069,None,12.172109739971347,None,space,7.011870677000843,12.351890643010847,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,001,2023_Feb_16_1322,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.01316114714144,
ash.wav,ash.mpg,ash,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO trial",0,0,0,0,,,,,,,,,,,,,,,,,19.418307009036653,None,20.40195039997343,None,23.57024253497366,None,24.951868640026078,None,ash,24.951868640026078,None,return,3.6085235530044883,25.035221020923927,None,,,,,,,,,,,,,23,001,2023_Feb_16_1322,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.01316114714144,
ash.wav,ash.mpg,ash,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO + VIDEO  trial",0,1,1,1,,,,,,,,,,,,,,,,,28.684956701938063,None,29.685274419025518,None,31.168447877978906,None,32.5519722920144,None,ash,32.5519722920144,None,return,2.7205131279770285,32.63523158302996,None,,,,,,,,,,,,,23,001,2023_Feb_16_1322,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.01316114714144,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.418426338001154,None,space,6.105733735952526,35.602035754942335,None,,,,,,,23,001,2023_Feb_16_1322,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.01316114714144,
flex.wav,flex.mpg,flex,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,0,0,0,119,,,,,,,,,,,,,,,41.768367465934716,None,43.251663369941525,None,44.63524181593675,None,reflect,44.63524181593675,None,return,8.445154568064027,44.71860344999004,None,,,,,,,,,,,,,23,001,2023_Feb_16_1322,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.01316114714144,
blast.wav,blast.mpg,blast,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,0,1,1,43,,,,,,,,,,,,,,,53.18519472703338,None,54.68516076100059,None,56.06865521194413,None,"hash
",56.06865521194413,None,return,9.851705387001857,56.152049188967794,None,,,,,,,,,,,,,23,001,2023_Feb_16_1322,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.01316114714144,
thief.wav,thief.mpg,thief,2,AV,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,0,2,2,116,,,,,,,,,,,,,,,66.03534397098701,None,67.53502326901071,None,68.91858068900183,None,thief,68.91858068900183,None,return,1.8899294519796968,69.00195954798255,None,,,,,,,,,,,,,23,001,2023_Feb_16_1322,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.01316114714144,
clap.wav,clap.mpg,clap,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,0,3,3,2,,,,,,,,,,,,,,,70.91865597397555,None,72.41845439502504,None,73.80204001697712,None,clap,73.80204001697712,None,return,0.8466604789718986,73.88528010400478,None,,,,,,,,,,,,,23,001,2023_Feb_16_1322,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.01316114714144,
edge.wav,edge.mpg,edge,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,0,4,4,34,,,,,,,,,,,,,,,74.75196443498135,None,76.25174956396222,None,77.63532415195368,None,edge,77.63532415195368,None,return,3.1570863709785044,77.71873920201324,None,,,,,,,,,,,,,23,001,2023_Feb_16_1322,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.01316114714144,
due.wav,due.mpg,due,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,0,5,5,92,,,,,,,,,,,,,,,80.90213719103485,None,82.38546447292902,None,83.76861936494242,None,"do
",83.76861936494242,None,return,0.9357356670079753,83.85200627800077,None,,,,,,,,,,,,,23,001,2023_Feb_16_1322,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.01316114714144,
cloud.wav,cloud.mpg,cloud,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,0,6,6,67,,,,,,,,,,,,,,,84.81868144194596,None,86.31850431195926,None,87.70189461903647,None,cloud,87.70189461903647,None,return,0.9704523199470714,87.78530469001271,None,,,,,,,,,,,,,23,001,2023_Feb_16_1322,SpeechDraft1Carolyn_lessNoise,2021.2.3,60.01316114714144,
