Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,exitTxt.started,exitTxt.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,space,2.24805891700089,10.78637870302191,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
,,,,,,,,,,,,,,,,,,,,10.78637870302191,None,13.053290189011022,None,space,4.013798859028611,13.236606627004221,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
ash.wav,ash.mpg,ash,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO trial",0,0,0,0,,,,,,,,,,,,,,,,,17.28681526600849,None,18.28651088802144,None,22.11980698897969,None,23.48620884399861,None,ash,23.48620884399861,None,return,5.272884705045726,23.569586221012287,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
ash.wav,ash.mpg,ash,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO + VIDEO  trial",0,1,1,1,,,,,,,,,,,,,,,,,28.88661983498605,None,29.886581573984586,None,31.370152943010908,None,32.75280467799166,None,"ash
",32.75280467799166,None,return,3.2694635429652408,32.83688965003239,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.15279542200733,None,space,32.73792251403211,36.336542000004556,None,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
blame.wav,blame.mpg,blame,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,0,0,0,111,,,,,,,,,,,,,,,69.1365891789901,None,70.65321366302669,None,72.03641272900859,None,frog,72.03641272900859,None,return,8.474109982023947,72.12025915202685,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
stain.wav,stain.mpg,stain,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,0,1,1,52,,,,,,,,,,,,,,,80.62029977299972,None,82.15251355798682,None,83.53688769199653,None,stain,83.53688769199653,None,return,3.0385839539812878,83.61984744499205,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
sue.wav,sue.mpg,sue,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,0,2,2,107,,,,,,,,,,,,,,,86.68595113302581,None,88.17066134302877,None,89.55298568902072,None,"soup
",89.55298568902072,None,return,2.518337124027312,89.6360270549776,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
bible.wav,bible.mpg,bible,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,0,3,3,76,,,,,,,,,,,,,,,92.18669375800528,None,93.7199246379896,None,95.10281152703101,None,"bible
",95.10281152703101,None,return,1.9194975119899027,95.18684893101454,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
cup.wav,cup.mpg,cup,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,0,4,4,28,,,,,,,,,,,,,,,97.1367773450329,None,98.65356049401453,None,100.0199502800242,None,count,100.0199502800242,None,return,5.1788525769952685,100.10351993201766,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
fifth.wav,fifth.mpg,fifth,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,0,5,5,20,,,,,,,,,,,,,,,105.30259798001498,None,106.8365335430135,None,108.22014044900425,None,sink,108.22014044900425,None,return,2.1392330080270767,108.30318000802072,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
gush.wav,gush.mpg,gush,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,0,6,6,59,,,,,,,,,,,,,,,110.46979271899909,None,111.96924234298058,None,113.35278191103134,None,gush,113.35278191103134,None,return,4.789458341023419,113.4369392869994,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
flash.wav,flash.mpg,flash,4,A,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,0,7,7,2,,,,,,,,,,,,,,,118.25330061098794,None,119.7697838509921,None,121.15269163099583,None,"brush
",121.15269163099583,None,return,2.2857679060543887,121.23660429799929,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
grant.wav,grant.mpg,grant,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,0,8,8,92,,,,,,,,,,,,,,,123.55290923500434,None,125.0526385330013,None,126.43655703502009,None,grant,126.43655703502009,None,return,2.562804847024381,126.5195570869837,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
route.wav,route.mpg,route,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,0,9,9,27,,,,,,,,,,,,,,,129.10349532403052,None,130.60341323103057,None,131.98681991599733,None,"soup
",131.98681991599733,None,return,2.4843115790281445,132.07005006697727,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
crisp.wav,crisp.mpg,crisp,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,0,10,10,50,,,,,,,,,,,,,,,134.5867506050272,None,136.12008572201012,None,137.50331827497575,None,crisp,137.50331827497575,None,return,2.2157300299732015,137.58676599001046,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
dial.wav,dial.mpg,dial,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,0,11,11,38,,,,,,,,,,,,,,,139.81967852503294,None,141.32003464299487,None,142.70343187300023,None,"dice
",142.70343187300023,None,return,4.335801359033212,142.78652368602343,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
crown.wav,crown.mpg,crown,5,A,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,0,12,12,19,,,,,,,,,,,,,,,147.15305335901212,None,148.65341372299008,None,150.0359963410301,None,crown,150.0359963410301,None,return,2.714657308009919,150.11978526000166,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
cream.wav,cream.mpg,cream,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,0,13,13,63,,,,,,,,,,,,,,,152.85325425700285,None,154.3695942159975,None,155.7534963520011,None,cream,155.7534963520011,None,return,1.9500661860220134,155.83635402400978,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
clown.wav,clown.mpg,clown,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,0,14,14,61,,,,,,,,,,,,,,,157.80348644201877,None,159.30344640801195,None,160.6865820719977,None,clown,160.6865820719977,None,return,2.592351754021365,160.77000924397726,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
row.wav,row.mpg,row,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,0,15,15,110,,,,,,,,,,,,,,,163.38641096203355,None,164.88664825202432,None,166.26963613700354,None,row,166.26963613700354,None,return,1.5774088490288705,166.3529513090034,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
beard.wav,beard.mpg,beard,5,AV,Pink_Noise_5_1.wav,Pink_Noise_5_2.wav,,,,,,0,16,16,73,,,,,,,,,,,,,,,167.95310597802745,None,169.46954582398757,None,170.85293001501122,None,"beer
",170.85293001501122,None,return,2.201692019996699,170.9366711039911,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
bride.wav,bride.mpg,bride,6,AV,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,0,17,17,118,,,,,,,,,,,,,,,173.17021136300173,None,174.66971686203033,None,176.05349671299336,None,run,176.05349671299336,None,return,1.5297337269876152,176.1366304680123,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
barge.wav,barge.mpg,barge,4,AV,Pink_Noise_4_1.wav,Pink_Noise_4_2.wav,,,,,,0,18,18,96,,,,,,,,,,,,,,,177.68650493799942,None,179.20265530300094,None,180.58653790998505,None,barsh,180.58653790998505,None,return,4.9080268099787645,180.6703332909965,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
blast.wav,blast.mpg,blast,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,0,19,19,72,,,,,,,,,,,,,,,185.60278910701163,None,187.10350562102394,None,188.4870677710278,None,blast,188.4870677710278,None,return,3.3601933650206774,188.57016714301426,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
build.wav,build.mpg,build,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,0,20,20,54,,,,,,,,,,,,,,,191.95330261503113,None,193.4526309859939,None,194.83737471600762,None,built,194.83737471600762,None,return,3.9781900189700536,194.9202028180007,None,,,,,,,,,,,,,2,001,2022_Nov_21_1646,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.97697052522312,
