filePaths,practFiles,StimulusCode,stim1,stim2,stim3,stim4,stim5,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,audFile_i2,audStart_i2,similCatp,setVol,corrMatchAnswer,whatCondIs,trialTypeName,rhythm,stim6,stim6Start,stim6End,stim6_i2,stim6Start_i2,stim6End_i2,similCat_i2,condFilePath,sensoryCond,stimStart,overarchingRhythmOrder.thisRepN,overarchingRhythmOrder.thisTrialN,overarchingRhythmOrder.thisN,overarchingRhythmOrder.thisIndex,rhythmPractTrials.thisRepN,rhythmPractTrials.thisTrialN,rhythmPractTrials.thisN,rhythmPractTrials.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions_2.started,variableInstructions_2.stopped,goToBlockKey_2.keys,goToBlockKey_2.rt,goToBlockKey_2.started,goToBlockKey_2.stopped,text_9.started,text_9.stopped,preFix_2.started,preFix_2.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,holdFix_2.started,holdFix_2.stopped,cir1_2.started,cir1_2.stopped,cir2_2.started,cir2_2.stopped,cir3_2.started,cir3_2.stopped,cir4_2.started,cir4_2.stopped,cir5_2.started,cir5_2.stopped,audioTrialSound_2.started,audioTrialSound_2.stopped,text.started,text.stopped,holdFix_i2_2.started,holdFix_i2_2.stopped,cir1_i2_2.started,cir1_i2_2.stopped,cir2_i2_2.started,cir2_i2_2.stopped,cir3_i2_2.started,cir3_i2_2.stopped,cir4_i2_2.started,cir4_i2_2.stopped,cir5_i2_2.started,cir5_i2_2.stopped,audioTrialSound_i2_2.started,audioTrialSound_i2_2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,text_5.started,text_5.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.rt,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,byebyeText.started,byebyeText.stopped,pressToEnd.keys,pressToEnd.rt,pressToEnd.started,pressToEnd.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.706583627033979,None,space,27.962676840950735,12.885123483021744,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1,2023_Mar_13_1734,Cognition2_FullCode1,2021.2.3,100.02848914577068,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/54_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,40.99307093594689,None,space,11.162751895957626,41.09311961999629,None,56.377502614981495,None,56.57757342001423,None,52.376391655998304,56.377502614981495,52.376391655998304,56.377502614981495,57.58776540798135,None,57.69783945695963,57.997876874986105,58.14793978596572,58.198042260017246,58.348009994020686,58.648249948979355,58.798185018938966,58.84819021995645,58.9982008759398,59.048286141012795,57.59776524557965,None,59.44837759505026,None,60.75861752498895,None,60.86887416301761,61.16891183995176,61.31892528303433,61.368770826025866,61.51886901294347,61.81893626903184,61.96917361894157,62.01913692802191,62.169246513047256,62.21913952403702,60.76861736258725,None,1,0.7684270431054756,63.119435135042295,None,63.119435135042295,None,63.99958040704951,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1,2023_Mar_13_1734,Cognition2_FullCode1,2021.2.3,100.02848914577068,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/54_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P2,2,1,1,2,1,11,41,56,61,76,81,96,126,141,146,2_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,69.59123287093826,None,69.79139020794537,None,65.6001086269971,69.60118075704668,65.6001086269971,69.60118075704668,70.80166658794042,None,70.91160658199806,71.21169835596811,71.36175183497835,71.41172601201106,71.56177001295146,71.61178360297345,71.7617737960536,72.06189212296158,72.21196850098204,72.26188818993978,70.81166642553872,None,72.66219703597017,None,73.9626763369888,None,74.07249866402708,74.37265466502868,74.52264408394694,74.57268004096113,74.72262229898479,75.02273814298678,75.17273586499505,75.22274722403381,75.37302590894978,75.42283066897653,73.97267617458711,None,2,7.554597774986178,76.33329812402371,None,76.33329812402371,None,83.99527891201433,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1,2023_Mar_13_1734,Cognition2_FullCode1,2021.2.3,100.02848914577068,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/54_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,89.58705712598749,None,89.78708427795209,None,85.58578402095009,89.58705712598749,85.58578402095009,89.58705712598749,90.79725958697964,None,90.90729513997212,90.95726417796686,91.10730548703577,91.40746048698202,91.55752181902062,91.60756786202546,91.75758044200484,92.05768905999139,92.20770828705281,92.25790272594895,90.80725942457794,None,92.65783262904733,None,93.95843498094473,None,94.06824071903247,94.11828701896593,94.26828668604139,94.56835727894213,94.71842934994493,94.76844643696677,94.91850338503718,95.21850989002269,95.36859444796573,95.41857431398239,93.96843481854303,None,1,1.6308332480257377,96.32894176803529,None,96.32894176803529,None,98.06944272504188,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1,2023_Mar_13_1734,Cognition2_FullCode1,2021.2.3,100.02848914577068,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/54_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P4,1,2,1,1,2,11,16,31,61,76,81,96,101,116,146,4_practAudFile.wav,1,pc2,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,103.66093697096221,None,103.8610673029907,None,99.65980690601282,103.66093697096221,99.65980690601282,103.66093697096221,104.87124573695473,None,104.98128986801021,105.03125260805245,105.18138278194238,105.48140514397528,105.63157509302255,105.681509415037,105.83167579199653,106.131682242034,106.2816779880086,106.33169334195554,104.88124557455303,None,106.73187882697675,None,108.03266604396049,None,108.14224532502703,108.1921998639591,108.342327189981,108.64232350094244,108.79249269596767,108.84240546601359,108.99248049594462,109.04245208099019,109.1924177230103,109.49253108701669,108.04266588155879,None,2,0.7749357210705057,110.39283573196735,None,110.39283573196735,None,111.27314903994557,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1,2023_Mar_13_1734,Cognition2_FullCode1,2021.2.3,100.02848914577068,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/54_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,6,19,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,,0,1,,,19,1,171,176,1,171,176,6,,,,0,0,0,0,,,,,0,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.02746259002015,None,,,,,,,,,,,,,,,1,0.8134460209403187,129.69844572094735,None,129.69844572094735,None,,,112.88358230504673,None,space,9.952186255017295,112.9836215149844,None,122.98649994900916,None,123.16665239795111,None,124.16678610700183,None,124.27690815704409,124.576977379038,124.69696708698757,124.74697359697893,124.867027716944,125.16708458703943,125.28713188704569,125.33717915101442,125.45723674900364,125.75729084003251,125.87731146102306,125.92726894002408,124.2668248856091,None,127.33774479595013,None,127.44773626804817,127.74784626497421,127.86784823494963,127.91784286603797,128.03787501202896,128.3380113010062,128.45798340404872,128.50799625599757,128.62821414903738,128.9281415110454,129.04811548499856,129.09815709502436,127.43778465559008,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1,2023_Mar_13_1734,Cognition2_FullCode1,2021.2.3,100.02848914577068,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/54_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,2,1,1,11,16,28,58,70,100,112,117,129,134,3_audFile.wav,10,5,20,1,2,2,1,2,11,16,28,58,70,100,112,117,129,159,3_audFile.wav,10,,0,2,,,24,2,146,176,1,171,176,5,,,,0,0,0,0,,,,,0,1,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.60949982295278,None,,,,,,,,,,,,,,,2,0.41517319600097835,137.28064257698134,None,137.28064257698134,None,,,,,,,,,130.53861889697146,None,130.7186729409732,131.71893909794744,131.74886194604915,None,131.8589897589991,131.90891120804008,132.0290538650006,132.32910364994314,132.44910828594584,132.749206132954,132.86924288002774,132.91937246301677,133.03946461400483,133.08942671795376,133.2095773050096,133.50940521794837,131.84908122253836,None,134.9198068130063,None,135.03010554995853,135.08000068704132,135.19996547000483,135.50001402804628,135.62000759504735,135.92010459594894,136.04021952603944,136.0901577239856,136.2102537789615,136.5103833549656,136.6304962290451,136.68042162200436,135.01987078156088,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1,2023_Mar_13_1734,Cognition2_FullCode1,2021.2.3,100.02848914577068,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/54_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,2,1,11,41,53,58,70,100,112,142,154,159,3_audFile.wav,10,6,25,2,1,1,2,1,11,41,53,58,70,75,87,117,129,134,3_audFile.wav,10,,0,2,,,17,1,171,176,2,146,176,6,,,,0,0,0,0,,,,,0,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.79154545301571,None,,,,,,,,,,,,,,,2,0.03308462491258979,144.4627739059506,None,144.4627739059506,None,,,,,,,,,137.72061479801778,None,137.90085463202558,138.90105115796905,138.93097291595768,None,139.04105936305132,139.34121439501178,139.46131100296043,139.51117280102335,139.63135667494498,139.93127735704184,140.0514158520382,140.35141160804778,140.47149931802414,140.52151407196652,140.6414660969749,140.69157290796284,139.03096775464945,None,142.10189542302396,None,142.2119667029474,142.51201440696605,142.6320860850392,142.6821755419951,142.8021274630446,142.8521063469816,142.9721717420034,143.27232763404027,143.39230594504625,143.44225456099957,143.5623263750458,143.86240699200425,142.20196617253822,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1,2023_Mar_13_1734,Cognition2_FullCode1,2021.2.3,100.02848914577068,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/54_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,2,1,11,41,53,58,70,100,112,142,154,159,3_audFile.wav,10,6,17,2,1,2,2,1,11,41,53,58,70,100,112,142,154,159,3_audFile.wav,10,,0,1,,,17,1,171,176,1,171,176,6,,,,0,0,0,0,,,,,0,3,3,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147.59368892398197,None,,,,,,,,,,,,,,,1,0.5592047700192779,151.26457976503298,None,151.26457976503298,None,,,,,,,,,144.52265628194436,None,144.70283243304584,145.70290710695554,145.7328965809429,None,145.84307163697667,146.14304766594432,146.26317804295104,146.31308760493994,146.4331336549949,146.73326367302798,146.85329660901334,147.15338749601506,147.27357184304856,147.32339533604681,147.44340142596047,147.4934534060303,145.8329873386421,None,148.9039934789762,None,149.01391463994514,149.31427540595178,149.43401272397023,149.4840807960136,149.60406027093995,149.90415818803012,150.02417259395588,150.32427454798017,150.4442979620071,150.49440159799997,150.61442810297012,150.66434889798984,149.00397823260863,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1,2023_Mar_13_1734,Cognition2_FullCode1,2021.2.3,100.02848914577068,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/54_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,1,2,2,1,11,16,28,33,45,75,87,117,129,134,3_audFile.wav,10,4,27,1,1,2,2,1,11,16,28,33,45,75,87,117,129,134,3_audFile.wav,10,,0,1,,,27,2,146,176,2,146,176,4,,,,0,0,0,0,,,,,0,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154.91555745294318,None,,,,,,,,,,,,,,,1,1.7951719489647076,158.59661399794277,None,158.59661399794277,None,,,,,,,,,151.84466640395112,None,152.02483026403934,153.02502858894877,153.05496957094874,None,153.16507432505023,153.21506469300948,153.33530678995885,153.38513060903642,153.5051119819982,153.805348873022,153.92527887201868,154.22537247103173,154.34545757703017,154.39551857300103,154.51560813002288,154.815493377042,153.1550486485823,None,156.22589264798444,None,156.33609743905254,156.38600187096745,156.50601929996628,156.55604449799284,156.67603399802465,156.97614624805283,157.09616221196484,157.39621662301943,157.51630379003473,157.56632159999572,157.68641405703966,157.98640848102514,156.3259550275863,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54,1,2023_Mar_13_1734,Cognition2_FullCode1,2021.2.3,100.02848914577068,
