filePaths,practFiles,StimulusCode,stim1,stim2,stim3,stim4,stim5,stim1Start,stim1End,stim2Start,stim2End,stim3Start,stim3End,stim4Start,stim4End,stim5Start,stim5End,audFile,audStart,similCat,rhythm_i2,stim1_i2,stim2_i2,stim3_i2,stim4_i2,stim5_i2,stim1Start_i2,stim1End_i2,stim2Start_i2,stim2End_i2,stim3Start_i2,stim3End_i2,stim4Start_i2,stim4End_i2,stim5Start_i2,stim5End_i2,audFile_i2,audStart_i2,similCatp,setVol,corrMatchAnswer,whatCondIs,trialTypeName,rhythm,stim6,stim6Start,stim6End,stim6_i2,stim6Start_i2,stim6End_i2,similCat_i2,condFilePath,sensoryCond,stimStart,overarchingRhythmOrder.thisRepN,overarchingRhythmOrder.thisTrialN,overarchingRhythmOrder.thisN,overarchingRhythmOrder.thisIndex,rhythmPractTrials.thisRepN,rhythmPractTrials.thisTrialN,rhythmPractTrials.thisN,rhythmPractTrials.thisIndex,AudVisRhythmLoop.thisRepN,AudVisRhythmLoop.thisTrialN,AudVisRhythmLoop.thisN,AudVisRhythmLoop.thisIndex,pickingSRTCond.thisRepN,pickingSRTCond.thisTrialN,pickingSRTCond.thisN,pickingSRTCond.thisIndex,srtTrials.thisRepN,srtTrials.thisTrialN,srtTrials.thisN,srtTrials.thisIndex,text_3.started,text_3.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,variableInstructions_2.started,variableInstructions_2.stopped,goToBlockKey_2.keys,goToBlockKey_2.rt,goToBlockKey_2.started,goToBlockKey_2.stopped,text_9.started,text_9.stopped,preFix_2.started,preFix_2.stopped,text_10.started,text_10.stopped,text_11.started,text_11.stopped,holdFix_2.started,holdFix_2.stopped,cir1_2.started,cir1_2.stopped,cir2_2.started,cir2_2.stopped,cir3_2.started,cir3_2.stopped,cir4_2.started,cir4_2.stopped,cir5_2.started,cir5_2.stopped,audioTrialSound_2.started,audioTrialSound_2.stopped,text.started,text.stopped,holdFix_i2_2.started,holdFix_i2_2.stopped,cir1_i2_2.started,cir1_i2_2.stopped,cir2_i2_2.started,cir2_i2_2.stopped,cir3_i2_2.started,cir3_i2_2.stopped,cir4_i2_2.started,cir4_i2_2.stopped,cir5_i2_2.started,cir5_i2_2.stopped,audioTrialSound_i2_2.started,audioTrialSound_i2_2.stopped,rhythmChoice.keys,rhythmChoice.rt,rhythmChoice.started,rhythmChoice.stopped,promptTxt.started,promptTxt.stopped,text_5.started,text_5.stopped,variableInstructions.started,variableInstructions.stopped,goToBlockKey.keys,goToBlockKey.rt,goToBlockKey.started,goToBlockKey.stopped,text_2.started,text_2.stopped,preFix.started,preFix.stopped,holdFix.started,holdFix.stopped,cir1.started,cir1.stopped,cir2.started,cir2.stopped,cir3.started,cir3.stopped,cir4.started,cir4.stopped,cir5.started,cir5.stopped,cir6.started,cir6.stopped,audioTrialSound.started,audioTrialSound.stopped,holdFix_i2.started,holdFix_i2.stopped,cir1_i2.started,cir1_i2.stopped,cir2_i2.started,cir2_i2.stopped,cir3_i2.started,cir3_i2.stopped,cir4_i2.started,cir4_i2.stopped,cir5_i2.started,cir5_i2.stopped,cir6_i2.started,cir6_i2.stopped,audioTrialSound_i2.started,audioTrialSound_i2.stopped,breatheBro.started,breatheBro.stopped,image.started,image.stopped,keyToGo.keys,keyToGo.rt,keyToGo.started,keyToGo.stopped,spaceTxt.started,spaceTxt.stopped,mainInstrText.started,mainInstrText.stopped,MoveToMainTask.keys,MoveToMainTask.rt,MoveToMainTask.started,MoveToMainTask.stopped,whichBlkTxt.started,whichBlkTxt.stopped,LetsGoGirls.keys,LetsGoGirls.rt,LetsGoGirls.started,LetsGoGirls.stopped,fixCross.started,fixCross.stopped,gratingStim.started,gratingStim.stopped,beepStim.started,beepStim.stopped,yesHitIt.keys,yesHitIt.rt,yesHitIt.started,yesHitIt.stopped,catchEarly.keys,catchEarly.started,catchEarly.stopped,text_4.started,text_4.stopped,feedbackIfNeeded.started,feedbackIfNeeded.stopped,annoyingBeep.started,annoyingBeep.stopped,wordListTime,wordRecallInstr.started,wordRecallInstr.stopped,keytoWords.keys,keytoWords.rt,keytoWords.started,keytoWords.stopped,textForWords.text,textForWords.started,textForWords.stopped,wordText.started,wordText.stopped,wordTestTiming.keys,wordTestTiming.rt,wordTestTiming.started,wordTestTiming.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.80072712909896,None,space,23.44966069504153,15.989206693018787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1,2023_Mar_15_1946,Cognition2_FullCode1,2021.2.3,100.03882097149081,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/59_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,39.585856144083664,None,space,8.93679633399006,39.685996708110906,None,52.74966796010267,None,52.94981064205058,None,48.748450026032515,52.74966796010267,48.748450026032515,52.74966796010267,53.94991026306525,None,54.060095914057456,54.36001146410126,54.51013920002151,54.56011078308802,54.710247119073756,55.01017825002782,55.16035619110335,55.21037448500283,55.36040065099951,55.41032102308236,53.95992256726604,None,55.81048667000141,None,57.12086736410856,None,57.23084325203672,57.5308319570031,57.681027554092,57.73102288006339,57.88107725302689,58.18117952905595,58.33112076006364,58.38125606102403,58.5313468381064,58.58123363007326,57.130879668309355,None,1,2.1332969430368394,59.481521991081536,None,59.481521991081536,None,61.73214777302928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1,2023_Mar_15_1946,Cognition2_FullCode1,2021.2.3,100.03882097149081,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/59_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P2,2,1,1,2,1,11,41,56,61,76,81,96,126,141,146,2_practAudFile.wav,1,pc1,P1,2,1,2,1,1,11,41,56,61,76,106,121,126,141,146,1_practAudFile.wav,1,pc1,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,67.3238608300453,None,67.52382851403672,None,63.332544702105224,67.33365233708173,63.332544702105224,67.33365233708173,68.53405965911224,None,68.6441404070938,68.94413735705893,69.09424147708341,69.14418233104516,69.29445747006685,69.34424021607265,69.49436865805183,69.7943514570361,69.94448455108795,69.99455602606758,68.54407196331303,None,70.39456597808748,None,71.70500907499809,None,71.81495813908987,72.11507731000893,72.26509630808141,72.3151594880037,72.46536984411068,72.76536843902431,72.91529142309446,72.96528236602899,73.11541199008934,73.16534540010616,71.71502137919887,None,2,1.7650816140230745,74.06567299400922,None,74.06567299400922,None,75.93628613406327,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1,2023_Mar_15_1946,Cognition2_FullCode1,2021.2.3,100.03882097149081,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/59_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,0,1,SAME,SAME,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,81.5276803401066,None,81.72786598606035,None,77.52676777401939,81.5276803401066,77.52676777401939,81.5276803401066,82.73818250501063,None,82.84818067506421,82.89815299201291,83.04820861702319,83.34826070303097,83.49834970210213,83.54825960111339,83.69847032008693,83.99838122003712,84.14868179708719,84.19841742503922,82.74819480921141,None,84.59869351005182,None,85.89926435309462,None,86.0090477761114,86.05904137110338,86.20922545006033,86.50926864205394,86.65926650504116,86.70923576201312,86.8593259450281,87.15935973601881,87.30950012104586,87.35937529511284,85.90927665729541,None,1,1.3710347099695355,88.25969082000665,None,88.25969082000665,None,89.74018548405729,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1,2023_Mar_15_1946,Cognition2_FullCode1,2021.2.3,100.03882097149081,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/59_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,P3,1,2,1,2,1,11,16,31,61,76,81,96,126,141,146,3_practAudFile.wav,1,pc2,P4,1,2,1,1,2,11,16,31,61,76,81,96,101,116,146,4_practAudFile.wav,1,pc2,0,2,DIFFERENT,DIFFERENT,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,95.33181230700575,None,95.53173459006939,None,91.33059817110188,95.33181230700575,91.33059817110188,95.33181230700575,96.54210899304599,None,96.65209313307423,96.70211427600589,96.852103946032,97.15222207910847,97.30238308908883,97.35221814108081,97.50241509603802,97.80243782605976,97.9526193360798,98.00257616303861,96.55212129724677,None,98.40263624000363,None,99.70333884807769,None,99.81301763607189,99.86298323201481,100.0131521280855,100.31313630507793,100.46341454505455,100.51319545006845,100.66322644008324,100.71327659103554,100.86321611504536,101.16337025002576,99.71335115227848,None,2,1.5589778260327876,102.06377700599842,None,102.06377700599842,None,103.72412058105692,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1,2023_Mar_15_1946,Cognition2_FullCode1,2021.2.3,100.03882097149081,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/59_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,1,1,11,41,53,58,70,100,112,117,129,134,3_audFile.wav,10,6,19,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,,0,2,,,23,2,146,176,1,171,176,6,,,,0,0,0,0,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.31686494406313,None,,,,,,,,,,,,,,,2,1.1387963249580935,116.98795888305176,None,116.98795888305176,None,,,105.33463042601943,None,space,4.7879773929016665,105.43478433100972,None,110.27590973407496,None,110.45618750806898,None,111.45642310206313,None,111.56632369803265,111.86637640406843,111.98648293607403,112.03662006300874,112.15652607299853,112.45656654506456,112.57681249408051,112.62686444504652,112.74680899409577,112.79686131305061,112.91689291608054,113.21692411310505,111.55648339623585,None,114.62728857807815,None,114.7372779661091,115.03734530811198,115.15759350103326,115.20745729608461,115.32743577100337,115.6275244851131,115.74757556105033,115.79767848807387,115.91775444510859,116.21778889605775,116.3378735780716,116.38780664501246,114.72739067722577,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1,2023_Mar_15_1946,Cognition2_FullCode1,2021.2.3,100.03882097149081,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/59_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,6,19,2,1,2,1,2,11,41,53,58,70,100,112,117,129,159,3_audFile.wav,10,,0,1,,,19,1,171,176,1,171,176,6,,,,0,0,0,0,,,,,0,1,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.24935564410407,None,,,,,,,,,,,,,,,1,0.924520356929861,124.93024823104497,None,124.93024823104497,None,,,,,,,,,118.14829593000468,None,118.32840140501503,119.32849049207289,119.35867026005872,None,119.46858815406449,119.7686866200529,119.8887899001129,119.93874129711185,120.05874169210438,120.35885506100021,120.47890909109265,120.52897722506896,120.64897404110525,120.94909097405616,121.0791308330372,121.13921713305172,119.4587108462816,None,122.55962174106389,None,122.66956541407853,122.97975109901745,123.09971638210118,123.14974291203544,123.26967815309763,123.56992410903331,123.68982637103181,123.73992749606259,123.85993911908008,124.15991770511027,124.28017160110176,124.33007469109725,122.65956353526562,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1,2023_Mar_15_1946,Cognition2_FullCode1,2021.2.3,100.03882097149081,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/59_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,2,1,1,11,16,28,58,70,100,112,117,129,134,3_audFile.wav,10,5,24,1,2,2,1,1,11,16,28,58,70,100,112,117,129,134,3_audFile.wav,10,,0,1,,,24,2,146,176,2,146,176,5,,,,0,0,0,0,,,,,0,2,2,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.95145889103878,None,,,,,,,,,,,,,,,2,0.4562678210204467,132.62250444106758,None,132.62250444106758,None,,,,,,,,,125.88055488502141,None,126.06057147006504,127.06072027503978,127.09078617102932,None,127.20086646510754,127.25087120500393,127.37088321405463,127.67107973003294,127.79110119002871,128.09106665302534,128.2111429310171,128.26102007401641,128.381262858049,128.43113727704622,128.5511587910587,128.85127549408935,127.19082713420502,None,130.26181580103002,None,130.37173971009906,130.42172765207943,130.54182645701803,130.84186543908436,130.96188544202596,131.2619381180266,131.38204554608092,131.43203939311206,131.55210472107865,131.60215592605527,131.72215637902264,132.02234205103014,130.36178965123835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1,2023_Mar_15_1946,Cognition2_FullCode1,2021.2.3,100.03882097149081,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/59_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,1,1,2,11,16,28,58,70,75,87,92,104,134,3_audFile.wav,10,5,28,1,2,1,1,2,11,16,28,58,70,75,87,92,104,134,3_audFile.wav,10,,0,1,,,28,2,146,176,2,146,176,5,,,,0,0,0,0,,,,,0,3,3,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136.17356075602584,None,,,,,,,,,,,,,,,1,1.1622425690293312,139.84450892801397,None,139.84450892801397,None,,,,,,,,,133.10256943909917,None,133.2826186090242,134.28293147904333,134.3128856610274,None,134.42287458700594,134.47286578302737,134.59297246905044,134.893010775093,135.01308657007758,135.0631004590541,135.18310495000333,135.23305348004214,135.3532499410212,135.65337832900696,135.7732944500167,136.07327575504314,134.41286365026608,None,137.48379769700114,None,137.593791637104,137.64378863608,137.76378320809454,138.06384072708897,138.18386233609635,138.23401344800368,138.35402394004632,138.4040136660915,138.52422255906276,138.82406389608514,138.9443635380594,139.24413043807726,137.58367104423232,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1,2023_Mar_15_1946,Cognition2_FullCode1,2021.2.3,100.03882097149081,
/Users/shamslab/Desktop/Cognition2_FullExperimentFile/59_VisualBlock1.csv,/Users/shamslab/Desktop/Cognition2_FullExperimentFile/fullGoodSeqs_rhythm_shortVis_PracticeVideo.csv,,1,2,2,1,2,11,16,28,58,70,100,112,117,129,159,3_audFile.wav,10,5,28,1,2,1,1,2,11,16,28,58,70,75,87,92,104,134,3_audFile.wav,10,,0,2,,,20,1,171,176,2,146,176,5,,,,0,0,0,0,,,,,0,4,4,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.10573985008523,None,,,,,,,,,,,,,,,1,1.4700866390485317,147.77671251900028,None,147.77671251900028,None,,,,,,,,,141.0348150600912,None,141.21478394407313,142.21504684805404,142.24515606707428,None,142.35529485507868,142.4051051250426,142.52528610406443,142.8252309880918,142.94531901809387,143.2453818480717,143.3654305280652,143.41549156501424,143.5355368630262,143.83558795810677,143.955529343104,144.00565461907536,142.34506930226925,None,145.41604954306968,None,145.52610446501058,145.57592783810105,145.696116027073,145.99630846909713,146.1162932961015,146.16624582803342,146.2862709730398,146.33625721209683,146.45628558308817,146.75642342609353,146.87645296705887,147.17652387800626,145.51608983126934,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,1,2023_Mar_15_1946,Cognition2_FullCode1,2021.2.3,100.03882097149081,
