Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,targetSpeakerName,targetSpeakerEccen,targetSpkrChannel,targetSpkrSound,targetVisualDegrees,visStimLoc,visStimLoc2,visStimW,visStimH,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,audLocalLoop.thisRepN,audLocalLoop.thisTrialN,audLocalLoop.thisN,audLocalLoop.thisIndex,visualLocalLoop.thisRepN,visualLocalLoop.thisTrialN,visualLocalLoop.thisN,visualLocalLoop.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,letsGoLocal.keys,letsGoLocal.rt,letsGoLocal.started,letsGoLocal.stopped,text_4.started,text_4.stopped,prepFixTxt.started,prepFixTxt.stopped,prepFixTxt_2.started,prepFixTxt_2.stopped,respPromptLocal.started,respPromptLocal.stopped,slider.response,slider.rt,slider.started,slider.stopped,letsGoLocal_2.keys,letsGoLocal_2.rt,letsGoLocal_2.started,letsGoLocal_2.stopped,text_7.started,text_7.stopped,prepFixTxt_3.started,prepFixTxt_3.stopped,grating.started,grating.stopped,exitTxt.started,exitTxt.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,33.552744075190276,16.889802561607212,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,001,2023_Apr_27_1417,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.010044765962,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.889802561607212,None,50.56813689973205,None,space,3.1714873760938644,50.751192413736135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,001,2023_Apr_27_1417,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.010044765962,
ash.wav,ash.mpg,ash,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO trial",,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,53.98427301365882,None,54.96786190569401,None,58.15084139071405,None,59.53483287291601,None,esch,59.53483287291601,None,return,3.080702290404588,59.617878060787916,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,001,2023_Apr_27_1417,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.010044765962,
ash.wav,ash.mpg,ash,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO + VIDEO  trial",,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,62.734217166900635,None,63.73457030300051,None,65.2343585905619,None,66.61784655181691,None,esch,66.61784655181691,None,return,1.773365829139948,66.70128224371001,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,001,2023_Apr_27_1417,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.010044765962,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68.51765320263803,None,space,6.477291524875909,68.7012455468066,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,001,2023_Apr_27_1417,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.010044765962,
cling.wav,cling.mpg,cling,6,A,Pink_Noise_6_1.wav,Pink_Noise_6_2.wav,,,,,,,,,,,,,,,0,0,0,6,,,,,,,,,,,,,,,,,,,,,,,75.23430753778666,None,76.71761104883626,None,78.10128335794434,None,static,78.10128335794434,None,return,15.809912478085607,78.18461836967617,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,001,2023_Apr_27_1417,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.010044765962,
goose.wav,goose.mpg,goose,3,A,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,1,1,47,,,,,,,,,,,,,,,,,,,,,,,94.01795479794964,None,95.51761613460258,None,96.90115268295631,None,goose,96.90115268295631,None,return,1.2499297861941159,96.98465012060478,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,001,2023_Apr_27_1417,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.010044765962,
glow.wav,glow.mpg,glow,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,,,,,,,,,,0,2,2,11,,,,,,,,,,,,,,,,,,,,,,,98.25133300665766,None,99.75170331262052,None,101.13457419676706,None,"glow
",101.13457419676706,None,return,0.7685213442891836,101.2180441939272,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,001,2023_Apr_27_1417,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.010044765962,
mass.wav,mass.mpg,mass,3,AV,Pink_Noise_3_1.wav,Pink_Noise_3_2.wav,,,,,,,,,,,,,,,0,3,3,103,,,,,,,,,,,,,,,,,,,,,,,102.0178959579207,None,103.51762277586386,None,104.90119376778603,None,mess,104.90119376778603,None,return,0.7219414180144668,104.98472035070881,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,001,2023_Apr_27_1417,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.010044765962,
brash.wav,brash.mpg,brash,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,,,,,,,,,,0,4,4,107,,,,,,,,,,,,,,,,,,,,,,,105.73491225996986,None,107.2343060770072,None,108.61799742188305,None,brush,108.61799742188305,None,return,0.8053950639441609,108.70125271286815,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87,001,2023_Apr_27_1417,SpeechDraft1Carolyn_lessNoise_PlusLocalization,2021.2.3,60.010044765962,
