Audio_Only_Files,Video_Files,Original_Word_List,noiseLevelCode,conditionCodes,noiseLevelFile1,noiseLevelFile2,InstrTextVar,practiceTrials.thisRepN,practiceTrials.thisTrialN,practiceTrials.thisN,practiceTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,letsGoAlready.keys,letsGoAlready.rt,letsGoAlready.started,letsGoAlready.stopped,text_2.started,text_2.stopped,text_3.started,text_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_5.started,text_5.stopped,fixCross.started,fixCross.stopped,fixCross2.started,fixCross2.stopped,answerPrompt.started,answerPrompt.stopped,getAnswer.text,getAnswer.started,getAnswer.stopped,goToNext.keys,goToNext.rt,goToNext.started,goToNext.stopped,stretchBreakTxrt.started,stretchBreakTxrt.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,space,14.341846805997193,6793.726028208999,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,001,2023_Feb_07_1714,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.956998478359715,
,,,,,,,,,,,,,,,,,,,,6793.726028208999,None,6808.094795371027,None,space,10.472297416999936,6808.2596459420165,None,,,,,,,,,,,,,,,,,,,,,,8,001,2023_Feb_07_1714,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.956998478359715,
ash.wav,ash.mpg,ash,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO trial",0,0,0,0,,,,,,,,,,,,,,,,,6818.792473195004,None,6819.776187553012,None,6822.976035321015,None,6824.359455279016,None,ash,6824.359455279016,None,return,9.177209423010936,6824.442668481002,None,,,,,,,8,001,2023_Feb_07_1714,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.956998478359715,
ash.wav,ash.mpg,ash,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,"This is an example of an

AUDIO + VIDEO  trial",0,1,1,1,,,,,,,,,,,,,,,,,6833.658924568008,None,6834.659287521004,None,6836.143696045008,None,6837.526088211016,None,ash,6837.526088211016,None,return,18.84235077901394,6837.609522729006,None,,,,,,,8,001,2023_Feb_07_1714,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.956998478359715,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6856.492455156025,None,space,7.607928577985149,6856.675985672016,None,8,001,2023_Feb_07_1714,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.956998478359715,
fuss.wav,fuss.mpg,fuss,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,0,0,0,101,,,,,,,,,,,,,,,6864.342490596027,None,6865.825899713003,None,6867.192838920018,None,fuss,6867.192838920018,None,return,2.0638861620100215,6867.276086720027,None,,,,,,,8,001,2023_Feb_07_1714,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.956998478359715,
cab.wav,cab.mpg,cab,2,A,Pink_Noise_2_1.wav,Pink_Noise_2_2.wav,,,,,,0,1,1,6,,,,,,,,,,,,,,,6869.359485844005,None,6870.843982558028,None,6872.226017180015,None,"cab
",6872.226017180015,None,return,1.7504462729848456,6872.309438935015,None,,,,,,,8,001,2023_Feb_07_1714,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.956998478359715,
flea.wav,flea.mpg,flea,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,0,2,2,40,,,,,,,,,,,,,,,6874.092586764018,None,6875.592549385008,None,6876.959850936022,None,flea,6876.959850936022,None,return,1.4652763259946369,6877.042659715022,None,,,,,,,8,001,2023_Feb_07_1714,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.956998478359715,
deed.wav,deed.mpg,deed,1,A,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,0,3,3,39,,,,,,,,,,,,,,,6878.526061614015,None,6880.026025433006,None,6881.392703235004,None,deed,6881.392703235004,None,return,0.9117954619869124,6881.476094751008,None,,,,,,,8,001,2023_Feb_07_1714,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.956998478359715,
eye.wav,eye.mpg,eye,1,AV,Pink_Noise_1_1.wav,Pink_Noise_1_2.wav,,,,,,0,4,4,62,,,,,,,,,,,,,,,6882.409606947011,None,6883.909298268001,None,6885.292594117025,None,eye,6885.292594117025,None,return,1.1478450989816338,6885.3760273740045,None,,,,,,,8,001,2023_Feb_07_1714,SpeechDraft1Carolyn_lessNoise,2021.2.3,59.956998478359715,
